alg,frame1,frame2,seconds,hd
none,1,0,0,3.52263
none,2,1,0,4.33604
none,3,2,0,4.06527
none,4,3,0,3.34403
none,5,4,0,3.23782
none,6,5,0,3.12289
none,7,6,0,3.43522
none,8,7,0,3.22099
none,9,8,0,7.5613
none,10,9,0,2.85492
none,11,10,0,3.72625
none,12,11,0,3.24727
none,13,12,0,3.5264
none,14,13,0,3.16482
none,15,14,0,2.84843
none,16,15,0,3.67112
none,17,16,0,3.34114
none,18,17,0,3.4593
none,19,18,0,3.46951
none,20,19,0,3.58665
none,21,20,0,3.31689
none,22,21,0,3.92244
none,23,22,0,3.60516
none,24,23,0,3.03365
none,25,24,0,3.10245
none,26,25,0,4.30275
none,27,26,0,4.09106
none,28,27,0,3.0049
none,29,28,0,3.3852
none,30,29,0,3.74085
none,31,30,0,3.08716
none,32,31,0,3.21076
none,33,32,0,3.65896
none,34,33,0,3.24848
none,35,34,0,3.9162
none,36,35,0,3.78571
none,37,36,0,3.15927
none,38,37,0,3.4255
none,39,38,0,3.57879
none,40,39,0,3.66549
none,41,40,0,5.69475
none,42,41,0,4.26034
none,43,42,0,4.43081
none,44,43,0,4.40583
none,45,44,0,5.09475
none,46,45,0,4.44466
none,47,46,0,5.57458
none,48,47,0,4.76196
none,49,48,0,5.03189
none,50,49,0,4.6628
none,51,50,0,5.79743
none,52,51,0,4.32163
none,53,52,0,4.45481
none,54,53,0,4.81179
none,55,54,0,5.02858
none,56,55,0,5.31178
none,57,56,0,5.44554
none,58,57,0,4.57502
none,59,58,0,5.36199
none,60,59,0,4.43887
none,61,60,0,5.06852
none,62,61,0,4.21527
none,63,62,0,4.55273
none,64,63,0,4.75861
none,65,64,0,3.98875
none,66,65,0,4.36713
none,67,66,0,4.46353
none,68,67,0,4.29505
none,69,68,0,3.786
none,70,69,0,4.22635
none,71,70,0,4.03799
none,72,71,0,4.2616
none,73,72,0,3.62321
none,74,73,0,3.61003
none,75,74,0,4.15005
none,76,75,0,5.05339
none,77,76,0,5.43185
none,78,77,0,4.48454
none,79,78,0,4.25836
none,80,79,0,3.74788
none,81,80,0,4.6331
none,82,81,0,4.80822
none,83,82,0,4.91419
none,84,83,0,6.81956
none,85,84,0,3.87324
none,86,85,0,3.86797
none,87,86,0,4.07184
none,88,87,0,3.93937
none,89,88,0,4.73702
none,90,89,0,4.74168
none,91,90,0,4.50074
none,92,91,0,4.67281
none,93,92,0,4.50738
none,94,93,0,5.40231
none,95,94,0,5.21516
none,96,95,0,6.56215
none,97,96,0,7.2923
none,98,97,0,4.22772
none,99,98,0,5.77577
none,100,99,0,8.21879
none,101,100,0,4.75328
none,102,101,0,4.38028
none,103,102,0,5.03862
none,104,103,0,4.57649
none,105,104,0,15.0274
none,106,105,0,3.78135
none,107,106,0,5.40398
none,108,107,0,3.96518
none,109,108,0,3.80688
none,110,109,0,4.12698
none,111,110,0,3.56078
none,112,111,0,4.37418
none,113,112,0,3.78017
none,114,113,0,4.04343
none,115,114,0,4.70621
none,116,115,0,5.25324
none,117,116,0,4.6584
none,118,117,0,3.47266
none,119,118,0,3.17428
none,120,119,0,3.13852
none,121,120,0,3.44825
none,122,121,0,5.23166
none,123,122,0,3.30349
none,124,123,0,3.00048
none,125,124,0,3.58926
none,126,125,0,3.76513
none,127,126,0,4.09638
none,128,127,0,3.35724
none,129,128,0,3.43111
none,130,129,0,4.22237
none,131,130,0,3.60739
none,132,131,0,3.6297
none,133,132,0,4.25211
none,134,133,0,3.2072
none,135,134,0,3.32104
none,136,135,0,4.11132
none,137,136,0,3.63245
none,138,137,0,3.85591
none,139,138,0,3.95428
none,140,139,0,3.79458
none,141,140,0,3.93915
