data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotate,icp,regular,5,4,0,10.3485,2.67519,0.890926,0.44428
Apartment.Texture.rotate,icp,regular,6,5,0,19.1912,11.4096,0.860884,0.57358
Apartment.Texture.rotate,icp,regular,7,6,0,10.0335,2619.83,0.232845,21.1604
Apartment.Texture.rotate,icp,regular,8,7,0,9.62599,2833.15,0.346991,23.3909
Apartment.Texture.rotate,icp,regular,9,8,0,26.58,50.9685,0.741326,1.2901
Apartment.Texture.rotate,icp,regular,10,9,0,17.9766,26.459,0.753675,0.892837
Apartment.Texture.rotate,icp,regular,11,10,0,12.0447,14.2468,0.676039,1.00671
Apartment.Texture.rotate,icp,regular,12,11,0,13.6533,2339.31,0.189465,21.9464
Apartment.Texture.rotate,icp,regular,13,12,0,10.4425,17017.3,0.113252,57.6808
Apartment.Texture.rotate,icp,regular,14,13,0,13.7335,1991.32,0.142516,19.9067
Apartment.Texture.rotate,icp,regular,15,14,0,12.8439,4213.83,0.376045,10.6992
Apartment.Texture.rotate,icp,regular,16,15,0,25.0147,148.729,0.561362,1.67263
Apartment.Texture.rotate,icp,regular,17,16,0,16.2631,15.2484,0.526085,1.50034
Apartment.Texture.rotate,icp,regular,18,17,0,13.5551,53.6396,0.333515,2.88416
Apartment.Texture.rotate,icp,regular,19,18,0,17.8876,2439.22,0.112322,20.4215
Apartment.Texture.rotate,icp,regular,20,19,0,9.90794,130.312,0.324758,2.49152
Apartment.Texture.rotate,icp,regular,21,20,0,18.9038,12.2953,0.525331,1.52317
Apartment.Texture.rotate,icp,regular,22,21,0,16.7941,155.558,0.337672,3.93505
Apartment.Texture.rotate,icp,regular,23,22,0,21.622,39.6679,0.487257,1.94613
Apartment.Texture.rotate,icp,regular,24,23,0,14.4712,89.0526,0.661419,1.46066
Apartment.Texture.rotate,icp,regular,25,24,0,18.7001,186.179,0.415819,3.92518
Apartment.Texture.rotate,icp,regular,26,25,0,14.9806,58.8599,0.559538,1.97878
Apartment.Texture.rotate,icp,regular,27,26,0,17.1272,143.228,0.620738,1.95889
Apartment.Texture.rotate,icp,regular,28,27,0,18.6492,509.151,0.400978,5.3085
Apartment.Texture.rotate,icp,regular,29,28,0,17.4544,202.177,0.562435,1.84123
