data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotate,icp2,regular,5,4,0,6.28804,3.2708,0.875871,0.488284
Apartment.Texture.rotate,icp2,regular,6,5,0,6.5102,10.8586,0.74247,0.791788
Apartment.Texture.rotate,icp2,regular,7,6,0,6.64587,2810.89,0.219136,22.7196
Apartment.Texture.rotate,icp2,regular,8,7,0,6.83171,2516.14,0.267487,22.4909
Apartment.Texture.rotate,icp2,regular,9,8,0,6.67577,162.053,0.462212,2.42349
Apartment.Texture.rotate,icp2,regular,10,9,0,6.7154,18.2247,0.430555,1.8546
Apartment.Texture.rotate,icp2,regular,11,10,0,6.66525,22.7038,0.448004,1.72604
Apartment.Texture.rotate,icp2,regular,12,11,0,7.22205,2216.4,0.132945,21.7881
Apartment.Texture.rotate,icp2,regular,13,12,0,7.19708,74364.2,0.0568967,67.8446
Apartment.Texture.rotate,icp2,regular,14,13,0,10.6359,1809.97,0.0944403,18.8789
Apartment.Texture.rotate,icp2,regular,15,14,0,7.18594,997.139,0.145945,10.3861
Apartment.Texture.rotate,icp2,regular,16,15,0,7.15864,211.051,0.210364,4.05952
Apartment.Texture.rotate,icp2,regular,17,16,0,8.49109,268.587,0.197807,3.93874
Apartment.Texture.rotate,icp2,regular,18,17,0,8.44253,235.188,0.147951,6.36887
Apartment.Texture.rotate,icp2,regular,19,18,0,8.02414,5319.85,0.0653493,28.1791
Apartment.Texture.rotate,icp2,regular,20,19,0,7.63979,136.895,0.152912,4.59463
Apartment.Texture.rotate,icp2,regular,21,20,0,7.74863,79.8714,0.0981473,4.841
Apartment.Texture.rotate,icp2,regular,22,21,0,7.91066,2471.15,0.0345431,12.6481
Apartment.Texture.rotate,icp2,regular,23,22,0,7.79708,306.149,0.0957104,6.59486
Apartment.Texture.rotate,icp2,regular,24,23,0,7.34088,170.416,0.280925,3.15745
Apartment.Texture.rotate,icp2,regular,25,24,0,7.72293,658.766,0.0646519,10.7041
Apartment.Texture.rotate,icp2,regular,26,25,0,7.18299,139.832,0.254438,3.70062
Apartment.Texture.rotate,icp2,regular,27,26,0,6.89543,578.153,0.195119,4.47698
Apartment.Texture.rotate,icp2,regular,28,27,0,7.07729,466.183,0.0803294,9.45269
Apartment.Texture.rotate,icp2,regular,29,28,0,6.89638,353.532,0.23728,3.49743
