data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotate,pc2,regular,5,4,0,5.54052,2.91518,0.8751,0.508445
Apartment.Texture.rotate,pc2,regular,6,5,0,5.555,10.072,0.762522,0.762336
Apartment.Texture.rotate,pc2,regular,7,6,0,5.5804,2900.38,0.229569,23.0965
Apartment.Texture.rotate,pc2,regular,8,7,0,5.53671,2989.39,0.371787,23.8812
Apartment.Texture.rotate,pc2,regular,9,8,0,5.52627,49.5488,0.664009,1.49485
Apartment.Texture.rotate,pc2,regular,10,9,0,5.5841,12.2217,0.534634,1.29201
Apartment.Texture.rotate,pc2,regular,11,10,0,5.56873,29.1344,0.475058,1.55924
Apartment.Texture.rotate,pc2,regular,12,11,0,5.57828,1757.53,0.173009,19.5527
Apartment.Texture.rotate,pc2,regular,13,12,0,6.16507,17864,0.170142,58.6936
Apartment.Texture.rotate,pc2,regular,14,13,0,5.65372,2084.06,0.142453,22.1326
Apartment.Texture.rotate,pc2,regular,15,14,0,5.65292,693.674,0.250509,8.95022
Apartment.Texture.rotate,pc2,regular,16,15,0,5.92646,146.982,0.45192,2.1932
Apartment.Texture.rotate,pc2,regular,17,16,0,5.58468,396.942,0.463082,1.9775
Apartment.Texture.rotate,pc2,regular,18,17,0,5.59331,85.7653,0.286897,3.34493
Apartment.Texture.rotate,pc2,regular,19,18,0,5.57984,3691.66,0.106003,26.6258
Apartment.Texture.rotate,pc2,regular,20,19,0,5.62959,197.571,0.244973,5.42203
Apartment.Texture.rotate,pc2,regular,21,20,0,5.85757,48.2851,0.330803,3.0166
Apartment.Texture.rotate,pc2,regular,22,21,0,5.59833,174.084,0.212874,4.80812
Apartment.Texture.rotate,pc2,regular,23,22,0,5.59435,85.0371,0.421575,2.40025
Apartment.Texture.rotate,pc2,regular,24,23,0,5.57935,62.8111,0.475759,1.91909
Apartment.Texture.rotate,pc2,regular,25,24,0,5.60498,571.337,0.138381,9.49522
Apartment.Texture.rotate,pc2,regular,26,25,0,5.55512,62.5245,0.433672,2.44762
Apartment.Texture.rotate,pc2,regular,27,26,0,5.59069,388.47,0.541552,2.67242
Apartment.Texture.rotate,pc2,regular,28,27,0,5.5749,1710.37,0.191254,10.1041
Apartment.Texture.rotate,pc2,regular,29,28,0,5.58228,146.994,0.458233,2.10784
