data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotate,pca,regular,5,4,0,0,3.56114,0.875707,0.49921
Apartment.Texture.rotate,pca,regular,6,5,0,0,7.5118,0.745744,0.780948
Apartment.Texture.rotate,pca,regular,7,6,0,0,2336.74,0.218505,20.8126
Apartment.Texture.rotate,pca,regular,8,7,0,0,2849.16,0.266399,23.9302
Apartment.Texture.rotate,pca,regular,9,8,0,0,76.7571,0.464621,2.1597
Apartment.Texture.rotate,pca,regular,10,9,0,0,15.8372,0.428837,1.87803
Apartment.Texture.rotate,pca,regular,11,10,0,0,28.1009,0.448191,1.75481
Apartment.Texture.rotate,pca,regular,12,11,0,0,2972.2,0.133095,25.1601
Apartment.Texture.rotate,pca,regular,13,12,0,0,16734.7,0.057463,59.2502
Apartment.Texture.rotate,pca,regular,14,13,0,0,2775.05,0.130104,23.099
Apartment.Texture.rotate,pca,regular,15,14,0,0,766.6,0.146644,10.3969
Apartment.Texture.rotate,pca,regular,16,15,0,0,427.386,0.211159,4.32578
Apartment.Texture.rotate,pca,regular,17,16,0,0,238.376,0.198478,3.84545
Apartment.Texture.rotate,pca,regular,18,17,0,0,275.917,0.149188,6.45712
Apartment.Texture.rotate,pca,regular,19,18,0,0,5418.56,0.0651045,31.6405
Apartment.Texture.rotate,pca,regular,20,19,0,0,88.0946,0.153252,4.36981
Apartment.Texture.rotate,pca,regular,21,20,0,0,178.346,0.098415,4.99797
Apartment.Texture.rotate,pca,regular,22,21,0,0,1113.79,0.0344399,12.664
Apartment.Texture.rotate,pca,regular,23,22,0,0,3896.84,0.095799,7.38745
Apartment.Texture.rotate,pca,regular,24,23,0,0,236.235,0.281514,3.14109
Apartment.Texture.rotate,pca,regular,25,24,0,0,1487.2,0.063616,10.8863
Apartment.Texture.rotate,pca,regular,26,25,0,0,93.5862,0.254303,3.5582
Apartment.Texture.rotate,pca,regular,27,26,0,0,181.89,0.196347,4.1776
Apartment.Texture.rotate,pca,regular,28,27,0,0,1337.49,0.0803561,9.63183
Apartment.Texture.rotate,pca,regular,29,28,0,0,193.168,0.237128,3.31577
