alg,frame1,frame2,seconds,hd
FM2D,5,4,0.149836,0.478417
FM2D,6,5,0.169752,0.582597
FM2D,7,6,0.170929,19.4351
FM2D,8,7,0.162899,21.7546
FM2D,9,8,0.159793,1.39929
FM2D,10,9,0.186828,0.859244
FM2D,11,10,0.147324,1.06336
FM2D,12,11,0.154936,19.6122
FM2D,13,12,0.15663,53.3025
FM2D,14,13,0.18539,19.37
FM2D,15,14,0.15449,8.25349
FM2D,16,15,0.150447,1.85978
FM2D,17,16,0.156175,1.44217
FM2D,18,17,0.157221,2.67979
FM2D,19,18,0.155327,29.4747
FM2D,20,19,0.215364,1.77204
FM2D,21,20,0.170935,1.48743
FM2D,22,21,0.207316,3.85845
FM2D,23,22,0.188078,1.69175
FM2D,24,23,0.192324,1.59776
FM2D,25,24,0.177537,3.75736
FM2D,26,25,0.189997,2.12519
FM2D,27,26,0.21438,2.43943
FM2D,28,27,0.185955,5.17007
FM2D,29,28,0.187062,1.67374
FM3D,5,4,16.4142,0.506736
FM3D,6,5,16.2514,1.61258
FM3D,7,6,16.2528,19.1487
FM3D,8,7,16.2225,24.3136
FM3D,9,8,16.2138,1.46424
FM3D,10,9,16.1981,1.51199
FM3D,11,10,16.1736,1.45169
FM3D,12,11,16.1668,23.3278
FM3D,13,12,16.3134,65.6231
FM3D,14,13,16.7112,20.367
FM3D,15,14,16.6411,9.75559
FM3D,16,15,16.2028,2.19762
FM3D,17,16,16.3008,1.68831
FM3D,18,17,16.3585,3.27427
FM3D,19,18,16.1371,27.4894
FM3D,20,19,16.1593,1.9622
FM3D,21,20,16.1165,5.13644
FM3D,22,21,16.1966,4.17497
FM3D,23,22,16.7346,2.9192
FM3D,24,23,16.9373,6.71202
FM3D,25,24,17.1456,5.50361
FM3D,26,25,16.9813,3888.74
FM3D,27,26,16.8275,2.40684
FM3D,28,27,16.8469,12.0863
FM3D,29,28,16.5632,7.61316
PCA,5,4,0.014202,0.445932
PCA,6,5,0.015403,1.04106
PCA,7,6,0.016697,20.7154
PCA,8,7,0.015146,25.0549
PCA,9,8,0.01498,2.99145
PCA,10,9,0.014755,2.49516
PCA,11,10,0.015258,2.72662
PCA,12,11,0.014604,23.4074
PCA,13,12,0.025746,68.3139
PCA,14,13,0.015171,22.9191
PCA,15,14,0.015666,13.7863
PCA,16,15,0.015188,6.84059
PCA,17,16,0.016825,5.10666
PCA,18,17,0.019077,8.25529
PCA,19,18,0.016233,30.343
PCA,20,19,0.01715,7.06448
PCA,21,20,0.01727,6.49642
PCA,22,21,0.019167,22.9444
PCA,23,22,0.016255,10.3053
PCA,24,23,0.015149,6.34746
PCA,25,24,0.014537,29.4137
PCA,26,25,0.014994,12.418
PCA,27,26,0.015225,8.61471
PCA,28,27,0.014905,23.5096
PCA,29,28,0.014872,4.09527
FVR,5,4,18.8078,0.620688
FVR,6,5,18.9382,0.758645
FVR,7,6,18.4286,19.5778
FVR,8,7,18.7461,24.0602
FVR,9,8,18.6481,2.40412
FVR,10,9,18.7259,1.936
FVR,11,10,18.5801,1.76563
FVR,12,11,18.7022,23.1639
FVR,13,12,18.6724,59.9984
FVR,14,13,18.8573,21.6049
FVR,15,14,18.7548,9.72146
FVR,16,15,18.5346,3.40424
FVR,17,16,18.3568,1.40064
FVR,18,17,18.4042,2.87228
FVR,19,18,18.4093,29.4785
FVR,20,19,18.3459,1.58299
FVR,21,20,18.6816,1.3802
FVR,22,21,18.949,4.38348
FVR,23,22,18.6931,1.84889
FVR,24,23,18.7022,1.42057
FVR,25,24,18.5826,25.0218
FVR,26,25,18.986,2.61507
FVR,27,26,18.7212,11.6686
FVR,28,27,18.7015,8.67179
FVR,29,28,18.6658,2.16772
ICP,5,4,15.514,0.447183
ICP,6,5,16.0139,0.595438
ICP,7,6,13.2912,18.6912
ICP,8,7,12.8902,22.6241
ICP,9,8,20.4908,1.415
ICP,10,9,30.0289,0.857898
ICP,11,10,16.7613,1.03948
ICP,12,11,12.5404,20.2606
ICP,13,12,17.4956,56.643
ICP,14,13,22.0346,17.4562
ICP,15,14,24.8084,9.25963
ICP,16,15,21.2969,1.76417
ICP,17,16,21.202,1.48648
ICP,18,17,17.3341,3.1218
ICP,19,18,22.3923,21.3027
ICP,20,19,13.0403,2.42012
ICP,21,20,17.0741,1.67647
ICP,22,21,29.9758,4.09397
ICP,23,22,16.5474,2.0393
ICP,24,23,16.7985,1.55585
ICP,25,24,21.0833,3.99929
ICP,26,25,8.11666,3.52166
ICP,27,26,27.6048,1.90791
ICP,28,27,16.5632,5.98678
ICP,29,28,20.1488,1.82444
FVR3D,5,4,39.1315,0.510863
FVR3D,6,5,38.2484,0.808451
FVR3D,7,6,38.2957,20.0923
FVR3D,8,7,38.3437,22.776
FVR3D,9,8,38.029,1.49365
FVR3D,10,9,38.0484,1.35243
FVR3D,11,10,38.3118,1.58361
FVR3D,12,11,38.1501,22.3881
FVR3D,13,12,38.5244,62.2686
FVR3D,14,13,38.2706,22.0423
FVR3D,15,14,38.4303,9.06475
FVR3D,16,15,38.7642,2.19133
FVR3D,17,16,38.8332,1.8367
FVR3D,18,17,38.1571,3.45414
FVR3D,19,18,38.1831,34.4845
FVR3D,20,19,38.3345,2.86332
FVR3D,21,20,38.151,2.81619
FVR3D,22,21,38.3263,4.9712
FVR3D,23,22,38.0287,2.27371
FVR3D,24,23,38.228,2.05724
FVR3D,25,24,38.3134,14.2202
FVR3D,26,25,38.4233,2.4716
FVR3D,27,26,38.8207,3.32521
FVR3D,28,27,38.3466,11.6656
FVR3D,29,28,38.2633,2.05229
FVR3D-2,5,4,22.792,0.620639
FVR3D-2,6,5,23.2835,0.848627
FVR3D-2,7,6,40.9176,18.0525
FVR3D-2,8,7,27.6024,23.6071
FVR3D-2,9,8,35.2156,1.29737
FVR3D-2,10,9,31.1596,0.876897
FVR3D-2,11,10,30.9687,1.05757
FVR3D-2,12,11,36.3279,19.4695
FVR3D-2,13,12,37.4029,58.3851
FVR3D-2,14,13,37.2653,16.9486
FVR3D-2,15,14,33.016,9.51664
FVR3D-2,16,15,49.1522,1.72725
FVR3D-2,17,16,36.4551,1.3949
FVR3D-2,18,17,32.3845,2.5564
FVR3D-2,19,18,33.3324,21.4795
FVR3D-2,20,19,32.6602,2.01376
FVR3D-2,21,20,36.368,1.46306
FVR3D-2,22,21,44.7445,4.23414
FVR3D-2,23,22,34.9403,2.0516
FVR3D-2,24,23,26.9048,2.66274
FVR3D-2,25,24,43.9087,3.76322
FVR3D-2,26,25,38.307,1.88939
FVR3D-2,27,26,35.0985,1.96005
FVR3D-2,28,27,32.0988,6.71047
FVR3D-2,29,28,30.8309,1.87331
FFVR,5,4,5.78171,0.505137
FFVR,6,5,4.68145,0.600421
FFVR,7,6,4.64991,17.7408
FFVR,8,7,4.62704,23.671
FFVR,9,8,4.67463,1.4817
FFVR,10,9,4.63911,1.06275
FFVR,11,10,4.6443,1.11591
FFVR,12,11,4.62545,21.2543
FFVR,13,12,4.61491,61.2692
FFVR,14,13,4.62726,21.9125
FFVR,15,14,4.61948,8.26443
FFVR,16,15,4.62331,2.70236
FFVR,17,16,4.61212,2.39001
FFVR,18,17,4.7242,3.2638
FFVR,19,18,4.62339,25.1089
FFVR,20,19,4.68662,1.73455
FFVR,21,20,4.66815,1.37318
FFVR,22,21,4.66099,4.14752
FFVR,23,22,4.66012,1.73564
FFVR,24,23,4.63993,1.7095
FFVR,25,24,4.67829,18.6852
FFVR,26,25,4.6129,5.23758
FFVR,27,26,4.63522,2.62841
FFVR,28,27,4.63475,5.56165
FFVR,29,28,4.61365,2.16103
FVR,5,4,11.8795,0.499573
FVR,6,5,2.2036,0.754007
FVR,7,6,2.1492,21.2461
FVR,8,7,2.1557,22.087
FVR,9,8,2.15173,1.46422
FVR,10,9,2.15381,1.15092
FVR,11,10,1.84922,1.08908
FVR,12,11,1.75685,22.226
FVR,13,12,2.14205,58.6042
FVR,14,13,1.88517,19.7775
FVR,15,14,2.15125,9.43728
FVR,16,15,2.13142,2.25501
FVR,17,16,2.15332,1.44623
FVR,18,17,2.2451,2.80969
FVR,19,18,2.21666,24.1091
