data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotateXAxis,fm,regular,5,4,0,0.232095,75.3636,0.726609,1.2955
Apartment.Texture.rotateXAxis,fm,regular,6,5,0,0.231772,282.954,0.731594,1.68609
Apartment.Texture.rotateXAxis,fm,regular,7,6,0,0.227112,93.1457,0.718581,1.39555
Apartment.Texture.rotateXAxis,fm,regular,8,7,0,0.224883,263.866,0.555291,2.21681
Apartment.Texture.rotateXAxis,fm,regular,9,8,0,0.230558,28.0199,0.623081,1.33757
Apartment.Texture.rotateXAxis,fm,regular,10,9,0,0.244177,45.764,0.659726,1.38576
Apartment.Texture.rotateXAxis,fm,regular,11,10,0,0.249351,140.888,0.588818,1.69528
Apartment.Texture.rotateXAxis,fm,regular,12,11,0,0.247923,42.1124,0.480356,1.82531
Apartment.Texture.rotateXAxis,fm,regular,13,12,0,0.259367,214.427,0.429464,2.77464
Apartment.Texture.rotateXAxis,fm,regular,14,13,0,0.281464,42.9189,0.598709,1.47949
Apartment.Texture.rotateXAxis,fm,regular,15,14,0,0.306864,73.8462,0.361281,3.34538
Apartment.Texture.rotateXAxis,fm,regular,16,15,0,0.277293,1703,0.148965,23.938
Apartment.Texture.rotateXAxis,fm,regular,17,16,0,0.310838,58.5034,0.648188,1.51567
Apartment.Texture.rotateXAxis,fm,regular,18,17,0,0.293981,128.621,0.438063,2.24119
Apartment.Texture.rotateXAxis,fm,regular,19,18,0,0.308446,437.279,0.552219,2.30318
Apartment.Texture.rotateXAxis,fm,regular,20,19,0,0.288098,41.8914,0.609724,1.57311
Apartment.Texture.rotateXAxis,fm,regular,21,20,0,0.293808,816.758,0.107161,15.5579
Apartment.Texture.rotateXAxis,fm,regular,22,21,0,0.294707,3941.17,0.148717,28.6922
Apartment.Texture.rotateXAxis,fm,regular,23,22,0,0.30026,2050.07,0.605286,2.67965
Apartment.Texture.rotateXAxis,fm,regular,24,23,0,0.307968,426.713,0.666315,1.58837
Apartment.Texture.rotateXAxis,fm,regular,25,24,0,0.31291,49.48,0.482134,2.00129
Apartment.Texture.rotateXAxis,fm,regular,26,25,0,0.318702,602.713,0.611868,2.35596
Apartment.Texture.rotateXAxis,fm,regular,27,26,0,0.318944,440.615,0.165398,9.9696
Apartment.Texture.rotateXAxis,fm,regular,28,27,0,0.323946,629.462,0.264382,9.14216
Apartment.Texture.rotateXAxis,fm,regular,29,28,0,0.344519,189.893,0.653485,1.91553
