data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse
Apartment.Texture.rotateXAxis,fm,regular,5,4,0,0.227836,4.80312e-06
Apartment.Texture.rotateXAxis,fm,regular,6,5,0,0.23158,5.12214e-06
Apartment.Texture.rotateXAxis,fm,regular,7,6,0,0.228695,5.609e-06
Apartment.Texture.rotateXAxis,fm,regular,8,7,0,0.220993,6.94882e-06
Apartment.Texture.rotateXAxis,fm,regular,9,8,0,0.229541,6.33433e-06
Apartment.Texture.rotateXAxis,fm,regular,10,9,0,0.245317,5.37546e-06
Apartment.Texture.rotateXAxis,fm,regular,11,10,0,0.24559,6.80626e-06
Apartment.Texture.rotateXAxis,fm,regular,12,11,0,0.248843,7.50818e-06
Apartment.Texture.rotateXAxis,fm,regular,13,12,0,0.25285,7.50534e-06
Apartment.Texture.rotateXAxis,fm,regular,14,13,0,0.265155,5.55714e-06
Apartment.Texture.rotateXAxis,fm,regular,15,14,0,0.276205,7.27042e-06
Apartment.Texture.rotateXAxis,fm,regular,16,15,0,0.275334,5.11932e-06
Apartment.Texture.rotateXAxis,fm,regular,17,16,0,0.281176,5.04223e-06
Apartment.Texture.rotateXAxis,fm,regular,18,17,0,0.289842,7.40438e-06
Apartment.Texture.rotateXAxis,fm,regular,19,18,0,0.29415,6.68299e-06
Apartment.Texture.rotateXAxis,fm,regular,20,19,0,0.285651,5.73492e-06
Apartment.Texture.rotateXAxis,fm,regular,21,20,0,0.286877,7.70753e-06
Apartment.Texture.rotateXAxis,fm,regular,22,21,0,0.290947,5.58862e-06
Apartment.Texture.rotateXAxis,fm,regular,23,22,0,0.299986,4.58157e-06
Apartment.Texture.rotateXAxis,fm,regular,24,23,0,0.306476,4.49881e-06
Apartment.Texture.rotateXAxis,fm,regular,25,24,0,0.311233,6.83545e-06
Apartment.Texture.rotateXAxis,fm,regular,26,25,0,0.320444,4.98282e-06
Apartment.Texture.rotateXAxis,fm,regular,27,26,0,0.319615,7.53867e-06
Apartment.Texture.rotateXAxis,fm,regular,28,27,0,0.320199,6.06927e-06
Apartment.Texture.rotateXAxis,fm,regular,29,28,0,0.338473,4.87308e-06
Apartment.Texture.rotateXAxis,fm,regular,5,4,0,0.231911,1.2248
Apartment.Texture.rotateXAxis,fm,regular,6,5,0,0.23191,1.30615
Apartment.Texture.rotateXAxis,fm,regular,7,6,0,0.228845,1.4303
Apartment.Texture.rotateXAxis,fm,regular,8,7,0,0.222015,1.77195
Apartment.Texture.rotateXAxis,fm,regular,9,8,0,0.230273,1.61525
Apartment.Texture.rotateXAxis,fm,regular,10,9,0,0.241122,1.37074
Apartment.Texture.rotateXAxis,fm,regular,11,10,0,0.242227,1.7356
Apartment.Texture.rotateXAxis,fm,regular,12,11,0,0.252502,1.91459
Apartment.Texture.rotateXAxis,fm,regular,13,12,0,0.252786,1.91386
Apartment.Texture.rotateXAxis,fm,regular,14,13,0,0.266059,1.41707
Apartment.Texture.rotateXAxis,fm,regular,15,14,0,0.280327,1.85396
Apartment.Texture.rotateXAxis,fm,regular,16,15,0,0.276952,1.30543
Apartment.Texture.rotateXAxis,fm,regular,17,16,0,0.278029,1.28577
Apartment.Texture.rotateXAxis,fm,regular,18,17,0,0.291031,1.88812
Apartment.Texture.rotateXAxis,fm,regular,19,18,0,0.294766,1.70416
Apartment.Texture.rotateXAxis,fm,regular,20,19,0,0.286414,1.4624
Apartment.Texture.rotateXAxis,fm,regular,21,20,0,0.290902,1.96542
Apartment.Texture.rotateXAxis,fm,regular,22,21,0,0.293174,1.4251
Apartment.Texture.rotateXAxis,fm,regular,23,22,0,0.301266,1.1683
Apartment.Texture.rotateXAxis,fm,regular,24,23,0,0.304991,1.1472
Apartment.Texture.rotateXAxis,fm,regular,25,24,0,0.313479,1.74304
Apartment.Texture.rotateXAxis,fm,regular,26,25,0,0.322374,1.27062
Apartment.Texture.rotateXAxis,fm,regular,27,26,0,0.322792,1.92236
Apartment.Texture.rotateXAxis,fm,regular,28,27,0,0.319615,1.54766
Apartment.Texture.rotateXAxis,fm,regular,29,28,0,0.340014,1.24264
