data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotateXAxis,icp,regular,5,4,0,13.4929,97.4275,0.670551,1.48672
Apartment.Texture.rotateXAxis,icp,regular,6,5,0,22.1963,154.898,0.735224,1.54723
Apartment.Texture.rotateXAxis,icp,regular,7,6,0,22.4829,55.1088,0.733217,1.31478
Apartment.Texture.rotateXAxis,icp,regular,8,7,0,9.08909,225.691,0.711708,1.88472
Apartment.Texture.rotateXAxis,icp,regular,9,8,0,17.103,63.471,0.537825,1.84539
Apartment.Texture.rotateXAxis,icp,regular,10,9,0,19.2015,76.2004,0.686007,1.3873
Apartment.Texture.rotateXAxis,icp,regular,11,10,0,15.7335,180.956,0.630935,1.68424
Apartment.Texture.rotateXAxis,icp,regular,12,11,0,13.1525,39.8988,0.5217,1.7615
Apartment.Texture.rotateXAxis,icp,regular,13,12,0,17.2353,234.125,0.475508,2.63289
Apartment.Texture.rotateXAxis,icp,regular,14,13,0,15.7792,27.7176,0.666584,1.3069
Apartment.Texture.rotateXAxis,icp,regular,15,14,0,20.6088,80.1558,0.408008,3.00136
Apartment.Texture.rotateXAxis,icp,regular,16,15,0,21.333,1657.3,0.125448,22.8768
Apartment.Texture.rotateXAxis,icp,regular,17,16,0,18.6189,108.198,0.662898,1.58581
Apartment.Texture.rotateXAxis,icp,regular,18,17,0,9.5808,51.8018,0.538342,1.84592
Apartment.Texture.rotateXAxis,icp,regular,19,18,0,26.3535,278.692,0.604017,2.05525
Apartment.Texture.rotateXAxis,icp,regular,20,19,0,33.2685,3812.78,0.615892,2.41302
Apartment.Texture.rotateXAxis,icp,regular,21,20,0,26.0796,536.351,0.105096,12.6645
Apartment.Texture.rotateXAxis,icp,regular,22,21,0,11.1725,3590.37,0.0790748,30.5467
Apartment.Texture.rotateXAxis,icp,regular,23,22,0,12.8358,410.596,0.541386,2.50834
Apartment.Texture.rotateXAxis,icp,regular,24,23,0,11.9801,134.719,0.66757,1.51
Apartment.Texture.rotateXAxis,icp,regular,25,24,0,25.2152,41.8527,0.599039,1.81808
Apartment.Texture.rotateXAxis,icp,regular,26,25,0,9.25951,506.831,0.607483,2.28989
Apartment.Texture.rotateXAxis,icp,regular,27,26,0,21.425,924.365,0.171697,9.393
Apartment.Texture.rotateXAxis,icp,regular,28,27,0,20.1114,427.882,0.278142,8.08227
Apartment.Texture.rotateXAxis,icp,regular,29,28,0,11.7561,76.1219,0.654226,1.81131
