data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse
Apartment.Texture.rotateXAxis,icp,regular,5,4,0,16.094,5.35015e-06
Apartment.Texture.rotateXAxis,icp,regular,6,5,0,19.1112,4.71786e-06
Apartment.Texture.rotateXAxis,icp,regular,7,6,0,31.3524,4.4454e-06
Apartment.Texture.rotateXAxis,icp,regular,8,7,0,9.15155,4.79712e-06
Apartment.Texture.rotateXAxis,icp,regular,9,8,0,20.2102,4.80714e-06
Apartment.Texture.rotateXAxis,icp,regular,10,9,0,16.3262,5.26347e-06
Apartment.Texture.rotateXAxis,icp,regular,11,10,0,18.7905,5.79612e-06
Apartment.Texture.rotateXAxis,icp,regular,12,11,0,9.92385,6.24343e-06
Apartment.Texture.rotateXAxis,icp,regular,13,12,0,23.7664,6.42577e-06
Apartment.Texture.rotateXAxis,icp,regular,14,13,0,15.5034,5.02392e-06
Apartment.Texture.rotateXAxis,icp,regular,15,14,0,17.2201,5.73872e-06
Apartment.Texture.rotateXAxis,icp,regular,16,15,0,17.9304,7.50651e-06
Apartment.Texture.rotateXAxis,icp,regular,17,16,0,18.4202,4.63426e-06
Apartment.Texture.rotateXAxis,icp,regular,18,17,0,12.5884,4.70745e-06
Apartment.Texture.rotateXAxis,icp,regular,19,18,0,23.3154,5.43098e-06
Apartment.Texture.rotateXAxis,icp,regular,20,19,0,36.2517,4.99596e-06
Apartment.Texture.rotateXAxis,icp,regular,21,20,0,22.4722,7.94769e-06
Apartment.Texture.rotateXAxis,icp,regular,22,21,0,14.6523,8.225e-06
Apartment.Texture.rotateXAxis,icp,regular,23,22,0,18.8739,4.83984e-06
Apartment.Texture.rotateXAxis,icp,regular,24,23,0,17.6375,4.46169e-06
Apartment.Texture.rotateXAxis,icp,regular,5,4,0,16.1868,1.36429
Apartment.Texture.rotateXAxis,icp,regular,6,5,0,19.1459,1.20305
Apartment.Texture.rotateXAxis,icp,regular,7,6,0,31.4791,1.13358
Apartment.Texture.rotateXAxis,icp,regular,8,7,0,9.19519,1.22327
Apartment.Texture.rotateXAxis,icp,regular,9,8,0,20.3116,1.22582
Apartment.Texture.rotateXAxis,icp,regular,10,9,0,16.3961,1.34218
Apartment.Texture.rotateXAxis,icp,regular,11,10,0,18.8808,1.47801
Apartment.Texture.rotateXAxis,icp,regular,12,11,0,9.93694,1.59207
Apartment.Texture.rotateXAxis,icp,regular,13,12,0,23.7846,1.63857
Apartment.Texture.rotateXAxis,icp,regular,14,13,0,15.5576,1.2811
Apartment.Texture.rotateXAxis,icp,regular,15,14,0,17.3058,1.46337
Apartment.Texture.rotateXAxis,icp,regular,16,15,0,18.0094,1.91416
Apartment.Texture.rotateXAxis,icp,regular,17,16,0,18.5161,1.18174
Apartment.Texture.rotateXAxis,icp,regular,18,17,0,12.6301,1.2004
Apartment.Texture.rotateXAxis,icp,regular,19,18,0,23.3183,1.3849
Apartment.Texture.rotateXAxis,icp,regular,20,19,0,36.4421,1.27397
Apartment.Texture.rotateXAxis,icp,regular,21,20,0,22.4636,2.02666
Apartment.Texture.rotateXAxis,icp,regular,22,21,0,14.6546,2.09738
Apartment.Texture.rotateXAxis,icp,regular,23,22,0,18.92,1.23416
Apartment.Texture.rotateXAxis,icp,regular,24,23,0,17.6445,1.13773
Apartment.Texture.rotateXAxis,icp,regular,25,24,0,9.5842,1.3213
Apartment.Texture.rotateXAxis,icp,regular,26,25,0,12.3313,1.23898
Apartment.Texture.rotateXAxis,icp,regular,27,26,0,10.7098,1.6475
Apartment.Texture.rotateXAxis,icp,regular,28,27,0,13.6446,1.70164
Apartment.Texture.rotateXAxis,icp,regular,29,28,0,17.7866,1.18841
