data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotateXAxis,icp2,regular,5,4,0,7.57949,134.918,0.259281,3.14797
Apartment.Texture.rotateXAxis,icp2,regular,6,5,0,7.59303,271.477,0.213992,4.70422
Apartment.Texture.rotateXAxis,icp2,regular,7,6,0,7.73316,349.958,0.183195,7.81915
Apartment.Texture.rotateXAxis,icp2,regular,8,7,0,7.28076,222.714,0.59739,2.12284
Apartment.Texture.rotateXAxis,icp2,regular,9,8,0,7.91175,436.1,0.154224,10.9625
Apartment.Texture.rotateXAxis,icp2,regular,10,9,0,7.44243,487.621,0.211983,5.145
Apartment.Texture.rotateXAxis,icp2,regular,11,10,0,7.49947,248.673,0.376717,2.42351
Apartment.Texture.rotateXAxis,icp2,regular,12,11,0,7.80914,90.3669,0.267825,3.83593
Apartment.Texture.rotateXAxis,icp2,regular,13,12,0,7.70719,324.548,0.148265,5.82971
Apartment.Texture.rotateXAxis,icp2,regular,14,13,0,7.53091,36.7284,0.430444,1.92738
Apartment.Texture.rotateXAxis,icp2,regular,15,14,0,7.69109,183.877,0.141129,4.9751
Apartment.Texture.rotateXAxis,icp2,regular,16,15,0,7.64205,1825.84,0.135221,23.4038
Apartment.Texture.rotateXAxis,icp2,regular,17,16,0,7.4805,150.789,0.318226,2.7346
Apartment.Texture.rotateXAxis,icp2,regular,18,17,0,7.37829,76.3921,0.407393,2.48297
Apartment.Texture.rotateXAxis,icp2,regular,19,18,0,7.80605,1455.4,0.123461,13.2023
Apartment.Texture.rotateXAxis,icp2,regular,20,19,0,7.97821,1786.18,0.0680063,28.474
Apartment.Texture.rotateXAxis,icp2,regular,21,20,0,7.74598,1143.14,0.0766786,18.4414
Apartment.Texture.rotateXAxis,icp2,regular,22,21,0,7.82013,4184.87,0.0533639,33.7688
Apartment.Texture.rotateXAxis,icp2,regular,23,22,0,7.46044,3596.4,0.338003,4.35564
Apartment.Texture.rotateXAxis,icp2,regular,24,23,0,7.20683,133.55,0.60225,1.64629
Apartment.Texture.rotateXAxis,icp2,regular,25,24,0,7.3544,50.6048,0.452369,2.30849
Apartment.Texture.rotateXAxis,icp2,regular,26,25,0,7.23438,297.453,0.5606,2.3307
Apartment.Texture.rotateXAxis,icp2,regular,27,26,0,7.84346,526.58,0.163817,11.1949
Apartment.Texture.rotateXAxis,icp2,regular,28,27,0,7.32068,464.327,0.26668,8.77287
Apartment.Texture.rotateXAxis,icp2,regular,29,28,0,6.80275,92.0341,0.598693,1.94545
