data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse
Apartment.Texture.rotateXAxis,icp2,regular,5,4,0,7.62688,1.86756
Apartment.Texture.rotateXAxis,icp2,regular,6,5,0,7.78393,1.84862
Apartment.Texture.rotateXAxis,icp2,regular,7,6,0,7.83339,1.88281
Apartment.Texture.rotateXAxis,icp2,regular,8,7,0,7.29485,1.38763
Apartment.Texture.rotateXAxis,icp2,regular,9,8,0,7.83842,1.87452
Apartment.Texture.rotateXAxis,icp2,regular,10,9,0,7.73303,1.87488
Apartment.Texture.rotateXAxis,icp2,regular,11,10,0,7.23215,1.5865
Apartment.Texture.rotateXAxis,icp2,regular,12,11,0,7.73477,1.71936
Apartment.Texture.rotateXAxis,icp2,regular,13,12,0,8.1481,1.92552
Apartment.Texture.rotateXAxis,icp2,regular,14,13,0,7.59071,1.61991
Apartment.Texture.rotateXAxis,icp2,regular,15,14,0,7.63637,1.75232
Apartment.Texture.rotateXAxis,icp2,regular,16,15,0,7.78219,1.35662
Apartment.Texture.rotateXAxis,icp2,regular,17,16,0,7.4323,1.56938
Apartment.Texture.rotateXAxis,icp2,regular,18,17,0,7.49681,1.50278
Apartment.Texture.rotateXAxis,icp2,regular,19,18,0,7.90496,1.89586
Apartment.Texture.rotateXAxis,icp2,regular,20,19,0,8.08152,1.92451
Apartment.Texture.rotateXAxis,icp2,regular,21,20,0,7.8306,1.67005
Apartment.Texture.rotateXAxis,icp2,regular,22,21,0,7.91127,1.74263
Apartment.Texture.rotateXAxis,icp2,regular,23,22,0,7.63404,1.50441
Apartment.Texture.rotateXAxis,icp2,regular,24,23,0,6.95969,1.24726
Apartment.Texture.rotateXAxis,icp2,regular,25,24,0,7.5037,1.38537
Apartment.Texture.rotateXAxis,icp2,regular,26,25,0,7.09258,1.28301
Apartment.Texture.rotateXAxis,icp2,regular,27,26,0,7.71687,1.48477
Apartment.Texture.rotateXAxis,icp2,regular,28,27,0,7.64844,1.46088
Apartment.Texture.rotateXAxis,icp2,regular,29,28,0,6.81307,1.25331
