alg,frame1,frame2,seconds,hd
none,5,4,0,3.01491
none,6,5,0,4.92056
none,7,6,0,8.02254
none,8,7,0,2.10063
none,9,8,0,11.8889
none,10,9,0,4.08849
none,11,10,0,2.60846
none,12,11,0,3.74303
none,13,12,0,6.21446
none,14,13,0,1.92813
none,15,14,0,4.75549
none,16,15,0,23.1895
none,17,16,0,2.59581
none,18,17,0,2.46257
none,19,18,0,12.8339
none,20,19,0,28.7606
none,21,20,0,17.6128
none,22,21,0,34.5115
none,23,22,0,3.70713
none,24,23,0,1.80663
none,25,24,0,2.18706
none,26,25,0,2.25055
none,27,26,0,11.3021
none,28,27,0,9.06469
none,29,28,0,2.04966
FM2D,5,4,0.339161,1.33481
FM2D,6,5,0.161762,1.68483
FM2D,7,6,0.16504,1.34864
FM2D,8,7,0.143237,2.26964
FM2D,9,8,0.164784,1.34885
FM2D,10,9,0.169357,1.43367
FM2D,11,10,0.181834,1.71925
FM2D,12,11,0.168727,1.79216
FM2D,13,12,0.19037,2.97638
FM2D,14,13,0.184501,1.48528
FM2D,15,14,0.191462,3.28894
FM2D,16,15,0.188724,24.6335
FM2D,17,16,0.188489,1.54148
FM2D,18,17,0.192702,2.08955
FM2D,19,18,0.199607,2.12663
FM2D,20,19,0.199485,1.75532
FM2D,21,20,0.207847,17.3425
FM2D,22,21,0.230397,30.0512
FM2D,23,22,0.197593,2.4129
FM2D,24,23,0.20174,1.55593
FM2D,25,24,0.207498,1.97251
FM2D,26,25,0.216962,2.27393
FM2D,27,26,0.214863,9.86705
FM2D,28,27,0.223339,9.23458
FM2D,29,28,0.217714,1.81147
FM3D,5,4,20.4317,7927.91
FM3D,6,5,20.8326,2.77985
FM3D,7,6,20.9483,2.12382
FM3D,8,7,21.2639,291.922
FM3D,9,8,21.4352,1.75835
FM3D,10,9,21.3838,1.65131
FM3D,11,10,21.0505,2.21381
FM3D,12,11,21.2328,2.43062
FM3D,13,12,21.3209,4.26347
FM3D,14,13,20.3273,1.914
FM3D,15,14,20.1736,3.50101
FM3D,16,15,20.2392,24.3533
FM3D,17,16,20.8845,1.7395
FM3D,18,17,23.4534,2.42828
FM3D,19,18,20.4416,2.58139
FM3D,20,19,19.4404,1.84621
FM3D,21,20,19.1608,15.4415
FM3D,22,21,18.5981,29.2805
FM3D,23,22,18.6574,2.98033
FM3D,24,23,18.7391,1.66131
FM3D,25,24,18.7011,2.2396
FM3D,26,25,18.9131,4.06376
FM3D,27,26,18.4995,14.2648
FM3D,28,27,18.2018,9.99594
FM3D,29,28,17.8239,2.23523
ICP,5,4,17.9491,1.46722
ICP,6,5,27.0685,1.60828
ICP,7,6,33.1609,1.34021
ICP,8,7,13.7307,1.88852
ICP,9,8,42.8011,1.3159
ICP,10,9,23.4387,1.44732
ICP,11,10,22.956,1.69422
ICP,12,11,28.0565,1.55475
ICP,13,12,28.8101,2.60474
ICP,14,13,22.7117,1.30556
ICP,15,14,24.0758,3.09294
ICP,16,15,9.88839,23.4071
ICP,17,16,31.8493,1.53637
ICP,18,17,27.7862,1.58474
ICP,19,18,47.4679,2.0057
ICP,20,19,47.7005,1.64236
ICP,21,20,20.3314,12.9454
ICP,22,21,19.8329,29.1818
ICP,23,22,32.4031,2.34206
ICP,24,23,35.7625,1.52418
ICP,25,24,32.2598,1.77509
ICP,26,25,27.0929,2.32114
ICP,27,26,19.7579,9.13174
ICP,28,27,23.6322,8.41619
ICP,29,28,13.4147,1.98875
PCA,5,4,0.044146,2.777
PCA,6,5,0.018567,2.4862
PCA,7,6,0.016328,1.52616
PCA,8,7,0.018169,10.3672
PCA,9,8,0.018669,12.31
PCA,10,9,0.018667,3.80585
