alg,frame1,frame2,seconds,hd
none,5,4,0,0.153456
none,6,5,0,0.154665
none,7,6,0,0.152207
none,8,7,0,0.230075
none,9,8,0,0.394682
none,10,9,0,0.183035
none,11,10,0,0.98827
none,12,11,0,0.328263
none,13,12,0,0.270175
none,14,13,0,1.38504
none,15,14,0,2.61115
none,16,15,0,0.709755
none,17,16,0,0.263145
none,18,17,0,0.315805
none,19,18,0,2.52162
none,20,19,0,0.368343
none,21,20,0,0.171384
none,22,21,0,0.361255
none,23,22,0,0.156957
none,24,23,0,0.186515
none,25,24,0,0.429164
none,26,25,0,0.253059
none,27,26,0,0.143192
none,28,27,0,0.342952
none,29,28,0,0.3554
FM2D,5,4,0.219679,0.205758
FM2D,6,5,0.272995,0.1716
FM2D,7,6,0.241724,0.327204
FM2D,8,7,0.235161,0.254609
FM2D,9,8,0.235488,0.312443
FM2D,10,9,0.248568,0.259136
FM2D,11,10,0.232351,0.222365
FM2D,12,11,0.239928,0.191303
FM2D,13,12,0.22357,0.255635
FM2D,14,13,0.218485,0.53597
FM2D,15,14,0.247825,1.42892
FM2D,16,15,0.23358,0.522857
FM2D,17,16,0.231629,0.21693
FM2D,18,17,0.231754,0.330203
FM2D,19,18,0.232518,2.37777
FM2D,20,19,0.240372,0.399048
FM2D,21,20,0.231487,0.187582
FM2D,22,21,0.223544,0.240751
FM2D,23,22,0.229173,0.314528
FM2D,24,23,0.235756,0.282501
FM2D,25,24,0.228262,0.299751
FM2D,26,25,0.227647,0.323285
FM2D,27,26,0.221716,0.164622
FM2D,28,27,0.22356,0.354302
FM2D,29,28,0.19224,0.224856
FM3D,5,4,16.0785,0.171336
FM3D,6,5,15.9256,0.184119
FM3D,7,6,15.9598,0.171278
FM3D,8,7,15.8384,0.29658
FM3D,9,8,15.8445,0.450965
FM3D,10,9,15.9394,0.219537
FM3D,11,10,16.048,1.13921
FM3D,12,11,16.4851,0.267062
FM3D,13,12,15.8751,0.23807
FM3D,14,13,15.9252,1.61143
FM3D,15,14,15.9083,1.98612
FM3D,16,15,15.9417,0.627885
FM3D,17,16,15.8694,0.27438
FM3D,18,17,15.9504,0.353189
FM3D,19,18,15.8183,2.78958
FM3D,20,19,15.8462,0.347504
FM3D,21,20,15.8397,0.159714
FM3D,22,21,15.9453,0.189011
FM3D,23,22,15.8982,0.134906
FM3D,24,23,16.0454,0.195706
FM3D,25,24,16.0196,0.254243
FM3D,26,25,15.9674,0.329641
FM3D,27,26,16.0767,0.13271
FM3D,28,27,15.7867,0.531021
FM3D,29,28,15.9171,0.243318
ICP,5,4,11.6856,0.164745
ICP,6,5,11.8368,0.188427
ICP,7,6,8.00433,0.135905
ICP,8,7,16.2807,0.160109
ICP,9,8,16.5425,0.33049
ICP,10,9,15.8116,0.168993
ICP,11,10,21.3037,0.251678
ICP,12,11,19.9986,0.268889
ICP,13,12,11.877,0.239416
ICP,14,13,9.14371,1.29594
ICP,15,14,13.3145,1.26941
ICP,16,15,13.0913,0.664519
ICP,17,16,20.6184,0.150093
ICP,18,17,12.3092,0.274404
ICP,19,18,13.1848,2.16924
ICP,20,19,16.5101,0.372936
ICP,21,20,12.2322,0.13982
ICP,22,21,16.0824,0.348721
ICP,23,22,12.2356,0.144717
ICP,24,23,8.50389,0.182147
