alg,frame1,frame2,seconds,hd
none,5,4,0,0.16759
none,6,5,0,0.183358
none,7,6,0,0.195317
none,8,7,0,0.195953
none,9,8,0,0.319438
none,10,9,0,0.862298
none,11,10,0,1.05351
none,12,11,0,0.703812
none,13,12,0,0.445202
none,14,13,0,0.466212
none,15,14,0,0.54541
none,16,15,0,0.303246
none,17,16,0,1.62954
none,18,17,0,0.39503
none,19,18,0,0.296319
none,20,19,0,0.33986
none,21,20,0,0.367296
none,22,21,0,0.528989
none,23,22,0,3.76976
none,24,23,0,0.732298
none,25,24,0,1.7397
none,26,25,0,4.32621
none,27,26,0,1.39768
none,28,27,0,1.79037
none,29,28,0,2.7463
FM2D,5,4,0.172916,0.223196
FM2D,6,5,0.197332,0.213357
FM2D,7,6,0.202966,0.258176
FM2D,8,7,0.205777,0.234535
FM2D,9,8,0.208677,0.259284
FM2D,10,9,0.180123,0.298395
FM2D,11,10,0.187101,1.04465
FM2D,12,11,0.203863,0.539536
FM2D,13,12,0.200164,0.226148
FM2D,14,13,0.229922,0.332276
FM2D,15,14,0.196998,0.283453
FM2D,16,15,0.197985,0.30687
FM2D,17,16,0.207477,0.652417
FM2D,18,17,0.239567,0.345073
FM2D,19,18,0.232731,0.292613
FM2D,20,19,0.213564,0.316837
FM2D,21,20,0.224605,0.270988
FM2D,22,21,0.198194,0.486836
FM2D,23,22,0.247651,0.904839
FM2D,24,23,0.199129,0.513533
FM2D,25,24,0.181707,0.559578
FM2D,26,25,0.175336,0.646768
FM2D,27,26,0.192541,0.546994
FM2D,28,27,0.169965,1.22684
FM2D,29,28,0.159595,0.782665
PCA,5,4,0.015863,0.176501
PCA,6,5,0.016564,0.192968
PCA,7,6,0.016478,0.229725
PCA,8,7,0.016166,0.270762
PCA,9,8,0.017311,0.352977
PCA,10,9,0.01569,0.413443
PCA,11,10,0.016714,1.34295
PCA,12,11,0.016014,0.530267
PCA,13,12,0.01586,0.267715
PCA,14,13,0.015791,0.791535
PCA,15,14,0.016134,0.433427
PCA,16,15,0.015467,0.402428
PCA,17,16,0.01569,98.9182
PCA,18,17,0.018118,0.949636
PCA,19,18,0.015401,0.429157
PCA,20,19,0.015669,103.698
PCA,21,20,0.016046,0.40158
PCA,22,21,0.016288,0.422419
