data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Boxes.Texture.zoomOut,none,regular,5,4,0,0,2.56144,0.955,0.243114
Boxes.Texture.zoomOut,none,regular,6,5,0,0,9.13644,0.947328,0.305508
Boxes.Texture.zoomOut,none,regular,7,6,0,0,8.90943,0.952564,0.27891
Boxes.Texture.zoomOut,none,regular,8,7,0,0,1.69709,0.977345,0.157845
Boxes.Texture.zoomOut,none,regular,9,8,0,0,554.242,0.982231,0.260754
Boxes.Texture.zoomOut,none,regular,10,9,0,0,31.0181,0.976385,0.199375
Boxes.Texture.zoomOut,none,regular,11,10,0,0,2.28091,0.973594,0.167134
Boxes.Texture.zoomOut,none,regular,12,11,0,0,1.78523,0.981597,0.140752
Boxes.Texture.zoomOut,none,regular,13,12,0,0,2.87264,0.980736,0.151328
Boxes.Texture.zoomOut,none,regular,14,13,0,0,248.89,0.981371,0.228467
Boxes.Texture.zoomOut,none,regular,15,14,0,0,2.59811,0.973073,0.180528
Boxes.Texture.zoomOut,none,regular,16,15,0,0,2.90681,0.97933,0.196872
Boxes.Texture.zoomOut,none,regular,17,16,0,0,1.1871,0.982647,0.146717
Boxes.Texture.zoomOut,none,regular,18,17,0,0,1.82818,0.979833,0.162646
Boxes.Texture.zoomOut,none,regular,19,18,0,0,2.45837,0.978724,0.165666
Boxes.Texture.zoomOut,none,regular,20,19,0,0,1.32556,0.981272,0.143702
Boxes.Texture.zoomOut,none,regular,21,20,0,0,4.29522,0.979959,0.15524
Boxes.Texture.zoomOut,none,regular,22,21,0,0,17.1063,0.975801,0.239789
Boxes.Texture.zoomOut,none,regular,23,22,0,0,37.8364,0.97673,0.241716
Boxes.Texture.zoomOut,none,regular,24,23,0,0,10.1491,0.971913,0.237976
Boxes.Texture.zoomOut,none,regular,25,24,0,0,12.431,0.979458,0.194968
Boxes.Texture.zoomOut,none,regular,26,25,0,0,7.97927,0.976643,0.204182
Boxes.Texture.zoomOut,none,regular,27,26,0,0,123.932,0.962793,0.357967
Boxes.Texture.zoomOut,none,regular,28,27,0,0,6.42865,0.976136,0.202701
Boxes.Texture.zoomOut,none,regular,29,28,0,0,7.48368,0.975292,0.203165
Boxes.Texture.zoomOut,pc,regular,5,4,0,3.41522,3.8199,0.953244,0.261523
Boxes.Texture.zoomOut,pc,regular,6,5,0,2.17576,242.163,0.940325,0.406877
Boxes.Texture.zoomOut,pc,regular,7,6,0,2.14609,83.378,0.949342,0.347383
Boxes.Texture.zoomOut,pc,regular,8,7,0,2.11509,2.48514,0.979439,0.151855
Boxes.Texture.zoomOut,pc,regular,9,8,0,2.12052,1.4599,0.983398,0.136613
Boxes.Texture.zoomOut,pc,regular,10,9,0,2.12083,26.2961,0.977857,0.18475
Boxes.Texture.zoomOut,pc,regular,11,10,0,2.12041,10.4819,0.971884,0.183434
Boxes.Texture.zoomOut,pc,regular,12,11,0,2.11904,1.53285,0.983804,0.127699
Boxes.Texture.zoomOut,pc,regular,13,12,0,2.11866,70.8473,0.983175,0.163954
Boxes.Texture.zoomOut,pc,regular,14,13,0,2.12027,29.9503,0.979936,0.18583
Boxes.Texture.zoomOut,pc,regular,15,14,0,2.11438,1.78681,0.974525,0.171951
Boxes.Texture.zoomOut,pc,regular,16,15,0,2.13523,1.32917,0.983287,0.168504
Boxes.Texture.zoomOut,pc,regular,17,16,0,2.17078,3.64,0.983565,0.140728
Boxes.Texture.zoomOut,pc,regular,18,17,0,2.11457,1.07899,0.981062,0.152218
Boxes.Texture.zoomOut,pc,regular,19,18,0,2.11556,5.3162,0.980955,0.163207
Boxes.Texture.zoomOut,pc,regular,20,19,0,2.15716,0.985589,0.982103,0.136357
Boxes.Texture.zoomOut,pc,regular,21,20,0,2.15101,2.99387,0.981262,0.142603
Boxes.Texture.zoomOut,pc,regular,22,21,0,2.11292,13.5352,0.96974,0.302968
Boxes.Texture.zoomOut,pc,regular,23,22,0,2.11839,133.046,0.977213,0.288238
Boxes.Texture.zoomOut,pc,regular,24,23,0,2.11223,10.1288,0.968724,0.262759
Boxes.Texture.zoomOut,pc,regular,25,24,0,2.11604,6.73977,0.978896,0.188264
Boxes.Texture.zoomOut,pc,regular,26,25,0,2.11922,9.43115,0.978719,0.203226
Boxes.Texture.zoomOut,pc,regular,27,26,0,2.11937,6.57377,0.947892,0.305882
Boxes.Texture.zoomOut,pc,regular,28,27,0,2.12688,7.85821,0.975436,0.212979
Boxes.Texture.zoomOut,pc,regular,29,28,0,2.1188,29.8397,0.974479,0.240738
Boxes.Texture.zoomOut,pc2,regular,5,4,0,5.3526,457.378,0.898832,0.779985
Boxes.Texture.zoomOut,pc2,regular,6,5,0,5.44939,159.193,0.944525,0.434752
Boxes.Texture.zoomOut,pc2,regular,7,6,0,5.43641,148.655,0.823011,0.923076
Boxes.Texture.zoomOut,pc2,regular,8,7,0,5.43861,8.68502,0.972886,0.210903
Boxes.Texture.zoomOut,pc2,regular,9,8,0,5.46858,1109.61,0.519159,4.44284
Boxes.Texture.zoomOut,pc2,regular,10,9,0,5.42098,160.408,0.828073,0.98206
Boxes.Texture.zoomOut,pc2,regular,11,10,0,5.38883,45.726,0.879232,0.532413
Boxes.Texture.zoomOut,pc2,regular,12,11,0,5.42368,1.32008,0.976568,0.175874
Boxes.Texture.zoomOut,pc2,regular,13,12,0,5.41643,147.191,0.879618,0.618613
Boxes.Texture.zoomOut,pc2,regular,14,13,0,5.42579,1553.71,0.782138,1.08881
Boxes.Texture.zoomOut,pc2,regular,15,14,0,5.43961,106.111,0.968619,0.227177
Boxes.Texture.zoomOut,pc2,regular,16,15,0,5.55531,5433.68,0.857479,1.45787
Boxes.Texture.zoomOut,pc2,regular,17,16,0,5.42745,25.2569,0.827008,0.546711
Boxes.Texture.zoomOut,pc2,regular,18,17,0,5.42427,0.934267,0.981191,0.139856
Boxes.Texture.zoomOut,pc2,regular,19,18,0,5.51017,1.06046,0.981479,0.141205
Boxes.Texture.zoomOut,pc2,regular,20,19,0,5.4722,8.08991,0.980586,0.158772
Boxes.Texture.zoomOut,pc2,regular,21,20,0,5.42009,12.7847,0.977269,0.18669
Boxes.Texture.zoomOut,pc2,regular,22,21,0,5.42795,345.76,0.921065,0.771973
Boxes.Texture.zoomOut,pc2,regular,23,22,0,5.45518,23.4578,0.979121,0.199668
Boxes.Texture.zoomOut,pc2,regular,24,23,0,5.4692,0.890196,0.981563,0.136311
Boxes.Texture.zoomOut,pc2,regular,25,24,0,5.44236,2.03957,0.981006,0.156605
