alg,frame1,frame2,seconds,hd
none,5,4,0,0.30223
none,6,5,0,0.411618
none,7,6,0,0.392931
none,8,7,0,0.179916
none,9,8,0,0.156511
none,10,9,0,0.193705
none,11,10,0,0.150132
none,12,11,0,0.148559
none,13,12,0,0.151783
none,14,13,0,0.151308
none,15,14,0,0.197231
none,16,15,0,0.210205
none,17,16,0,0.165301
none,18,17,0,0.187335
none,19,18,0,0.174076
none,20,19,0,0.16299
none,21,20,0,0.178364
none,22,21,0,0.272197
none,23,22,0,0.224182
none,24,23,0,0.23315
none,25,24,0,0.170035
none,26,25,0,0.230887
none,27,26,0,0.314645
none,28,27,0,0.186977
none,29,28,0,0.175292
FM2D,5,4,0.427288,0.291546
FM2D,6,5,0.29771,0.419317
FM2D,7,6,0.290223,0.350375
FM2D,8,7,0.288297,0.184721
FM2D,9,8,0.286062,0.1517
FM2D,10,9,0.309408,0.187878
FM2D,11,10,0.305653,0.149981
FM2D,12,11,0.304777,0.215995
FM2D,13,12,0.343456,0.205287
FM2D,14,13,0.30433,0.304103
FM2D,15,14,0.314151,0.217605
FM2D,16,15,0.301018,0.290976
FM2D,17,16,0.287273,0.179132
FM2D,18,17,0.285491,0.161373
FM2D,19,18,0.275227,0.376104
FM2D,20,19,0.286375,0.152051
FM2D,21,20,0.28449,0.157993
FM2D,22,21,0.274436,0.219871
FM2D,23,22,0.289297,0.239242
FM2D,24,23,0.288016,0.192894
FM2D,25,24,0.302065,0.198794
FM2D,26,25,0.277257,0.241396
FM2D,27,26,0.302287,0.227061
FM2D,28,27,0.280701,0.177849
FM2D,29,28,0.261647,0.187384
FVR,5,4,55.8836,0.652017
FVR,6,5,49.0283,0.706615
FVR,7,6,48.7639,0.392931
FVR,8,7,48.8702,0.388473
FVR,9,8,49.9532,0.247794
FVR,10,9,47.9514,2.28915
FVR,11,10,48.0531,0.332514
FVR,12,11,49.1928,0.629886
FVR,13,12,47.9558,0.341423
FVR,14,13,56.2706,0.330439
FVR,15,14,54.5231,0.372081
FVR,16,15,56.3978,0.304316
FVR,17,16,57.306,0.227659
FVR,18,17,56.5224,0.618367
FVR,19,18,56.0825,0.244547
FVR,20,19,56.6626,0.578128
FVR,21,20,57.5121,0.337161
FVR,22,21,57.2446,0.252484
FVR,23,22,56.1504,0.358719
FVR,24,23,56.2141,0.23315
FVR,25,24,55.6595,0.155125
FVR,26,25,55.0095,0.289403
FVR,27,26,56.012,0.276705
FVR,28,27,56.3409,0.396354
FVR,29,28,56.5527,0.274021
