alg,frame1,frame2,seconds,hd
none,5,4,0,0.394738
none,6,5,0,0.593148
none,7,6,0,0.430547
none,8,7,0,0.966194
none,9,8,0,1.36928
none,10,9,0,0.720909
none,11,10,0,1.93721
none,12,11,0,0.661506
none,13,12,0,2.70457
none,14,13,0,1.56197
none,15,14,0,27.7993
none,16,15,0,15.7867
none,17,16,0,75.9051
none,18,17,0,12.3015
none,19,18,0,8.75171
none,20,19,0,32.8414
none,21,20,0,0.501217
none,22,21,0,1.14733
none,23,22,0,2.76289
none,24,23,0,2.40446
none,25,24,0,1.70734
none,26,25,0,2.85378
none,27,26,0,33.9058
none,28,27,0,2.75817
none,29,28,0,1.22736
FM2D,5,4,0.479913,0.427059
FM2D,6,5,0.240975,0.511405
FM2D,7,6,0.243385,0.505066
FM2D,8,7,0.223907,1.16111
FM2D,9,8,0.227328,1.18962
FM2D,10,9,0.306732,0.579869
FM2D,11,10,0.251185,2.23156
FM2D,12,11,0.253038,0.575454
FM2D,13,12,0.244131,1.51708
FM2D,14,13,0.253039,0.924191
FM2D,15,14,0.236538,26.0733
FM2D,16,15,0.245558,25.8039
FM2D,17,16,0.224953,84.6808
FM2D,18,17,0.244861,14.8138
FM2D,19,18,0.252971,8.04678
FM2D,20,19,0.228639,35.9532
FM2D,21,20,0.294568,0.677605
FM2D,22,21,0.21194,0.631157
FM2D,23,22,0.177325,1.90329
FM2D,24,23,0.193111,3.32153
FM2D,25,24,0.240306,0.945952
FM2D,26,25,0.1972,2.98774
FM2D,27,26,0.189123,4.03651
FM2D,28,27,0.177093,0.651134
FM2D,29,28,0.186671,1.23536
FM3D,5,4,71.835,0.386444
FM3D,6,5,72.8646,0.600255
FM3D,7,6,71.4192,0.411181
FM3D,8,7,71.034,1.14981
FM3D,9,8,71.1674,0.840738
FM3D,10,9,71.0847,0.578428
FM3D,11,10,71.1674,1.59657
FM3D,12,11,71.0166,0.770299
FM3D,13,12,71.4585,2.48019
FM3D,14,13,71.3109,2.46662
FM3D,15,14,71.269,27.1609
FM3D,16,15,71.1376,16.9519
FM3D,17,16,71.1277,76.7683
FM3D,18,17,71.0556,12.593
FM3D,19,18,71.0649,8.39369
FM3D,20,19,71.2026,33.1912
FM3D,21,20,71.044,0.425612
FM3D,22,21,71.3173,1.08224
FM3D,23,22,71.4353,3.42056
FM3D,24,23,70.7855,2.57921
FM3D,25,24,70.9537,3.52895
FM3D,26,25,71.0403,2.56914
FM3D,27,26,71.1157,31.7833
FM3D,28,27,71.4942,1076.79
FM3D,29,28,71.9051,1.11099
ICP,5,4,6.03181,0.425551
ICP,6,5,22.3431,0.37038
ICP,7,6,9.30671,0.689881
ICP,8,7,9.9359,0.959396
ICP,9,8,13.2586,0.747345
ICP,10,9,16.1305,2.34602
ICP,11,10,10.2931,1.21059
ICP,12,11,16.3753,0.451198
ICP,13,12,15.4454,1.58989
ICP,14,13,23.7636,0.829318
ICP,15,14,11.9537,24.6425
ICP,16,15,15.3525,12.6847
ICP,17,16,19.5296,75.187
ICP,18,17,11.4547,11.3068
ICP,19,18,30.2825,5.96803
ICP,20,19,16.0203,27.6466
ICP,21,20,6.38,0.645189
ICP,22,21,12.3143,0.542638
ICP,23,22,16.9558,1.58637
ICP,24,23,8.00365,2.29164
ICP,25,24,7.55252,2.92841
ICP,26,25,15.1957,2.37079
ICP,27,26,22.8112,8.1486
ICP,28,27,18.0898,0.859187
ICP,29,28,15.4097,1.11946
PCA,5,4,0.021887,0.444711
PCA,6,5,0.021141,0.443054
PCA,7,6,0.020983,0.495027
PCA,8,7,0.021188,1.22485
PCA,9,8,0.021304,1.04372
PCA,10,9,0.021534,0.699312
PCA,11,10,0.021289,1.50673
PCA,12,11,0.021333,0.675469
PCA,13,12,0.020933,2.27208
PCA,14,13,0.020939,1.1526
PCA,15,14,0.021317,26.1605
PCA,16,15,0.02153,14.0889
PCA,17,16,0.021229,73.985
PCA,18,17,0.021047,14.9934
PCA,19,18,0.021814,8.0337
PCA,20,19,0.021671,33.1955
PCA,21,20,0.021572,0.618851
PCA,22,21,0.021393,0.987994
PCA,23,22,0.021426,2.29047
PCA,24,23,0.021524,2.69458
PCA,25,24,0.021469,2.79178
PCA,26,25,0.022277,3.49873
PCA,27,26,0.022722,3.23295
PCA,28,27,0.021718,0.679688
PCA,29,28,0.021891,1.45004
FVR,5,4,55.2779,0.79895
FVR,6,5,39.4815,0.375919
FVR,7,6,39.4853,0.520825
FVR,8,7,39.4167,0.742059
FVR,9,8,39.3516,0.931254
FVR,10,9,39.4823,0.756597
FVR,11,10,39.4571,1.0997
FVR,12,11,39.2659,1.1625
FVR,13,12,39.1864,2.02134
FVR,14,13,39.1002,0.870573
FVR,15,14,39.0603,31.8409
FVR,16,15,39.0841,13.4272
FVR,17,16,39.0955,72.2941
FVR,18,17,39.146,12.3519
FVR,19,18,39.1581,7.46631
FVR,20,19,39.1623,32.8383
FVR,21,20,39.4181,0.831358
FVR,22,21,42.2058,0.531382
FVR,23,22,42.2884,3.81843
FVR,24,23,39.8168,6.54668
FVR,25,24,63.3742,0.958754
FVR,26,25,68.2191,2.52724
FVR,27,26,65.9053,3.36118
FVR,28,27,63.2451,0.513815
FVR,29,28,61.5673,1.3036
FVR3D,5,4,133.284,0.886539
FVR3D,6,5,9796.63,0.747339
FVR3D,7,6,152.223,0.88674
FVR3D,8,7,139.436,1.89953
FVR3D,9,8,132.383,1.96774
FVR3D,10,9,135.038,1.0598
FVR3D,11,10,148.869,2.05871
FVR3D,12,11,145.342,0.644218
FVR3D,13,12,139.535,1.55731
FVR3D,14,13,136.49,2.51252
FVR3D,15,14,141.352,30.4477
FVR3D,16,15,133.315,16.1955
FVR3D,17,16,134.245,110.581
FVR3D,18,17,130.594,20.6177
FVR3D,19,18,130.484,10.2561
FVR3D,20,19,131.3,32.1522
FVR3D,21,20,137.713,0.601424
FVR3D,22,21,133.004,0.66984
FVR3D,23,22,133.108,3.47958
FVR3D,24,23,133.339,2.9997
FVR3D,25,24,132.647,45.9422
FVR3D,26,25,132.744,8.49674
FVR3D,27,26,131.529,4.01862
FVR3D,28,27,133.718,3.16591
FVR3D,29,28,134.719,5.9795
FVR3D-2,5,4,69.8996,1.50054
FVR3D-2,6,5,69.8789,0.736221
FVR3D-2,7,6,69.7198,0.696738
FVR3D-2,8,7,78.3181,1.31274
FVR3D-2,9,8,74.2625,1.08887
FVR3D-2,10,9,69.1096,1.69562
FVR3D-2,11,10,70.571,1.09505
FVR3D-2,12,11,71.0164,0.473196
FVR3D-2,13,12,80.3262,1.90208
FVR3D-2,14,13,69.9069,1.10438
FVR3D-2,15,14,77.2045,26.6029
FVR3D-2,16,15,84.2514,19.9806
FVR3D-2,17,16,81.9484,72.5103
FVR3D-2,18,17,77.744,12.1939
FVR3D-2,19,18,77.0119,8.74751
FVR3D-2,20,19,92.7738,26.51
FVR3D-2,21,20,68.6958,0.771805
FVR3D-2,22,21,74.231,0.551222
FVR3D-2,23,22,94.5892,1.65624
FVR3D-2,24,23,78.3995,3.20241
FVR3D-2,25,24,82.16,1.07923
FVR3D-2,26,25,85.3979,1.7058
FVR3D-2,27,26,78.0949,3.83573
FVR3D-2,28,27,83.0982,1.23335
FVR3D-2,29,28,73.9617,1.06952
FFVR,5,4,15.1012,0.404669
FFVR,6,5,14.809,0.398651
FFVR,7,6,14.949,0.520784
FFVR,8,7,14.5787,0.936038
FFVR,9,8,15.018,1.02042
FFVR,10,9,14.6591,0.534477
FFVR,11,10,15.0593,1.1579
FFVR,12,11,14.7076,0.463289
FFVR,13,12,14.8365,1.5529
FFVR,14,13,14.5787,0.820371
FFVR,15,14,14.8094,27.3771
FFVR,16,15,14.881,14.7013
FFVR,17,16,15.1339,86.135
FFVR,18,17,15.3196,12.8473
FFVR,19,18,15.3455,8.55085
FFVR,20,19,14.8395,32.8621
FFVR,21,20,14.722,0.441106
FFVR,22,21,14.4629,0.918999
FFVR,23,22,14.575,1.57775
FFVR,24,23,14.4617,2.11716
FFVR,25,24,14.6257,1.7856
FFVR,26,25,14.7649,2.64389
FFVR,27,26,14.5055,6.5068
FFVR,28,27,14.9596,0.790372
FFVR,29,28,15.0074,1.28556
