alg,frame1,frame2,seconds,hd
none,5,4,0,2.35726
none,6,5,0,1.81559
none,7,6,0,2.38142
none,8,7,0,1.46607
none,9,8,0,1.08589
none,10,9,0,1.8585
none,11,10,0,2.02828
none,12,11,0,2.51948
none,13,12,0,196.088
none,14,13,0,4.79409
none,15,14,0,14.5226
none,16,15,0,1.77753
none,17,16,0,8.6306
none,18,17,0,4.97331
none,19,18,0,15.5897
none,20,19,0,39.9278
none,21,20,0,3.69752
none,22,21,0,1.8327
none,23,22,0,8.97928
none,24,23,0,13.4443
none,25,24,0,32.6283
none,26,25,0,16.2635
none,27,26,0,3.76011
none,28,27,0,27.8882
none,29,28,0,3.46676
FM2D,5,4,0.422456,1.55989
FM2D,6,5,0.241906,1.72262
FM2D,7,6,0.248224,1.81683
FM2D,8,7,0.242243,1.40538
FM2D,9,8,0.240024,1.29372
FM2D,10,9,0.241483,2.0014
FM2D,11,10,0.242387,2.42384
FM2D,12,11,0.246763,2.54738
FM2D,13,12,0.254321,2.16766
FM2D,14,13,0.277812,3.17881
FM2D,15,14,0.278565,15.2353
FM2D,16,15,0.276024,1.36811
FM2D,17,16,0.277482,1.85539
FM2D,18,17,0.276008,2.46057
FM2D,19,18,0.285289,11.8839
FM2D,20,19,0.288226,37.8419
FM2D,21,20,0.280523,1.72232
FM2D,22,21,0.28937,2.16448
FM2D,23,22,0.268717,9.86535
FM2D,24,23,0.248717,3.82606
FM2D,25,24,0.241774,13.7963
FM2D,26,25,0.240275,10.3671
FM2D,27,26,0.259866,2.23063
FM2D,28,27,0.243545,5.54752
FM2D,29,28,0.229002,1.98964
FM3D,5,4,71.1533,3.77872
FM3D,6,5,70.4268,1.71726
FM3D,7,6,71.3805,2.39785
FM3D,8,7,71.5858,1.45172
FM3D,9,8,71.6313,8672.61
FM3D,10,9,71.531,1.7216
FM3D,11,10,71.4006,4861.13
FM3D,12,11,71.6234,2324.79
FM3D,13,12,71.3846,198.929
FM3D,14,13,71.4045,4.89062
FM3D,15,14,71.6533,14.8305
FM3D,16,15,71.9027,1.87601
FM3D,17,16,71.6493,2117.45
FM3D,18,17,71.7881,10659.8
FM3D,19,18,72.1849,15.9384
FM3D,20,19,73.0275,39.7223
FM3D,21,20,73.258,2.60289
FM3D,22,21,73.2596,15.3901
FM3D,23,22,73.4323,14.7555
FM3D,24,23,73.4216,12514.9
FM3D,25,24,74.5034,12470
FM3D,26,25,76.1813,18.6058
FM3D,27,26,78.1983,18.4571
FM3D,28,27,78.7139,7.23584
FM3D,29,28,79.5814,6.02102
ICP,5,4,24.6339,1.04313
ICP,6,5,23.5967,1.36276
ICP,7,6,20.1602,1.34382
ICP,8,7,9.63972,1.33553
ICP,9,8,6.26895,1.1964
ICP,10,9,16.587,1.62816
ICP,11,10,13.3666,1.53154
ICP,12,11,10.4779,2.0294
ICP,13,12,31.3415,14.749
ICP,14,13,10.7852,3.23029
ICP,15,14,21.9454,13.7218
ICP,16,15,15.9709,1.13486
ICP,17,16,29.7241,1.39724
ICP,18,17,16.1505,2.1829
ICP,19,18,24.7789,11.9835
ICP,20,19,10.4612,37.3474
ICP,21,20,21.5116,1.61808
ICP,22,21,5.99334,1.97141
ICP,23,22,6.52251,13.5888
ICP,24,23,10.2354,5.82944
ICP,25,24,21.0318,16.8308
ICP,26,25,13.7878,8.59878
ICP,27,26,16.0682,2.29337
ICP,28,27,19.9271,7.36755
ICP,29,28,24.8926,1.4738
PCA,5,4,0.02215,1.3939
PCA,6,5,0.021988,1.66847
PCA,7,6,0.022748,2.03392
PCA,8,7,0.02166,3.44119
PCA,9,8,0.021296,2.05769
PCA,10,9,0.02133,2.86421
PCA,11,10,0.022025,3.90835
PCA,12,11,0.023279,2.77646
PCA,13,12,0.02204,4.15123
PCA,14,13,0.022253,5.11481
PCA,15,14,0.021242,24.0611
PCA,16,15,0.021941,7.44377
PCA,17,16,0.021001,17.5521
PCA,18,17,0.021824,846.339
PCA,19,18,0.021763,299.629
PCA,20,19,0.02188,954.588
PCA,21,20,0.020668,368.392
PCA,22,21,0.021012,83.4034
PCA,23,22,0.020489,35.2636
PCA,24,23,0.020554,41.2932
PCA,25,24,0.020408,69.522
PCA,26,25,0.020216,25.8787
PCA,27,26,0.020227,11.0758
PCA,28,27,0.020743,34.8363
PCA,29,28,0.020349,814.285
FVR,5,4,84.0861,1.40664
FVR,6,5,64.5885,1.93888
FVR,7,6,69.2322,1.64943
FVR,8,7,74.0587,2.41453
FVR,9,8,74.2966,3.12468
FVR,10,9,75.9018,2.82751
FVR,11,10,68.6281,1.95001
FVR,12,11,70.9173,2.66792
FVR,13,12,71.8877,2.47909
FVR,14,13,70.7628,4.71974
FVR,15,14,69.3131,17.0141
FVR,16,15,77.1654,1.35443
FVR,17,16,72.7778,2.33368
FVR,18,17,71.6735,2.23882
FVR,19,18,71.6321,13.5021
FVR,20,19,65.7089,34.7218
FVR,21,20,68.0364,2.61101
FVR,22,21,71.5549,2.7868
FVR,23,22,67.0406,11.1079
FVR,24,23,68.5716,11.1406
FVR,25,24,69.8702,15.1996
FVR,26,25,65.4053,10.6854
FVR,27,26,59.4229,2.6175
FVR,28,27,59.4853,8.61469
FVR,29,28,59.4065,4.40881
FVR3D,5,4,127.369,2.03664
FVR3D,6,5,125.338,2.18803
FVR3D,7,6,126.003,1.7491
FVR3D,8,7,126.144,5.40186
FVR3D,9,8,126.022,3.06244
FVR3D,10,9,126.062,2.58084
FVR3D,11,10,125.934,2.78898
FVR3D,12,11,125.433,3.36964
FVR3D,13,12,135.067,4.61134
FVR3D,14,13,130.966,14.9338
FVR3D,15,14,126.226,19.9852
FVR3D,16,15,126.408,2.27659
FVR3D,17,16,126.396,3.63362
FVR3D,18,17,126.807,680.5
FVR3D,19,18,127.041,1571.41
FVR3D,20,19,125.485,39.4536
FVR3D,21,20,125.46,2.94309
FVR3D,22,21,125.539,3.29656
FVR3D,23,22,125.392,10.5596
FVR3D,24,23,125.28,17.8544
FVR3D,25,24,125.51,547.251
FVR3D,26,25,125.409,14.6554
FVR3D,27,26,125.614,3.95697
FVR3D,28,27,125.496,23.4079
FVR3D,29,28,125.48,11.0205
FVR3D-2,5,4,82.7206,1.1469
FVR3D-2,6,5,76.039,1.41818
FVR3D-2,7,6,92.3754,1.23507
FVR3D-2,8,7,82.8284,1.37705
FVR3D-2,9,8,88.8139,1.17662
FVR3D-2,10,9,76.012,1.81583
FVR3D-2,11,10,79.2648,1.46272
FVR3D-2,12,11,75.9689,1.88687
FVR3D-2,13,12,76.814,2.51589
FVR3D-2,14,13,76.7614,3.85205
FVR3D-2,15,14,84.5456,14.4942
FVR3D-2,16,15,87.8816,1.07617
FVR3D-2,17,16,82.0391,1.3179
FVR3D-2,18,17,78.8717,1058.06
FVR3D-2,19,18,89.748,1362.31
FVR3D-2,20,19,76.7747,35.1468
