data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Kitchen.littleTexture.pan,none,regular,5,4,0,0,603.694,0.923822,1.29321
Kitchen.littleTexture.pan,none,regular,6,5,0,0,127.452,0.940431,0.709554
Kitchen.littleTexture.pan,none,regular,7,6,0,0,906.878,0.775262,1.55304
Kitchen.littleTexture.pan,none,regular,8,7,0,0,16.8484,0.972413,0.26632
Kitchen.littleTexture.pan,none,regular,9,8,0,0,2.88954,0.954308,0.291887
Kitchen.littleTexture.pan,none,regular,10,9,0,0,129.93,0.94496,0.432596
Kitchen.littleTexture.pan,none,regular,11,10,0,0,2121.31,0.951671,1.56068
Kitchen.littleTexture.pan,none,regular,12,11,0,0,30.597,0.925965,0.412667
Kitchen.littleTexture.pan,none,regular,13,12,0,0,11.2709,0.794587,0.632292
Kitchen.littleTexture.pan,none,regular,14,13,0,0,12.63,0.962039,0.304037
Kitchen.littleTexture.pan,none,regular,15,14,0,0,267.394,0.889053,0.699207
Kitchen.littleTexture.pan,none,regular,16,15,0,0,3384.59,0.464073,4.96842
Kitchen.littleTexture.pan,none,regular,17,16,0,0,113.458,0.456486,1.83907
Kitchen.littleTexture.pan,none,regular,18,17,0,0,21.7533,0.565436,0.990618
Kitchen.littleTexture.pan,none,regular,19,18,0,0,227.258,0.544553,1.0513
Kitchen.littleTexture.pan,none,regular,20,19,0,0,60.6699,0.44086,1.52159
Kitchen.littleTexture.pan,none,regular,21,20,0,0,11.1072,0.372894,1.64388
Kitchen.littleTexture.pan,none,regular,22,21,0,0,31.1871,0.620445,1.04539
Kitchen.littleTexture.pan,none,regular,23,22,0,0,8.4105,0.593114,1.00176
Kitchen.littleTexture.pan,none,regular,24,23,0,0,135.209,0.808705,1.16968
Kitchen.littleTexture.pan,none,regular,25,24,0,0,23.6724,0.404569,1.71391
Kitchen.littleTexture.pan,none,regular,26,25,0,0,14.7385,0.889147,0.493123
Kitchen.littleTexture.pan,none,regular,27,26,0,0,568.288,0.585115,1.69258
Kitchen.littleTexture.pan,none,regular,28,27,0,0,135.853,0.703452,1.05354
Kitchen.littleTexture.pan,none,regular,29,28,0,0,26.3279,0.710757,0.876949
Kitchen.littleTexture.pan,pc,regular,5,4,0,2.82029,570.364,0.925107,1.18489
Kitchen.littleTexture.pan,pc,regular,6,5,0,2.12994,991.694,0.931082,1.06811
Kitchen.littleTexture.pan,pc,regular,7,6,0,2.15225,386.242,0.929919,1.01756
Kitchen.littleTexture.pan,pc,regular,8,7,0,2.13002,12.0647,0.973889,0.233819
Kitchen.littleTexture.pan,pc,regular,9,8,0,2.20812,187.25,0.953632,0.33103
Kitchen.littleTexture.pan,pc,regular,10,9,0,2.13406,66.3151,0.944284,0.480334
Kitchen.littleTexture.pan,pc,regular,11,10,0,2.15611,860.824,0.932149,1.25898
Kitchen.littleTexture.pan,pc,regular,12,11,0,2.29596,8.51846,0.927248,0.36467
Kitchen.littleTexture.pan,pc,regular,13,12,0,2.21531,21.6672,0.887199,0.511822
Kitchen.littleTexture.pan,pc,regular,14,13,0,2.1329,12.0578,0.960308,0.317508
Kitchen.littleTexture.pan,pc,regular,15,14,0,2.14749,13.0754,0.940401,0.337368
Kitchen.littleTexture.pan,pc,regular,16,15,0,2.12984,57.3404,0.766979,1.25137
Kitchen.littleTexture.pan,pc,regular,17,16,0,2.12924,507.909,0.871679,1.59598
Kitchen.littleTexture.pan,pc,regular,18,17,0,2.14274,21.8633,0.890782,0.562855
Kitchen.littleTexture.pan,pc,regular,19,18,0,2.12677,4.83127,0.888366,0.463484
Kitchen.littleTexture.pan,pc,regular,20,19,0,2.1233,10.7388,0.820586,0.750552
Kitchen.littleTexture.pan,pc,regular,21,20,0,2.12592,7.53188,0.798938,0.83439
Kitchen.littleTexture.pan,pc,regular,22,21,0,2.12923,21.2118,0.877163,0.542743
Kitchen.littleTexture.pan,pc,regular,23,22,0,2.12285,28.7051,0.894653,0.505134
Kitchen.littleTexture.pan,pc,regular,24,23,0,2.13052,51.9062,0.855849,0.752795
Kitchen.littleTexture.pan,pc,regular,25,24,0,2.15531,55.0441,0.47326,2.55917
Kitchen.littleTexture.pan,pc,regular,26,25,0,2.1478,6.97027,0.890534,0.438636
Kitchen.littleTexture.pan,pc,regular,27,26,0,2.1879,212.91,0.863625,1.06487
Kitchen.littleTexture.pan,pc,regular,28,27,0,2.14599,1.73582,0.873748,0.481346
Kitchen.littleTexture.pan,pc,regular,29,28,0,2.13275,16.4974,0.897898,0.464365
Kitchen.littleTexture.pan,pc2,regular,5,4,0,5.43174,1280.37,0.699201,2.26868
Kitchen.littleTexture.pan,pc2,regular,6,5,0,5.46662,2478.45,0.62067,5.10215
Kitchen.littleTexture.pan,pc2,regular,7,6,0,5.47496,1182.77,0.740187,2.1248
Kitchen.littleTexture.pan,pc2,regular,8,7,0,5.44276,14.4546,0.935016,0.377058
Kitchen.littleTexture.pan,pc2,regular,9,8,0,5.50444,1.87868,0.95653,0.270327
Kitchen.littleTexture.pan,pc2,regular,10,9,0,5.4567,27.463,0.95755,0.315384
Kitchen.littleTexture.pan,pc2,regular,11,10,0,5.52188,1038.41,0.835123,1.41235
Kitchen.littleTexture.pan,pc2,regular,12,11,0,5.48738,2.00989,0.901931,0.387233
Kitchen.littleTexture.pan,pc2,regular,13,12,0,5.51188,5.18544,0.794105,0.641386
Kitchen.littleTexture.pan,pc2,regular,14,13,0,5.56182,4.48053,0.965245,0.260666
Kitchen.littleTexture.pan,pc2,regular,15,14,0,5.59474,10.7365,0.941768,0.333012
Kitchen.littleTexture.pan,pc2,regular,16,15,0,5.69332,1125.25,0.535147,2.48995
Kitchen.littleTexture.pan,pc2,regular,17,16,0,5.49261,4.33012e+006,0.00221432,607.884
Kitchen.littleTexture.pan,pc2,regular,18,17,0,5.49731,14.6874,0.513312,1.78986
Kitchen.littleTexture.pan,pc2,regular,19,18,0,5.49806,4.19927,0.534601,1.11244
Kitchen.littleTexture.pan,pc2,regular,20,19,0,5.50292,1.53234e+007,0.0136571,994.216
Kitchen.littleTexture.pan,pc2,regular,21,20,0,5.45289,8.17143,0.733003,1.00748
Kitchen.littleTexture.pan,pc2,regular,22,21,0,5.51234,30.7925,0.69419,0.903247
Kitchen.littleTexture.pan,pc2,regular,23,22,0,5.40005,26.4015,0.578605,1.27517
Kitchen.littleTexture.pan,pc2,regular,24,23,0,5.50016,1144.18,0.478727,3.75095
Kitchen.littleTexture.pan,pc2,regular,25,24,0,5.4849,571.723,0.377324,3.40395
Kitchen.littleTexture.pan,pc2,regular,26,25,0,5.49451,150.61,0.299185,5.48212
Kitchen.littleTexture.pan,pc2,regular,27,26,0,5.12912,349854,0.00243553,186.492
Kitchen.littleTexture.pan,pc2,regular,28,27,0,5.02018,306.845,0.286138,4.53715
Kitchen.littleTexture.pan,pc2,regular,29,28,0,5.06086,3.46032e+006,0.00492228,496.519
Kitchen.littleTexture.pan,pca,regular,5,4,0,0,206.856,0.922286,1.0464
Kitchen.littleTexture.pan,pca,regular,6,5,0,0,210.297,0.944811,0.648358
Kitchen.littleTexture.pan,pca,regular,7,6,0,0,862.734,0.774919,1.52968
Kitchen.littleTexture.pan,pca,regular,8,7,0,0,3.1931,0.974594,0.194732
Kitchen.littleTexture.pan,pca,regular,9,8,0,0,1.61691,0.95059,0.291493
Kitchen.littleTexture.pan,pca,regular,10,9,0,0,216.71,0.947091,0.446701
Kitchen.littleTexture.pan,pca,regular,11,10,0,0,134.744,0.9476,0.691558
Kitchen.littleTexture.pan,pca,regular,12,11,0,0,236.512,0.926529,0.583901
Kitchen.littleTexture.pan,pca,regular,13,12,0,0,6.60539,0.797688,0.591125
Kitchen.littleTexture.pan,pca,regular,14,13,0,0,1.70288,0.965164,0.259808
Kitchen.littleTexture.pan,pca,regular,15,14,0,0,56.836,0.897051,0.48352
Kitchen.littleTexture.pan,pca,regular,16,15,0,0,1511.96,0.464527,2.8163
Kitchen.littleTexture.pan,pca,regular,17,16,0,0,333.023,0.45685,2.05745
Kitchen.littleTexture.pan,pca,regular,18,17,0,0,17.093,0.566754,1.01377
Kitchen.littleTexture.pan,pca,regular,19,18,0,0,38.6058,0.544505,1.10362
Kitchen.littleTexture.pan,pca,regular,20,19,0,0,926.648,0.441414,1.7185
Kitchen.littleTexture.pan,pca,regular,21,20,0,0,7.53481,0.370843,1.59601
Kitchen.littleTexture.pan,pca,regular,22,21,0,0,328.738,0.613597,1.25798
Kitchen.littleTexture.pan,pca,regular,23,22,0,0,37.9634,0.59439,1.0884
Kitchen.littleTexture.pan,pca,regular,24,23,0,0,674.081,0.803254,2.12044
Kitchen.littleTexture.pan,pca,regular,25,24,0,0,54.4463,0.39831,1.93642
Kitchen.littleTexture.pan,pca,regular,26,25,0,0,61.4798,0.885201,0.731378
Kitchen.littleTexture.pan,pca,regular,27,26,0,0,325.461,0.586565,1.80759
Kitchen.littleTexture.pan,pca,regular,28,27,0,0,13.1311,0.698611,0.780035
Kitchen.littleTexture.pan,pca,regular,29,28,0,0,51.326,0.71124,1.01333
Kitchen.littleTexture.pan,pc3,regular,5,4,0,14.6051,452.23,0.712049,1.61428
Kitchen.littleTexture.pan,pc3,regular,6,5,0,25.3001,1130.94,0.898699,1.38943
Kitchen.littleTexture.pan,pc3,regular,7,6,0,14.0134,317.168,0.877588,1.20459
Kitchen.littleTexture.pan,pc3,regular,8,7,0,13.9261,17.7692,0.967351,0.265805
Kitchen.littleTexture.pan,pc3,regular,9,8,0,14.4471,2.21647,0.95793,0.263059
Kitchen.littleTexture.pan,pc3,regular,10,9,0,25.1702,42.0743,0.953831,0.345045
Kitchen.littleTexture.pan,pc3,regular,11,10,0,23197.4,2162.73,0.740514,2.02837
Kitchen.littleTexture.pan,pc3,regular,12,11,0,27.1058,17.4333,0.888306,0.460273
Kitchen.littleTexture.pan,pc3,regular,13,12,0,14.0286,21.4488,0.771344,0.730708
Kitchen.littleTexture.pan,pc3,regular,14,13,0,26.1268,5.1211,0.877936,0.458179
Kitchen.littleTexture.pan,pc3,regular,15,14,0,15.0592,34.4919,0.857924,0.581071
Kitchen.littleTexture.pan,pc3,regular,16,15,0,27.7853,1455.04,0.47935,6.05994
Kitchen.littleTexture.pan,pc3,regular,17,16,0,26.8156,214.462,0.817071,1.3765
Kitchen.littleTexture.pan,pc3,regular,18,17,0,75.3922,2142.04,0.793406,1.55585
Kitchen.littleTexture.pan,pc3,regular,19,18,0,27.2109,1139.39,0.880615,0.738853
Kitchen.littleTexture.pan,pc3,regular,20,19,0,38.8494,36.3536,0.664748,1.07865
Kitchen.littleTexture.pan,pc3,regular,21,20,0,58.915,2.221,0.81757,0.623012
Kitchen.littleTexture.pan,pc3,regular,22,21,0,40.346,1129.74,0.872721,0.793317
Kitchen.littleTexture.pan,pc3,regular,23,22,0,17.6428,23.2385,0.751219,0.80015
Kitchen.littleTexture.pan,pc3,regular,24,23,0,15.9049,20.5632,0.743017,0.932262
Kitchen.littleTexture.pan,pc3,regular,25,24,0,40.6815,333.689,0.604207,1.94635
Kitchen.littleTexture.pan,pc3,regular,26,25,0,42.7121,44.9799,0.914331,0.656536
Kitchen.littleTexture.pan,pc3,regular,27,26,0,148.693,210.138,0.670735,3.36392
Kitchen.littleTexture.pan,pc3,regular,28,27,0,24.9914,1.44318,0.891883,0.440437
Kitchen.littleTexture.pan,pc3,regular,29,28,0,36.105,34.5728,0.806074,0.704335
