alg,frame1,frame2,seconds,hd
none,5,4,0,0.897736
none,6,5,0,1.63143
none,7,6,0,1.49527
none,8,7,0,0.25327
none,9,8,0,0.298688
none,10,9,0,1.25451
none,11,10,0,1.63936
none,12,11,0,0.46385
none,13,12,0,0.579109
none,14,13,0,0.33734
none,15,14,0,0.49029
none,16,15,0,4.86161
none,17,16,0,2.04012
none,18,17,0,1.48949
none,19,18,0,1.29223
none,20,19,0,1.86146
none,21,20,0,1.62984
none,22,21,0,1.50111
none,23,22,0,1.03952
none,24,23,0,1.15975
none,25,24,0,2.27157
none,26,25,0,0.46626
none,27,26,0,1.64849
none,28,27,0,1.02171
none,29,28,0,0.848512
FM2D,5,4,0.28028,1.10995
FM2D,6,5,0.127533,1.90484
FM2D,7,6,0.127041,1.2742
FM2D,8,7,0.129153,0.443154
FM2D,9,8,0.131015,0.230915
FM2D,10,9,0.132645,0.772019
FM2D,11,10,0.122935,2.70502
FM2D,12,11,0.12028,1.78483
FM2D,13,12,0.124295,0.352487
FM2D,14,13,0.12394,0.233201
FM2D,15,14,0.120638,0.549638
FM2D,16,15,0.117533,1.13059
FM2D,17,16,0.108657,2.11133
FM2D,18,17,0.104293,4.15059
FM2D,19,18,0.107023,1.46339
FM2D,20,19,0.113798,0.864766
FM2D,21,20,0.103075,0.774389
FM2D,22,21,0.104242,1.49682
FM2D,23,22,0.100127,0.549314
FM2D,24,23,0.100731,6.91996
FM2D,25,24,0.097724,1.90949
FM2D,26,25,0.099939,18.2699
FM2D,27,26,0.09758,1.4883
FM2D,28,27,0.096914,0.545411
FM2D,29,28,0.099277,2.91845
FM3D,5,4,70.1155,1.22702
FM3D,6,5,69.7967,0.490577
FM3D,7,6,69.9813,1.28986
FM3D,8,7,70.2167,0.262055
FM3D,9,8,69.5315,0.284169
FM3D,10,9,70.1374,0.3698
FM3D,11,10,70.228,0.595854
FM3D,12,11,79.1616,0.336794
FM3D,13,12,70.2632,0.57378
FM3D,14,13,70.2534,0.346399
FM3D,15,14,70.2045,0.460049
FM3D,16,15,69.4431,5.6549
FM3D,17,16,69.6215,2.54097
FM3D,18,17,69.9228,1.45884
FM3D,19,18,69.916,1.07033
FM3D,20,19,69.9495,1.46575
FM3D,21,20,70.0571,1.72409
FM3D,22,21,69.9399,1.03492
FM3D,23,22,70.1073,2.62063
FM3D,24,23,70.0704,1.34589
FM3D,25,24,70.1404,1.87404
FM3D,26,25,69.8862,1.47769
FM3D,27,26,69.9296,1.5354
FM3D,28,27,69.9243,0.794662
FM3D,29,28,69.9314,0.907962
ICP,5,4,14.3122,0.995297
ICP,6,5,18.042,0.540602
ICP,7,6,7.60532,1.31476
ICP,8,7,9.93219,0.198028
ICP,9,8,7.18728,0.281769
ICP,10,9,10.7576,0.322649
ICP,11,10,17.666,1.51545
ICP,12,11,7.07993,0.345793
ICP,13,12,18.3226,0.962262
ICP,14,13,10.6459,0.35348
ICP,15,14,21.2768,0.239313
ICP,16,15,15.5756,2.98521
ICP,17,16,15.4726,1.00079
