data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Kitchen.littleTexture.zoom,none,regular,5,4,0,0,245.801,0.981374,0.611146
Kitchen.littleTexture.zoom,none,regular,6,5,0,0,17.6704,0.98139,0.193745
Kitchen.littleTexture.zoom,none,regular,7,6,0,0,11.0785,0.982075,0.204125
Kitchen.littleTexture.zoom,none,regular,8,7,0,0,51.6635,0.977431,0.308482
Kitchen.littleTexture.zoom,none,regular,9,8,0,0,1346.06,0.978342,1.38935
Kitchen.littleTexture.zoom,none,regular,10,9,0,0,16.2963,0.980713,0.203925
Kitchen.littleTexture.zoom,none,regular,11,10,0,0,376.952,0.982301,0.50609
Kitchen.littleTexture.zoom,none,regular,12,11,0,0,18.9609,0.980302,0.244317
Kitchen.littleTexture.zoom,none,regular,13,12,0,0,3.92985,0.982349,0.141921
Kitchen.littleTexture.zoom,none,regular,14,13,0,0,14.5595,0.978885,0.19851
Kitchen.littleTexture.zoom,none,regular,15,14,0,0,5.78551,0.969994,0.254859
Kitchen.littleTexture.zoom,none,regular,16,15,0,0,788.599,0.978025,1.0426
Kitchen.littleTexture.zoom,none,regular,17,16,0,0,85.3281,0.977182,0.31332
Kitchen.littleTexture.zoom,none,regular,18,17,0,0,6.95909,0.977623,0.216503
Kitchen.littleTexture.zoom,none,regular,19,18,0,0,4.91529,0.978193,0.201763
Kitchen.littleTexture.zoom,none,regular,20,19,0,0,94.8806,0.980161,0.406533
Kitchen.littleTexture.zoom,none,regular,21,20,0,0,39.4608,0.981427,0.297291
Kitchen.littleTexture.zoom,none,regular,22,21,0,0,3.91577,0.973461,0.234249
Kitchen.littleTexture.zoom,none,regular,23,22,0,0,13.5923,0.981546,0.230612
Kitchen.littleTexture.zoom,none,regular,24,23,0,0,7.14301,0.978864,0.226074
Kitchen.littleTexture.zoom,none,regular,25,24,0,0,28.5799,0.978503,0.285266
Kitchen.littleTexture.zoom,none,regular,26,25,0,0,1.82966,0.981945,0.141676
Kitchen.littleTexture.zoom,none,regular,27,26,0,0,110.689,0.981967,0.341204
Kitchen.littleTexture.zoom,none,regular,28,27,0,0,92.2119,0.974391,0.366826
Kitchen.littleTexture.zoom,none,regular,29,28,0,0,10.8011,0.981512,0.165914
Kitchen.littleTexture.zoom,pc,regular,5,4,0,2.72798,270.184,0.979861,0.674616
Kitchen.littleTexture.zoom,pc,regular,6,5,0,2.1461,94.6664,0.982238,0.284048
Kitchen.littleTexture.zoom,pc,regular,7,6,0,2.13706,48.3323,0.98057,0.306308
Kitchen.littleTexture.zoom,pc,regular,8,7,0,2.12776,36.2014,0.978248,0.290241
Kitchen.littleTexture.zoom,pc,regular,9,8,0,2.11441,1329.4,0.978072,1.23581
Kitchen.littleTexture.zoom,pc,regular,10,9,0,2.15418,4.62543,0.979925,0.167726
Kitchen.littleTexture.zoom,pc,regular,11,10,0,2.1513,173.369,0.982175,0.348277
Kitchen.littleTexture.zoom,pc,regular,12,11,0,2.13875,129.06,0.981778,0.39773
