alg,frame1,frame2,seconds,hd
none,5,4,0,0.611146
none,6,5,0,0.193745
none,7,6,0,0.204125
none,8,7,0,0.308482
none,9,8,0,1.38935
none,10,9,0,0.203925
none,11,10,0,0.50609
none,12,11,0,0.244317
none,13,12,0,0.141921
none,14,13,0,0.19851
none,15,14,0,0.254859
none,16,15,0,1.0426
none,17,16,0,0.31332
none,18,17,0,0.216503
none,19,18,0,0.201763
none,20,19,0,0.406533
none,21,20,0,0.297291
none,22,21,0,0.234249
none,23,22,0,0.230612
none,24,23,0,0.226074
none,25,24,0,0.285266
none,26,25,0,0.141676
none,27,26,0,0.341204
none,28,27,0,0.366826
none,29,28,0,0.165914
FM2D,5,4,1.18545,0.851587
FM2D,6,5,0.08575,0.297963
FM2D,7,6,0.090908,0.328065
FM2D,8,7,0.086785,0.237369
FM2D,9,8,0.08005,2.28336
FM2D,10,9,0.083501,0.205303
FM2D,11,10,0.097698,0.378864
FM2D,12,11,0.087841,0.365883
FM2D,13,12,0.087303,0.171577
FM2D,14,13,0.088566,0.204235
FM2D,15,14,0.08511,0.828642
FM2D,16,15,0.094535,2.53331
FM2D,17,16,0.095696,0.344471
FM2D,18,17,0.092019,0.363614
FM2D,19,18,0.091331,0.398168
FM2D,20,19,0.118309,2.21311
FM2D,21,20,0.093569,0.30388
FM2D,22,21,0.093247,0.356475
FM2D,23,22,0.103664,0.566576
FM2D,24,23,0.095342,0.42092
FM2D,25,24,0.101939,0.579044
FM2D,26,25,0.10885,0.148022
FM2D,27,26,0.097549,0.454244
FM2D,28,27,0.102422,0.678891
FM2D,29,28,0.101774,0.190595
FM3D,5,4,17.4555,0.91413
FM3D,6,5,17.5212,0.203276
FM3D,7,6,17.4168,0.367106
FM3D,8,7,17.3584,0.468772
FM3D,9,8,17.3594,1.27811
FM3D,10,9,17.3047,0.15506
FM3D,11,10,17.255,0.398188
FM3D,12,11,17.347,0.485743
FM3D,13,12,17.4896,0.151173
FM3D,14,13,17.3472,0.256412
FM3D,15,14,17.6747,0.298456
FM3D,16,15,17.3336,0.724171
FM3D,17,16,17.3432,0.189643
FM3D,18,17,17.339,0.241959
FM3D,19,18,17.3756,0.188437
FM3D,20,19,17.3017,0.456746
FM3D,21,20,17.2592,0.315467
FM3D,22,21,17.5019,0.212918
FM3D,23,22,17.3997,0.333156
FM3D,24,23,17.4883,0.202265
FM3D,25,24,17.4462,0.227883
FM3D,26,25,17.5011,0.134885
FM3D,27,26,17.522,0.442393
FM3D,28,27,17.5468,0.393996
FM3D,29,28,17.4446,0.14963
ICP,5,4,20.6328,0.949238
ICP,6,5,10.3042,0.161638
ICP,7,6,10.362,0.309947
ICP,8,7,10.335,0.214584
ICP,9,8,10.0249,0.921397
ICP,10,9,15.2744,0.178929
ICP,11,10,20.2724,0.704513
ICP,12,11,10.2747,0.265966
ICP,13,12,10.0888,0.137469
ICP,14,13,20.2084,0.179225
ICP,15,14,10.0422,0.385565
ICP,16,15,15.7307,0.908029
ICP,17,16,9.95978,0.223291
ICP,18,17,14.9392,0.178998
ICP,19,18,15.1098,0.153114
ICP,20,19,14.7535,0.31758
ICP,21,20,10.113,0.51411
ICP,22,21,14.7013,0.178092
ICP,23,22,14.8321,0.349566
ICP,24,23,10.1206,0.209517
ICP,25,24,25.795,0.259336
ICP,26,25,15.5303,0.126611
ICP,27,26,10.0256,0.414884
ICP,28,27,10.4307,0.272949
ICP,29,28,9.901,0.165085
PCA,5,4,0.06575,0.876673
PCA,6,5,0.017617,0.325395
PCA,7,6,0.018701,0.448215
PCA,8,7,0.022738,0.283649
PCA,9,8,0.017409,1.15687
PCA,10,9,0.01747,0.183456
PCA,11,10,0.017262,0.504087
PCA,12,11,0.023294,0.297602
PCA,13,12,0.017073,0.135926
PCA,14,13,0.017754,0.155266
PCA,15,14,0.017866,0.306593
PCA,16,15,0.017635,0.785235
PCA,17,16,0.01785,0.180443
PCA,18,17,0.018894,0.218177
PCA,19,18,0.016733,0.164564
PCA,20,19,0.015976,0.415129
PCA,21,20,0.016066,0.321
PCA,22,21,0.021603,0.172202
PCA,23,22,0.024301,0.221379
PCA,24,23,0.017837,0.280753
PCA,25,24,0.018337,0.287981
PCA,26,25,0.017351,0.150936
PCA,27,26,0.017971,0.38442
PCA,28,27,0.016072,0.235551
PCA,29,28,0.017256,0.14376
FVR,5,4,18.9303,1.42379
FVR,6,5,18.6417,0.140326
FVR,7,6,18.632,0.537376
FVR,8,7,18.7065,0.818685
FVR,9,8,18.6689,1.18677
FVR,10,9,18.6518,0.296259
FVR,11,10,18.7412,0.440479
FVR,12,11,18.6206,0.407197
FVR,13,12,18.5906,0.333719
FVR,14,13,18.6012,1.12478
FVR,15,14,18.8215,1.42731
FVR,16,15,19.0399,3.07359
FVR,17,16,18.943,0.581456
FVR,18,17,18.9973,1.25398
FVR,19,18,19.4291,0.585428
FVR,20,19,19.3092,0.909798
FVR,21,20,19.1265,0.307293
FVR,22,21,19.0992,2.31303
FVR,23,22,19.1414,0.616997
FVR,24,23,18.8068,0.998503
FVR,25,24,19.5674,0.559103
FVR,26,25,18.4971,0.313387
FVR,27,26,18.8865,0.893158
FVR,28,27,18.8407,1.35595
FVR,29,28,19.0948,0.924673
FVR3D,5,4,39.7983,1.49129
FVR3D,6,5,40.8688,0.352923
FVR3D,7,6,39.1216,23.6677
FVR3D,8,7,38.139,0.838077
FVR3D,9,8,38.4324,59.2104
FVR3D,10,9,39.1995,0.715201
FVR3D,11,10,38.5902,1.69447
FVR3D,12,11,38.9618,0.640802
FVR3D,13,12,38.9373,0.307976
FVR3D,14,13,38.9901,0.616241
FVR3D,15,14,39.1681,1.64225
FVR3D,16,15,39.1554,0.779254
