alg,frame1,frame2,seconds,hd
none,5,4,0,2.35096
none,6,5,0,4.67036
none,7,6,0,3.96063
none,8,7,0,12.1977
none,9,8,0,5.28018
none,10,9,0,16.1388
none,11,10,0,9.67469
none,12,11,0,9.42388
none,13,12,0,29.7044
none,14,13,0,14.9224
none,15,14,0,45.4763
none,16,15,0,54.3067
none,17,16,0,34.3834
none,18,17,0,23.338
none,19,18,0,24.6639
none,20,19,0,13.6459
none,21,20,0,10.8599
none,22,21,0,11.4171
none,23,22,0,20.9488
none,24,23,0,4.93165
none,25,24,0,6.36702
none,26,25,0,4.91286
none,27,26,0,4.84657
none,28,27,0,6.60978
none,29,28,0,6.19769
FM2D,5,4,0.231456,2.23926
FM2D,6,5,0.199468,3.12165
FM2D,7,6,0.198021,2.77853
FM2D,8,7,0.19049,9.04205
FM2D,9,8,0.180411,4.66693
FM2D,10,9,0.198183,10.2009
FM2D,11,10,0.195072,6.68931
FM2D,12,11,0.169112,6.59663
FM2D,13,12,0.181138,26.6248
FM2D,14,13,0.19482,8.26158
FM2D,15,14,0.197195,33.1572
FM2D,16,15,0.194854,41.8589
FM2D,17,16,0.190205,31.2648
FM2D,18,17,0.187123,8.97205
FM2D,19,18,0.181421,7.3699
FM2D,20,19,0.179547,11.6088
FM2D,21,20,0.18027,11.5641
FM2D,22,21,0.170744,18.1954
FM2D,23,22,0.174316,20.8611
FM2D,24,23,0.181953,3.81912
FM2D,25,24,0.20465,7.24061
FM2D,26,25,0.206229,3.47917
FM2D,27,26,0.201465,4.1536
FM2D,28,27,0.192488,3.70968
FM2D,29,28,0.210614,3.38554
FM3D,5,4,18.0319,5.16625
FM3D,6,5,18.0234,13.4943
FM3D,7,6,18.1487,11.01
FM3D,8,7,18.3087,15.3791
FM3D,9,8,18.6922,5.87886
FM3D,10,9,18.9422,51.8847
FM3D,11,10,18.7316,13.5279
FM3D,12,11,18.8458,11.2317
FM3D,13,12,19.0495,36.9993
FM3D,14,13,19.5494,26.6609
FM3D,15,14,19.4999,33.6509
FM3D,16,15,19.3381,41.9978
FM3D,17,16,19.2176,30.0451
FM3D,18,17,19.2972,41.013
FM3D,19,18,19.3291,7.68726
FM3D,20,19,18.8678,12.3329
FM3D,21,20,18.7292,24.4128
FM3D,22,21,18.7203,30.0714
FM3D,23,22,18.7279,29.6599
FM3D,24,23,19.0509,4.79145
FM3D,25,24,19.4179,35.16
FM3D,26,25,19.3511,15.2637
FM3D,27,26,19.2385,4.70667
FM3D,28,27,19.1316,4.42156
FM3D,29,28,19.2525,3.63794
ICP,5,4,14.2014,2.19352
ICP,6,5,21.915,2.9495
ICP,7,6,25.3071,2.65495
ICP,8,7,23.4028,4.8111
ICP,9,8,22.604,4.38098
ICP,10,9,19.538,7.19769
ICP,11,10,7.86532,8.89264
ICP,12,11,11.5886,6.99172
ICP,13,12,28.2053,24.6076
ICP,14,13,41.5309,6.98277
ICP,15,14,36.6574,31.5329
ICP,16,15,18.954,60.8362
ICP,17,16,23.0435,26.0388
ICP,18,17,34.0283,6.44128
ICP,19,18,23.3477,6.1499
ICP,20,19,27.1725,10.977
ICP,21,20,34.4548,5.65285
ICP,22,21,23.3327,9.12595
ICP,23,22,20.6535,18.1449
ICP,24,23,18.4498,3.76226
ICP,25,24,25.795,5.44229
ICP,26,25,28.7372,3.55597
ICP,27,26,18.7759,4.21164
