data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Office.Texture.blindSpotRotation,none,regular,5,4,0,0,10.5758,0.865933,0.546139
Office.Texture.blindSpotRotation,none,regular,6,5,0,0,15.0583,0.644507,0.995838
Office.Texture.blindSpotRotation,none,regular,7,6,0,0,655.432,0.365162,3.6216
Office.Texture.blindSpotRotation,none,regular,8,7,0,0,2640.99,0.327802,3.64812
Office.Texture.blindSpotRotation,none,regular,9,8,0,0,28.4529,0.542057,1.40556
Office.Texture.blindSpotRotation,none,regular,10,9,0,0,57.9069,0.793187,0.921281
Office.Texture.blindSpotRotation,none,regular,11,10,0,0,48.3583,0.5734,1.26693
Office.Texture.blindSpotRotation,none,regular,12,11,0,0,97.8268,0.667408,1.11524
Office.Texture.blindSpotRotation,none,regular,13,12,0,0,17.8841,0.439445,1.63088
Office.Texture.blindSpotRotation,none,regular,14,13,0,0,5802.98,0.767073,1.41812
Office.Texture.blindSpotRotation,none,regular,15,14,0,0,80.5982,0.647723,1.44723
Office.Texture.blindSpotRotation,none,regular,16,15,0,0,343.003,0.290765,7.18849
Office.Texture.blindSpotRotation,none,regular,17,16,0,0,1783.81,0.227774,9.91101
Office.Texture.blindSpotRotation,none,regular,18,17,0,0,1138.02,0.270065,7.93738
Office.Texture.blindSpotRotation,none,regular,19,18,0,0,10672.3,0.0940585,66.4153
Office.Texture.blindSpotRotation,none,regular,20,19,0,0,1647.34,0.268903,6.03632
Office.Texture.blindSpotRotation,none,regular,21,20,0,0,774.94,0.276118,7.05616
Office.Texture.blindSpotRotation,none,regular,22,21,0,0,8089.85,0.485522,2.64361
Office.Texture.blindSpotRotation,none,regular,23,22,0,0,49.2342,0.578026,1.10762
Office.Texture.blindSpotRotation,none,regular,24,23,0,0,752.974,0.272334,7.03544
Office.Texture.blindSpotRotation,none,regular,25,24,0,0,68.1371,0.516255,1.6732
Office.Texture.blindSpotRotation,none,regular,26,25,0,0,4831.03,0.116161,33.8563
