alg,frame1,frame2,seconds,hd
none,5,4,0,0.546139
none,6,5,0,0.995838
none,7,6,0,3.6216
none,8,7,0,3.64812
none,9,8,0,1.40556
none,10,9,0,0.921281
none,11,10,0,1.26693
none,12,11,0,1.11524
none,13,12,0,1.63088
none,14,13,0,1.41812
none,15,14,0,1.44723
none,16,15,0,7.18849
none,17,16,0,9.91101
none,18,17,0,7.93738
none,19,18,0,66.4153
none,20,19,0,6.03632
none,21,20,0,7.05616
none,22,21,0,2.64361
none,23,22,0,1.10762
none,24,23,0,7.03544
none,25,24,0,1.6732
none,26,25,0,33.8563
none,27,26,0,7.93765
none,28,27,0,1.46692
none,29,28,0,10.1663
FM2D,5,4,0.137128,0.573025
FM2D,6,5,0.157961,0.602199
FM2D,7,6,0.17757,0.711823
FM2D,8,7,0.150927,0.715407
FM2D,9,8,0.162733,0.919503
FM2D,10,9,0.165671,1.08517
FM2D,11,10,0.16482,0.777341
FM2D,12,11,0.147287,0.862278
FM2D,13,12,0.143948,0.759912
FM2D,14,13,0.157221,1.39135
FM2D,15,14,0.140011,1.61388
FM2D,16,15,0.128987,1.65904
FM2D,17,16,0.1247,7.5934
FM2D,18,17,0.127263,10.5448
FM2D,19,18,0.130984,2.30907
FM2D,20,19,0.134289,3.21292
FM2D,21,20,0.134778,2.7655
FM2D,22,21,0.137421,2.34562
FM2D,23,22,0.146695,0.940884
FM2D,24,23,0.157177,3.25882
FM2D,25,24,0.137069,1.2229
FM2D,26,25,0.119147,35.2899
FM2D,27,26,0.127217,6.82018
FM2D,28,27,0.136436,0.993991
FM2D,29,28,0.13998,3.2537
FM3D,5,4,17.6164,0.538702
FM3D,6,5,17.6617,1.09951
FM3D,7,6,17.5553,0.893597
FM3D,8,7,17.5471,1.05478
FM3D,9,8,17.6149,1.03622
FM3D,10,9,17.8812,0.933163
FM3D,11,10,18.018,0.931114
FM3D,12,11,18.1163,1.00702
FM3D,13,12,18.3197,1.0946
FM3D,14,13,18.381,1.97857
