data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Office.Texture.rotation,none,regular,5,4,0,0,429.051,0.0936788,10.7387
Office.Texture.rotation,none,regular,6,5,0,0,1176.57,0.0891761,13.3031
Office.Texture.rotation,none,regular,7,6,0,0,3933.4,0.0556093,28.1495
Office.Texture.rotation,none,regular,8,7,0,0,5466.32,0.0516491,35.9731
Office.Texture.rotation,none,regular,9,8,0,0,332.414,0.308542,3.38317
Office.Texture.rotation,none,regular,10,9,0,0,119.537,0.617713,2.20821
Office.Texture.rotation,none,regular,11,10,0,0,65.0792,0.359545,3.10709
Office.Texture.rotation,none,regular,12,11,0,0,207.056,0.144685,5.26417
Office.Texture.rotation,none,regular,13,12,0,0,514.689,0.150967,6.28878
Office.Texture.rotation,none,regular,14,13,0,0,79.2364,0.545561,2.27691
Office.Texture.rotation,none,regular,15,14,0,0,782.15,0.144539,7.02453
Office.Texture.rotation,none,regular,16,15,0,0,285.952,0.50074,3.08283
Office.Texture.rotation,none,regular,17,16,0,0,146.393,0.215412,4.07219
Office.Texture.rotation,none,regular,18,17,0,0,632.609,0.154027,6.31754
Office.Texture.rotation,none,regular,19,18,0,0,812.516,0.0788591,13.2504
Office.Texture.rotation,none,regular,20,19,0,0,641.356,0.0562982,13.5916
Office.Texture.rotation,none,regular,21,20,0,0,41980.4,0.288763,20.6638
Office.Texture.rotation,none,regular,22,21,0,0,2128.74,0.087674,22.9811
Office.Texture.rotation,none,regular,23,22,0,0,917.713,0.291816,7.77495
Office.Texture.rotation,none,regular,24,23,0,0,534.229,0.249087,7.68098
Office.Texture.rotation,none,regular,25,24,0,0,678.477,0.0651515,13.0052
Office.Texture.rotation,none,regular,26,25,0,0,275.227,0.331404,5.00786
Office.Texture.rotation,none,regular,27,26,0,0,647.598,0.225151,9.8814
Office.Texture.rotation,none,regular,28,27,0,0,5672.49,0.164002,13.3626
Office.Texture.rotation,none,regular,29,28,0,0,2474.95,0.102458,22.7889
Office.Texture.rotation,pc,regular,5,4,0,2.71064,98.8308,0.583857,2.31072
