alg,frame1,frame2,seconds,hd
none,5,4,0,11.4074
none,6,5,0,13.7799
none,7,6,0,26.0848
none,8,7,0,35.0866
none,9,8,0,3.48053
none,10,9,0,2.18856
none,11,10,0,3.10819
none,12,11,0,5.15291
none,13,12,0,9.79225
none,14,13,0,2.30204
none,15,14,0,6.49614
none,16,15,0,2.94913
none,17,16,0,4.7202
none,18,17,0,5.99235
none,19,18,0,11.9125
none,20,19,0,13.1708
none,21,20,0,20.0219
none,22,21,0,23.8584
none,23,22,0,7.86108
none,24,23,0,7.57172
none,25,24,0,14.0064
none,26,25,0,5.02679
none,27,26,0,9.78371
none,28,27,0,13.1434
none,29,28,0,23.7601
FM2D,5,4,0.312705,2.21375
FM2D,6,5,0.181978,1.99732
FM2D,7,6,0.187183,2.34777
FM2D,8,7,0.169256,2.08632
FM2D,9,8,0.174781,2.70243
FM2D,10,9,0.175752,2.10992
FM2D,11,10,0.153345,1.90649
FM2D,12,11,0.163513,1.8793
FM2D,13,12,0.172014,2.87585
FM2D,14,13,0.148535,2.2726
FM2D,15,14,0.179789,3.4058
FM2D,16,15,0.184507,2.98078
FM2D,17,16,0.167046,2.66033
FM2D,18,17,0.184173,4.38748
FM2D,19,18,0.177972,10.2087
FM2D,20,19,0.16501,6.44049
FM2D,21,20,0.173289,18.5436
FM2D,22,21,0.190952,23.7626
FM2D,23,22,0.173481,7.57658
FM2D,24,23,0.192344,5.67584
FM2D,25,24,0.183695,8.60174
FM2D,26,25,0.197226,4.80329
FM2D,27,26,0.177556,6.4819
FM2D,28,27,0.190362,4.87006
FM2D,29,28,0.176433,10.9887
FM3D,5,4,18.0072,4.55702
FM3D,6,5,18.0364,3.10858
FM3D,7,6,17.9882,2.83994
FM3D,8,7,18.5926,3.23403
FM3D,9,8,18.0008,5.00017
FM3D,10,9,17.8369,3.92206
FM3D,11,10,17.2854,5.64097
