data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Office.Texture.rotationXAxis,none,regular,5,4,0,0,1389.25,0.302671,8.27552
Office.Texture.rotationXAxis,none,regular,6,5,0,0,468.061,0.621637,3.31322
Office.Texture.rotationXAxis,none,regular,7,6,0,0,160.384,0.452534,3.88073
Office.Texture.rotationXAxis,none,regular,8,7,0,0,899.21,0.301759,8.98413
Office.Texture.rotationXAxis,none,regular,9,8,0,0,297.011,0.438033,4.04026
Office.Texture.rotationXAxis,none,regular,10,9,0,0,342.818,0.451679,3.91492
Office.Texture.rotationXAxis,none,regular,11,10,0,0,298.147,0.404502,4.5839
Office.Texture.rotationXAxis,none,regular,12,11,0,0,486.056,0.377215,5.86009
Office.Texture.rotationXAxis,none,regular,13,12,0,0,306.358,0.461725,4.3722
Office.Texture.rotationXAxis,none,regular,14,13,0,0,726.753,0.373553,5.40335
Office.Texture.rotationXAxis,none,regular,15,14,0,0,325.069,0.299086,5.81561
Office.Texture.rotationXAxis,none,regular,16,15,0,0,3865.53,0.138853,12.9301
Office.Texture.rotationXAxis,none,regular,17,16,0,0,397.481,0.330202,3.98529
Office.Texture.rotationXAxis,none,regular,18,17,0,0,564.441,0.113294,10.1308
Office.Texture.rotationXAxis,none,regular,19,18,0,0,349.213,0.224762,5.17167
Office.Texture.rotationXAxis,none,regular,20,19,0,0,295.985,0.288994,4.97848
Office.Texture.rotationXAxis,none,regular,21,20,0,0,251.269,0.260792,4.56002
Office.Texture.rotationXAxis,none,regular,22,21,0,0,536.056,0.257036,5.84705
Office.Texture.rotationXAxis,none,regular,23,22,0,0,173.935,0.27134,4.70189
Office.Texture.rotationXAxis,none,regular,24,23,0,0,678.333,0.119887,9.11403
Office.Texture.rotationXAxis,none,regular,25,24,0,0,248.341,0.219852,5.71511
Office.Texture.rotationXAxis,none,regular,26,25,0,0,199.691,0.329968,4.14459
Office.Texture.rotationXAxis,none,regular,27,26,0,0,314.528,0.162613,6.37144
Office.Texture.rotationXAxis,none,regular,28,27,0,0,8400.81,0.0649866,23.0864
Office.Texture.rotationXAxis,none,regular,29,28,0,0,179.662,0.194537,6.15673
Office.Texture.rotationXAxis,pc,regular,5,4,0,2.75556,941.807,0.473698,5.50489
Office.Texture.rotationXAxis,pc,regular,6,5,0,2.16204,545.187,0.620575,3.36186
Office.Texture.rotationXAxis,pc,regular,7,6,0,2.14415,135.347,0.611095,2.89685
Office.Texture.rotationXAxis,pc,regular,8,7,0,2.12237,245.643,0.520994,4.08652
Office.Texture.rotationXAxis,pc,regular,9,8,0,2.14582,257.923,0.51798,3.57334
Office.Texture.rotationXAxis,pc,regular,10,9,0,2.14675,702.713,0.358917,3.71746
Office.Texture.rotationXAxis,pc,regular,11,10,0,2.11564,269.011,0.311655,4.27501
Office.Texture.rotationXAxis,pc,regular,12,11,0,2.11935,989.088,0.299049,5.24019
Office.Texture.rotationXAxis,pc,regular,13,12,0,2.12924,288.01,0.288995,4.31241
Office.Texture.rotationXAxis,pc,regular,14,13,0,2.14397,613.686,0.262007,5.2709
Office.Texture.rotationXAxis,pc,regular,15,14,0,2.13126,305.868,0.370538,4.73472
Office.Texture.rotationXAxis,pc,regular,16,15,0,2.13033,709.654,0.425527,4.09885
Office.Texture.rotationXAxis,pc,regular,17,16,0,2.11876,239.465,0.26087,4.44204
Office.Texture.rotationXAxis,pc,regular,18,17,0,2.11867,1433.27,0.152433,8.67344
Office.Texture.rotationXAxis,pc,regular,19,18,0,2.15585,939.159,0.206652,7.25029
Office.Texture.rotationXAxis,pc,regular,20,19,0,2.11782,278.671,0.469373,3.71631
Office.Texture.rotationXAxis,pc,regular,21,20,0,2.15659,241.341,0.331862,4.04508
Office.Texture.rotationXAxis,pc,regular,22,21,0,2.12949,206.78,0.357142,3.76779
Office.Texture.rotationXAxis,pc,regular,23,22,0,2.15227,169.764,0.332245,3.75473
Office.Texture.rotationXAxis,pc,regular,24,23,0,2.12138,393.755,0.460678,4.25666
Office.Texture.rotationXAxis,pc,regular,25,24,0,2.23645,272.243,0.40735,4.06248
Office.Texture.rotationXAxis,pc,regular,26,25,0,2.15469,160.02,0.503363,2.97121
Office.Texture.rotationXAxis,pc,regular,27,26,0,2.13463,134.54,0.430225,3.23442
Office.Texture.rotationXAxis,pc,regular,28,27,0,2.12696,8355.52,0.098502,17.249
Office.Texture.rotationXAxis,pc,regular,29,28,0,2.12338,126.832,0.552687,2.85306
Office.Texture.rotationXAxis,pc2,regular,5,4,0,5.52176,2136.81,0.179406,7.25493
Office.Texture.rotationXAxis,pc2,regular,6,5,0,6.07199,526.538,0.597357,3.41949
Office.Texture.rotationXAxis,pc2,regular,7,6,0,5.65722,178.085,0.440852,3.55853
Office.Texture.rotationXAxis,pc2,regular,8,7,0,5.54581,247.248,0.494199,4.20984
Office.Texture.rotationXAxis,pc2,regular,9,8,0,5.49963,380.413,0.308576,5.14265
Office.Texture.rotationXAxis,pc2,regular,10,9,0,5.47589,442.05,0.405517,4.42577
Office.Texture.rotationXAxis,pc2,regular,11,10,0,5.49304,345.007,0.523593,3.90136
Office.Texture.rotationXAxis,pc2,regular,12,11,0,5.36904,641.502,0.183912,6.02686
Office.Texture.rotationXAxis,pc2,regular,13,12,0,5.395,397.155,0.165471,7.11849
Office.Texture.rotationXAxis,pc2,regular,14,13,0,5.31505,732.105,0.393221,4.99037
Office.Texture.rotationXAxis,pc2,regular,15,14,0,5.50983,421.234,0.144902,6.72451
Office.Texture.rotationXAxis,pc2,regular,16,15,0,5.50371,964.451,0.207015,7.59407
Office.Texture.rotationXAxis,pc2,regular,17,16,0,5.45817,212.805,0.275431,3.86511
Office.Texture.rotationXAxis,pc2,regular,18,17,0,5.5373,897.595,0.104201,10.4675
Office.Texture.rotationXAxis,pc2,regular,19,18,0,5.52257,1.73852e+008,0,10961.1
Office.Texture.rotationXAxis,pc2,regular,20,19,0,5.46314,325.032,0.23748,6.10351
Office.Texture.rotationXAxis,pc2,regular,21,20,0,5.53342,795.859,0.0629485,12.1961
Office.Texture.rotationXAxis,pc2,regular,22,21,0,5.50201,505.572,0.0652633,7.9841
Office.Texture.rotationXAxis,pc2,regular,23,22,0,5.58339,310.064,0.0845082,7.48301
Office.Texture.rotationXAxis,pc2,regular,24,23,0,5.6277,494.284,0.0997855,9.02168
Office.Texture.rotationXAxis,pc2,regular,25,24,0,5.96489,1552.27,0.0391099,21.2559
Office.Texture.rotationXAxis,pc2,regular,26,25,0,5.55161,3681.53,0.0702071,10.8506
Office.Texture.rotationXAxis,pc2,regular,27,26,0,5.46963,652.394,0.0533721,14.4056
Office.Texture.rotationXAxis,pc2,regular,28,27,0,5.47785,36023,0.0950215,19.3746
Office.Texture.rotationXAxis,pc2,regular,29,28,0,5.53239,169.187,0.173623,4.28294
Office.Texture.rotationXAxis,pca,regular,5,4,0,0,1227.3,0.299719,8.28043
Office.Texture.rotationXAxis,pca,regular,6,5,0,0,766.612,0.621629,3.42083
Office.Texture.rotationXAxis,pca,regular,7,6,0,0,150.564,0.453474,3.83696
Office.Texture.rotationXAxis,pca,regular,8,7,0,0,540.99,0.298951,8.88601
Office.Texture.rotationXAxis,pca,regular,9,8,0,0,433.891,0.436203,4.14168
Office.Texture.rotationXAxis,pca,regular,10,9,0,0,364.312,0.452981,3.94969
Office.Texture.rotationXAxis,pca,regular,11,10,0,0,270.416,0.404719,4.59648
Office.Texture.rotationXAxis,pca,regular,12,11,0,0,1250.64,0.377424,5.99913
Office.Texture.rotationXAxis,pca,regular,13,12,0,0,305.031,0.459986,4.42913
Office.Texture.rotationXAxis,pca,regular,14,13,0,0,566.03,0.371903,5.25184
Office.Texture.rotationXAxis,pca,regular,15,14,0,0,298.127,0.304617,5.74315
Office.Texture.rotationXAxis,pca,regular,16,15,0,0,643.837,0.138808,7.83098
Office.Texture.rotationXAxis,pca,regular,17,16,0,0,257.642,0.333798,3.83594
Office.Texture.rotationXAxis,pca,regular,18,17,0,0,666.71,0.113237,10.6517
Office.Texture.rotationXAxis,pca,regular,19,18,0,0,732.335,0.224489,5.70788
Office.Texture.rotationXAxis,pca,regular,20,19,0,0,289.911,0.287169,4.97566
Office.Texture.rotationXAxis,pca,regular,21,20,0,0,429.878,0.261525,4.52243
Office.Texture.rotationXAxis,pca,regular,22,21,0,0,384.059,0.257019,5.15337
Office.Texture.rotationXAxis,pca,regular,23,22,0,0,250.634,0.270954,4.7434
Office.Texture.rotationXAxis,pca,regular,24,23,0,0,453.859,0.119631,8.62421
Office.Texture.rotationXAxis,pca,regular,25,24,0,0,254.188,0.219404,5.77393
Office.Texture.rotationXAxis,pca,regular,26,25,0,0,182.587,0.329946,4.0872
Office.Texture.rotationXAxis,pca,regular,27,26,0,0,219.392,0.162485,6.11059
Office.Texture.rotationXAxis,pca,regular,28,27,0,0,10371.7,0.0648453,26.5293
Office.Texture.rotationXAxis,pca,regular,29,28,0,0,221.817,0.194448,6.23209
Office.Texture.rotationXAxis,pc3,regular,5,4,0,37.4735,1209.64,0.526864,5.30074
Office.Texture.rotationXAxis,pc3,regular,6,5,0,28.3605,466.157,0.594128,3.40052
Office.Texture.rotationXAxis,pc3,regular,7,6,0,72.1547,120.292,0.550206,3.02461
Office.Texture.rotationXAxis,pc3,regular,8,7,0,63.4856,284.87,0.543829,3.93571
Office.Texture.rotationXAxis,pc3,regular,9,8,0,62.5256,255.608,0.503724,3.56359
Office.Texture.rotationXAxis,pc3,regular,10,9,0,64.5007,590.264,0.485216,3.59789
Office.Texture.rotationXAxis,pc3,regular,11,10,0,44.8896,268.832,0.556359,3.78867
Office.Texture.rotationXAxis,pc3,regular,12,11,0,55.2552,603.67,0.285554,5.67967
Office.Texture.rotationXAxis,pc3,regular,13,12,0,44.9297,262.256,0.519599,3.78986
Office.Texture.rotationXAxis,pc3,regular,14,13,0,53.3636,958.392,0.45933,4.87439
