alg,frame1,frame2,seconds,hd
none,5,4,0,8.27552
none,6,5,0,3.31322
none,7,6,0,3.88073
none,8,7,0,8.98413
none,9,8,0,4.04026
none,10,9,0,3.91492
none,11,10,0,4.5839
none,12,11,0,5.86009
none,13,12,0,4.3722
none,14,13,0,5.40335
none,15,14,0,5.81561
none,16,15,0,12.9301
none,17,16,0,3.98529
none,18,17,0,10.1308
none,19,18,0,5.17167
none,20,19,0,4.97848
none,21,20,0,4.56002
none,22,21,0,5.84705
none,23,22,0,4.70189
none,24,23,0,9.11403
none,25,24,0,5.71511
none,26,25,0,4.14459
none,27,26,0,6.37144
none,28,27,0,23.0864
none,29,28,0,6.15673
FM2D,5,4,0.811395,5.21455
FM2D,6,5,0.195729,3.44631
FM2D,7,6,0.17226,2.88626
FM2D,8,7,0.211008,3.97701
FM2D,9,8,0.192736,3.75675
FM2D,10,9,0.198593,3.39438
FM2D,11,10,0.206498,4.0478
FM2D,12,11,0.192404,4.50114
FM2D,13,12,0.188168,3.72437
FM2D,14,13,0.200436,4.84807
FM2D,15,14,0.230024,4.19125
FM2D,16,15,0.198189,3.88528
FM2D,17,16,0.222653,3.37215
FM2D,18,17,0.216287,8.00277
FM2D,19,18,0.1952,4.28636
FM2D,20,19,0.211263,3.62237
FM2D,21,20,0.218579,3.26782
FM2D,22,21,0.207015,3.51637
FM2D,23,22,0.20524,3.35857
FM2D,24,23,0.217671,4.30302
FM2D,25,24,0.216825,3.7408
FM2D,26,25,0.195927,3.06411
FM2D,27,26,0.203612,3.22101
FM2D,28,27,0.213253,17.9166
FM2D,29,28,0.207929,3.01494
FM3D,5,4,16.6569,17.0361
FM3D,6,5,16.5415,3.30428
FM3D,7,6,16.502,2.90233
FM3D,8,7,16.5521,7.61966
FM3D,9,8,16.6476,7.93341
FM3D,10,9,16.58,10.1279
FM3D,11,10,16.6352,158.855
FM3D,12,11,16.7463,4.86301
FM3D,13,12,17.038,4.30463
FM3D,14,13,16.9555,4.62509
FM3D,15,14,17.0045,5.96513
FM3D,16,15,17.2992,12.7348
FM3D,17,16,17.755,3.81289
FM3D,18,17,17.6229,8.16377
FM3D,19,18,17.9263,11.0259
FM3D,20,19,18.1506,3.64042
FM3D,21,20,18.2251,4.3917
FM3D,22,21,18.4392,7.4683
FM3D,23,22,18.6178,6.81132
FM3D,24,23,18.661,4.41114
FM3D,25,24,19.0348,3.99156
FM3D,26,25,18.9619,6.48032
FM3D,27,26,18.8584,3.49814
FM3D,28,27,18.8799,36.2741
FM3D,29,28,18.9724,3.67671
ICP,5,4,30.4989,5.4223
ICP,6,5,10.8809,3.2419
ICP,7,6,11.2457,3.44931
ICP,8,7,44.5088,4.04657
ICP,9,8,25.4807,3.57254
ICP,10,9,18.4408,3.4345
ICP,11,10,22.0197,3.95317
ICP,12,11,25.9199,4.39352
ICP,13,12,18.0707,3.78358
ICP,14,13,31.8944,4.76403
ICP,15,14,15.4092,4.49675
ICP,16,15,14.8854,4.06285
ICP,17,16,14.6199,3.40651
ICP,18,17,22.7455,7.68094
ICP,19,18,11.1684,4.40031
ICP,20,19,25.4628,3.76491
ICP,21,20,21.8196,3.37393
ICP,22,21,10.8683,3.56291
ICP,23,22,25.4007,3.34823
ICP,24,23,21.2776,4.34925
ICP,25,24,20.9915,3.91276
ICP,26,25,39.3228,3.00302
ICP,27,26,21.8618,3.2007
ICP,28,27,23.0686,16.9497
ICP,29,28,28.4817,2.87357
PCA,5,4,0.01277,7.97133
PCA,6,5,0.014511,3.64079
PCA,7,6,0.017672,3.38836
PCA,8,7,0.013519,6.03624
PCA,9,8,0.013691,4.00744
PCA,10,9,0.014024,6.24029
PCA,11,10,0.013963,6.81934
PCA,12,11,0.01374,8.3662
PCA,13,12,0.01439,6.90431
PCA,14,13,0.014282,7.53132
PCA,15,14,0.013699,6.69845
PCA,16,15,0.013785,6.08659
PCA,17,16,0.013639,6.5454
PCA,18,17,0.014483,11.7713
PCA,19,18,0.014009,13.1555
PCA,20,19,0.014407,6.53703
PCA,21,20,0.015814,8.22635
PCA,22,21,0.014359,10.6925
PCA,23,22,0.014272,7.94869
PCA,24,23,0.014295,8.37816
PCA,25,24,0.014197,20.0755
PCA,26,25,0.014484,1444.2
PCA,27,26,0.014817,13.4429
PCA,28,27,0.01411,22.692
PCA,29,28,0.014065,3.94608
FVR,5,4,18.5883,5.46849
