data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Office.TexturedItems.Translation,none,regular,5,4,0,0,558.446,0.353411,3.83427
Office.TexturedItems.Translation,none,regular,6,5,0,0,505.667,0.401076,2.76603
Office.TexturedItems.Translation,none,regular,7,6,0,0,393.481,0.156834,7.00976
Office.TexturedItems.Translation,none,regular,8,7,0,0,473.571,0.337968,3.11641
Office.TexturedItems.Translation,none,regular,9,8,0,0,130.879,0.353443,3.12088
Office.TexturedItems.Translation,none,regular,10,9,0,0,2360.99,0.196258,8.16122
Office.TexturedItems.Translation,none,regular,11,10,0,0,362.944,0.259809,3.85941
Office.TexturedItems.Translation,none,regular,12,11,0,0,61.6516,0.544657,2.21056
Office.TexturedItems.Translation,none,regular,13,12,0,0,277.588,0.201552,5.87677
Office.TexturedItems.Translation,none,regular,14,13,0,0,81.8548,0.587824,2.09036
Office.TexturedItems.Translation,none,regular,15,14,0,0,366.952,0.215992,4.22543
Office.TexturedItems.Translation,none,regular,16,15,0,0,670.064,0.220719,5.75214
Office.TexturedItems.Translation,none,regular,17,16,0,0,511.976,0.329176,3.237
Office.TexturedItems.Translation,none,regular,18,17,0,0,148.723,0.283344,4.57847
Office.TexturedItems.Translation,none,regular,19,18,0,0,1112.68,0.410479,4.42129
Office.TexturedItems.Translation,none,regular,20,19,0,0,2002.96,0.205986,8.253
Office.TexturedItems.Translation,none,regular,21,20,0,0,64.0355,0.532235,2.3632
Office.TexturedItems.Translation,none,regular,22,21,0,0,5429.86,0.171513,9.28587
Office.TexturedItems.Translation,none,regular,23,22,0,0,20653.1,0.437204,6.39901
Office.TexturedItems.Translation,none,regular,24,23,0,0,1107.33,0.281813,6.49002
Office.TexturedItems.Translation,none,regular,25,24,0,0,1647,0.221378,8.56807
Office.TexturedItems.Translation,none,regular,26,25,0,0,10353,0.324382,12.6986
Office.TexturedItems.Translation,none,regular,27,26,0,0,213.216,0.471278,3.46154
Office.TexturedItems.Translation,none,regular,28,27,0,0,4671.99,0.158923,12.1162
Office.TexturedItems.Translation,none,regular,29,28,0,0,4569.49,0.260286,7.86915
Office.TexturedItems.Translation,pc,regular,5,4,0,2.69756,497.431,0.599264,2.75639
Office.TexturedItems.Translation,pc,regular,6,5,0,2.11799,504.371,0.645738,2.17602
Office.TexturedItems.Translation,pc,regular,7,6,0,2.11764,192.384,0.516342,3.03494
Office.TexturedItems.Translation,pc,regular,8,7,0,2.12243,248.556,0.625712,1.87862
Office.TexturedItems.Translation,pc,regular,9,8,0,2.11517,142.983,0.587478,2.41581
Office.TexturedItems.Translation,pc,regular,10,9,0,2.11538,1452.15,0.652806,3.5961
Office.TexturedItems.Translation,pc,regular,11,10,0,2.12355,92.5399,0.62209,1.84687
Office.TexturedItems.Translation,pc,regular,12,11,0,2.2193,65.7335,0.545565,2.21378
Office.TexturedItems.Translation,pc,regular,13,12,0,2.11726,229.449,0.503791,2.88309
Office.TexturedItems.Translation,pc,regular,14,13,0,2.12053,93.715,0.588519,2.07999
Office.TexturedItems.Translation,pc,regular,15,14,0,2.11881,331.821,0.641084,1.97282
Office.TexturedItems.Translation,pc,regular,16,15,0,2.12393,413.318,0.545339,3.0184
Office.TexturedItems.Translation,pc,regular,17,16,0,2.12197,236.893,0.517131,2.51706
Office.TexturedItems.Translation,pc,regular,18,17,0,2.12857,56.7108,0.542618,2.1445
Office.TexturedItems.Translation,pc,regular,19,18,0,2.11478,1127.2,0.450511,4.78886
Office.TexturedItems.Translation,pc,regular,20,19,0,2.13928,1633.59,0.443951,4.76196
Office.TexturedItems.Translation,pc,regular,21,20,0,2.29167,145.911,0.531211,2.42906
Office.TexturedItems.Translation,pc,regular,22,21,0,2.11992,1702.41,0.40273,4.26535
Office.TexturedItems.Translation,pc,regular,23,22,0,2.13153,13852.4,0.538653,5.58562
Office.TexturedItems.Translation,pc,regular,24,23,0,2.12248,1698.84,0.369627,5.31424
Office.TexturedItems.Translation,pc,regular,25,24,0,2.1121,6266.35,0.32824,9.16114
Office.TexturedItems.Translation,pc,regular,26,25,0,2.11777,11501.8,0.322589,13.6556
Office.TexturedItems.Translation,pc,regular,27,26,0,2.10899,522.088,0.372347,4.79734
Office.TexturedItems.Translation,pc,regular,28,27,0,2.14533,1809.06,0.354955,8.17256
Office.TexturedItems.Translation,pc,regular,29,28,0,2.12295,3427.85,0.389844,6.75009
Office.TexturedItems.Translation,pc2,regular,5,4,0,5.21441,556.838,0.359764,3.69175
Office.TexturedItems.Translation,pc2,regular,6,5,0,5.1766,519.613,0.410453,2.79467
Office.TexturedItems.Translation,pc2,regular,7,6,0,5.47678,225.587,0.185649,4.65759
Office.TexturedItems.Translation,pc2,regular,8,7,0,5.50005,505.137,0.202179,4.49381
Office.TexturedItems.Translation,pc2,regular,9,8,0,5.20254,179.657,0.275419,3.34717
Office.TexturedItems.Translation,pc2,regular,10,9,0,5.21916,1466.76,0.223898,5.85611
Office.TexturedItems.Translation,pc2,regular,11,10,0,5.15679,78.1011,0.544122,2.11028
Office.TexturedItems.Translation,pc2,regular,12,11,0,5.19854,59.8656,0.485949,2.30406
Office.TexturedItems.Translation,pc2,regular,13,12,0,5.1868,200.257,0.417963,2.85122
Office.TexturedItems.Translation,pc2,regular,14,13,0,5.19059,91.0548,0.487395,2.37409
Office.TexturedItems.Translation,pc2,regular,15,14,0,5.18762,349.473,0.627494,2.02746
Office.TexturedItems.Translation,pc2,regular,16,15,0,5.15321,1104.67,0.325913,4.07562
Office.TexturedItems.Translation,pc2,regular,17,16,0,5.17402,338.29,0.49553,2.49175
Office.TexturedItems.Translation,pc2,regular,18,17,0,5.17885,61.6926,0.485928,2.29054
Office.TexturedItems.Translation,pc2,regular,19,18,0,5.20119,1787.99,0.3416,5.04333
Office.TexturedItems.Translation,pc2,regular,20,19,0,5.17385,2914.32,0.37711,5.53152
Office.TexturedItems.Translation,pc2,regular,21,20,0,5.16985,124.211,0.472417,2.58476
Office.TexturedItems.Translation,pc2,regular,22,21,0,5.19078,839.676,0.328684,4.61723
Office.TexturedItems.Translation,pc2,regular,23,22,0,5.18737,15048.6,0.504657,5.60754
Office.TexturedItems.Translation,pc2,regular,24,23,0,5.24347,2044.73,0.121845,9.83693
Office.TexturedItems.Translation,pc2,regular,25,24,0,5.19482,5337.69,0.0861103,15.6899
Office.TexturedItems.Translation,pc2,regular,26,25,0,5.4214,5.28798e+007,0.00138227,5126.55
Office.TexturedItems.Translation,pc2,regular,27,26,0,5.15824,392.118,0.106926,8.14367
Office.TexturedItems.Translation,pc2,regular,28,27,0,5.19268,11560.4,0.110009,12.5219
Office.TexturedItems.Translation,pc2,regular,29,28,0,5.43511,12592.2,0.0201918,52.6493
Office.TexturedItems.Translation,pca,regular,5,4,0,0,526.244,0.353304,3.85779
