alg,frame1,frame2,seconds,hd
none,5,4,0,3.73024
none,6,5,0,2.73273
none,7,6,0,6.88144
none,8,7,0,3.27359
none,9,8,0,3.42584
none,10,9,0,8.7668
none,11,10,0,3.70264
none,12,11,0,2.25179
none,13,12,0,6.36066
none,14,13,0,2.04156
none,15,14,0,4.31373
none,16,15,0,7.90272
none,17,16,0,3.12246
none,18,17,0,4.58923
none,19,18,0,5.59609
none,20,19,0,8.06372
none,21,20,0,2.36558
none,22,21,0,8.92792
none,23,22,0,5.8381
none,24,23,0,6.74306
none,25,24,0,7.78958
none,26,25,0,13.3782
none,27,26,0,3.51602
none,28,27,0,14.7933
none,29,28,0,7.21851
FM2D,5,4,0.271869,2.62451
FM2D,6,5,0.263734,2.08671
FM2D,7,6,0.270212,2.89056
FM2D,8,7,0.271817,1.93159
FM2D,9,8,0.261719,2.34486
FM2D,10,9,0.271559,3.48885
FM2D,11,10,0.274723,1.77573
FM2D,12,11,0.271934,2.1031
FM2D,13,12,0.258716,2.52423
FM2D,14,13,0.265067,2.04092
FM2D,15,14,0.279143,2.0198
FM2D,16,15,0.280461,3.85712
FM2D,17,16,0.2778,2.33806
FM2D,18,17,0.275946,2.00695
FM2D,19,18,0.272167,5.4637
FM2D,20,19,0.267979,5.00933
FM2D,21,20,0.27169,2.2422
FM2D,22,21,0.270468,4.69573
FM2D,23,22,0.263052,6.20389
FM2D,24,23,0.259516,4.85982
FM2D,25,24,0.265202,6.36364
FM2D,26,25,0.273477,11.2961
FM2D,27,26,0.265207,4.12729
FM2D,28,27,0.263576,6.15765
FM2D,29,28,0.250922,4.7711
FM3D,5,4,73.0418,2.79327
FM3D,6,5,72.9791,35.8261
FM3D,7,6,72.8846,3.09043
FM3D,8,7,72.7624,4.98797
FM3D,9,8,72.5449,12679.8
FM3D,10,9,72.2986,3.91358
FM3D,11,10,72.616,6.11207
FM3D,12,11,72.5737,2.29624
FM3D,13,12,72.5125,3.34112
FM3D,14,13,72.8412,2.05311
FM3D,15,14,72.9482,5.44524
FM3D,16,15,72.8556,30.6571
FM3D,17,16,72.5137,4.81093
FM3D,18,17,72.678,2.17824
FM3D,19,18,74.7792,9089.85
FM3D,20,19,74.7511,6.18594
FM3D,21,20,72.908,2.57168
FM3D,22,21,72.8088,5.44967
FM3D,23,22,72.8751,9.6292
FM3D,24,23,72.5347,5.09415
FM3D,25,24,72.7855,18.559
FM3D,26,25,73.1605,13.3021
FM3D,27,26,72.9629,9.82329
FM3D,28,27,75.1361,29.0517
FM3D,29,28,72.9947,10329.3
ICP,5,4,19.8272,2.69584
ICP,6,5,11.1011,2.15925
ICP,7,6,23.4461,2.92901
ICP,8,7,14.0282,1.87836
ICP,9,8,11.454,2.38783
ICP,10,9,22.2335,3.5011
ICP,11,10,11.5548,2.05227
ICP,12,11,8.42915,2.10874
