data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
OfficeDesk.Texture.rotationLift,none,regular,5,4,0,0,6.08963,0.938804,0.325034
OfficeDesk.Texture.rotationLift,none,regular,6,5,0,0,18.6393,0.832432,0.698021
OfficeDesk.Texture.rotationLift,none,regular,7,6,0,0,16275.8,0.610048,6.69366
OfficeDesk.Texture.rotationLift,none,regular,8,7,0,0,1090.82,0.762337,2.42447
OfficeDesk.Texture.rotationLift,none,regular,9,8,0,0,70.2053,0.752744,0.906791
OfficeDesk.Texture.rotationLift,none,regular,10,9,0,0,14.0315,0.820807,0.613495
OfficeDesk.Texture.rotationLift,none,regular,11,10,0,0,12.9346,0.863035,0.57679
OfficeDesk.Texture.rotationLift,none,regular,12,11,0,0,29.0674,0.812193,0.723532
OfficeDesk.Texture.rotationLift,none,regular,13,12,0,0,9.63583,0.824135,0.634523
OfficeDesk.Texture.rotationLift,none,regular,14,13,0,0,107.452,0.880408,0.803674
OfficeDesk.Texture.rotationLift,none,regular,15,14,0,0,94.9455,0.837398,0.957011
OfficeDesk.Texture.rotationLift,none,regular,16,15,0,0,6117.46,0.0142158,46.1677
OfficeDesk.Texture.rotationLift,none,regular,17,16,0,0,430340,0.0168461,69.5357
OfficeDesk.Texture.rotationLift,none,regular,18,17,0,0,2552.26,0.331416,5.536
OfficeDesk.Texture.rotationLift,none,regular,19,18,0,0,662.38,0.462093,3.90404
OfficeDesk.Texture.rotationLift,none,regular,20,19,0,0,783.556,0.505431,3.3166
OfficeDesk.Texture.rotationLift,none,regular,21,20,0,0,5924.96,0.459521,5.45792
OfficeDesk.Texture.rotationLift,none,regular,22,21,0,0,154.552,0.514334,1.97241
OfficeDesk.Texture.rotationLift,none,regular,23,22,0,0,4160.21,0.618024,3.53225
OfficeDesk.Texture.rotationLift,none,regular,24,23,0,0,569.652,0.477533,3.12997
OfficeDesk.Texture.rotationLift,none,regular,25,24,0,0,283.305,0.86722,1.11229
OfficeDesk.Texture.rotationLift,none,regular,26,25,0,0,20.8888,0.888294,0.544835
OfficeDesk.Texture.rotationLift,none,regular,27,26,0,0,364.991,0.863167,1.38627
OfficeDesk.Texture.rotationLift,none,regular,28,27,0,0,811.835,0.880813,0.952549
OfficeDesk.Texture.rotationLift,none,regular,29,28,0,0,1083.84,0.766953,2.41615
