alg,frame1,frame2,seconds,hd
none,5,4,0,0.325034
none,6,5,0,0.698021
none,7,6,0,6.69366
none,8,7,0,2.42447
none,9,8,0,0.906791
none,10,9,0,0.613495
none,11,10,0,0.57679
none,12,11,0,0.723532
none,13,12,0,0.634523
none,14,13,0,0.803674
none,15,14,0,0.957011
none,16,15,0,46.1677
none,17,16,0,69.5357
none,18,17,0,5.536
none,19,18,0,3.90404
none,20,19,0,3.3166
none,21,20,0,5.45792
none,22,21,0,1.97241
none,23,22,0,3.53225
none,24,23,0,3.12997
none,25,24,0,1.11229
none,26,25,0,0.544835
none,27,26,0,1.38627
none,28,27,0,0.952549
none,29,28,0,2.41615
FM2D,5,4,1.21602,0.334693
FM2D,6,5,0.193781,0.41757
FM2D,7,6,0.167448,3.17924
FM2D,8,7,0.172323,1.54578
FM2D,9,8,0.170911,0.54804
FM2D,10,9,0.181061,0.51351
FM2D,11,10,0.194473,0.478874
FM2D,12,11,0.195923,0.558839
FM2D,13,12,0.218285,0.503839
FM2D,14,13,0.214343,1.01046
FM2D,15,14,0.206919,0.866704
FM2D,16,15,0.224128,1.59602
FM2D,17,16,0.230863,1.65787
FM2D,18,17,0.214207,1.9619
FM2D,19,18,0.220769,3.15756
FM2D,20,19,0.196934,3.42287
FM2D,21,20,0.223182,2.39368
FM2D,22,21,0.23747,0.628953
FM2D,23,22,0.246651,1.42956
FM2D,24,23,0.23508,2.01473
FM2D,25,24,0.229908,0.915955
FM2D,26,25,0.263498,0.577539
FM2D,27,26,0.223807,3.03195
FM2D,28,27,0.234948,0.687262
FM2D,29,28,0.250944,2.18852
FM3D,5,4,17.4965,0.329656
FM3D,6,5,17.3032,1.26395
FM3D,7,6,17.3013,2.38048
FM3D,8,7,17.3585,61.4131
FM3D,9,8,17.2365,340.726
FM3D,10,9,17.4018,0.594015
FM3D,11,10,17.3838,0.65681
FM3D,12,11,17.379,2.41113
FM3D,13,12,17.3672,0.616509
FM3D,14,13,17.4017,0.76931
FM3D,15,14,17.2926,1.0833
FM3D,16,15,17.218,1.96702
FM3D,17,16,17.3507,1.8544
FM3D,18,17,17.2724,124.482
FM3D,19,18,17.1921,3.50556
