alg,frame1,frame2,seconds,hd
none,5,4,0,50.3466
none,6,5,0,42.693
none,7,6,0,188.381
none,8,7,0,208.373
none,9,8,0,16.7306
none,10,9,0,5.55096
none,11,10,0,35.1837
none,12,11,0,63.0066
none,13,12,0,147.934
none,14,13,0,68.0462
none,15,14,0,52.534
none,16,15,0,91.8675
none,17,16,0,40.5369
none,18,17,0,41.3516
none,19,18,0,1833.69
none,20,19,0,62.0685
none,21,20,0,56.2565
none,22,21,0,47.0052
none,23,22,0,52.8622
none,24,23,0,70.3105
none,25,24,0,171.472
none,26,25,0,100.04
none,27,26,0,50.3837
none,28,27,0,81.2271
none,29,28,0,89.8131
FM2D,5,4,0.187185,1.93613
FM2D,6,5,0.139195,10.079
FM2D,7,6,0.144661,4.5
FM2D,8,7,0.134269,37.4746
FM2D,9,8,0.119223,2.27897
FM2D,10,9,0.121413,5.6783
FM2D,11,10,0.119268,29.9756
FM2D,12,11,0.112387,62.4008
FM2D,13,12,0.099729,34.2744
FM2D,14,13,0.105343,2.92799
FM2D,15,14,0.104424,30.8809
FM2D,16,15,0.109249,86.1165
FM2D,17,16,0.106113,142.003
FM2D,18,17,0.108502,11.6417
FM2D,19,18,0.102849,79.35
FM2D,20,19,0.105512,47.8997
FM2D,21,20,0.10221,22.0888
FM2D,22,21,0.114739,39.6751
FM2D,23,22,0.117522,37.2473
FM2D,24,23,0.110744,52.1483
FM2D,25,24,0.107618,18.4081
FM2D,26,25,0.103639,7.91457
FM2D,27,26,0.113446,4.26448
FM2D,28,27,0.117893,31.2298
FM2D,29,28,0.119888,58.257
FM3D,5,4,21.2376,2.7602
FM3D,6,5,21.1243,10.5822
FM3D,7,6,20.5982,3.88288
FM3D,8,7,20.3363,28.1147
FM3D,9,8,20.2636,28.6264
FM3D,10,9,19.6491,7.10284
FM3D,11,10,19.4402,29.1993
FM3D,12,11,19.7813,63.5121
FM3D,13,12,19.4617,2138.15
FM3D,14,13,18.9072,3.54249
FM3D,15,14,18.9716,30.8397
FM3D,16,15,19.0053,89.2788
FM3D,17,16,18.4562,102.297
FM3D,18,17,18.5083,20.8097
FM3D,19,18,18.3217,89.1209
FM3D,20,19,17.9974,42.066
FM3D,21,20,18.0972,31.77
FM3D,22,21,18.2198,43.7474
FM3D,23,22,18.1695,4273.54
FM3D,24,23,18.1838,97.51
FM3D,25,24,18.099,31.2725
FM3D,26,25,17.8997,26.6446
FM3D,27,26,17.5495,31.9361
FM3D,28,27,17.5309,38.7904
FM3D,29,28,17.6032,61.2665
ICP,5,4,36.9662,1.86772
ICP,6,5,21.6219,8.3001
ICP,7,6,18.5543,5.75057
