data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Outside.NoTexture.translation,none,regular,5,4,0,0,1268.14,0.216839,5.2241
Outside.NoTexture.translation,none,regular,6,5,0,0,2001.7,0.00436218,25.9193
Outside.NoTexture.translation,none,regular,7,6,0,0,1693,0.176893,6.78903
Outside.NoTexture.translation,none,regular,8,7,0,0,46.6417,0.148092,4.69889
Outside.NoTexture.translation,none,regular,9,8,0,0,1436.71,0.172853,6.86843
Outside.NoTexture.translation,none,regular,10,9,0,0,8622.25,0.00552051,30.0506
Outside.NoTexture.translation,none,regular,11,10,0,0,613.921,0.0582936,9.50523
Outside.NoTexture.translation,none,regular,12,11,0,0,1257.99,0.010438,17.7474
Outside.NoTexture.translation,none,regular,13,12,0,0,1080.89,0.0318784,19.4178
Outside.NoTexture.translation,none,regular,14,13,0,0,59402.1,0.00749965,130.511
Outside.NoTexture.translation,none,regular,15,14,0,0,8624.68,0.00212261,62.2377
Outside.NoTexture.translation,none,regular,16,15,0,0,7565.7,0.012475,43.9431
Outside.NoTexture.translation,none,regular,17,16,0,0,148.979,0.114259,6.86848
Outside.NoTexture.translation,none,regular,18,17,0,0,6131.44,0.0209125,27.9519
Outside.NoTexture.translation,none,regular,19,18,0,0,3445.74,0.0345685,16.6914
Outside.NoTexture.translation,none,regular,20,19,0,0,8159.14,0.0419529,33.5732
Outside.NoTexture.translation,none,regular,21,20,0,0,4671.96,0.0220852,42.7677
Outside.NoTexture.translation,none,regular,22,21,0,0,1724.19,0.0867992,18.4864
Outside.NoTexture.translation,none,regular,23,22,0,0,5065.54,0.0575827,31.2647
Outside.NoTexture.translation,none,regular,24,23,0,0,4803.12,0.0403051,45.0849
Outside.NoTexture.translation,none,regular,25,24,0,0,2937.69,0.0402847,27.1566
Outside.NoTexture.translation,none,regular,26,25,0,0,1128.86,0.038694,23.0299
Outside.NoTexture.translation,none,regular,27,26,0,0,2607.88,0.181142,14.3337
Outside.NoTexture.translation,none,regular,28,27,0,0,6161.25,0.0790258,18.7014
Outside.NoTexture.translation,none,regular,29,28,0,0,5331.82,0.256491,6.34264
Outside.NoTexture.translation,pc,regular,5,4,0,2.73136,613.086,0.411623,3.13276
Outside.NoTexture.translation,pc,regular,6,5,0,2.12125,143.543,0.402984,2.66761
Outside.NoTexture.translation,pc,regular,7,6,0,2.15788,266.388,0.484063,3.11089
Outside.NoTexture.translation,pc,regular,8,7,0,2.13681,57.6891,0.377732,2.98605
Outside.NoTexture.translation,pc,regular,9,8,0,2.12659,1650.07,0.426781,3.98277
Outside.NoTexture.translation,pc,regular,10,9,0,2.16068,500.166,0.3605,4.15663
Outside.NoTexture.translation,pc,regular,11,10,0,2.14145,1259.32,0.471363,3.87467
Outside.NoTexture.translation,pc,regular,12,11,0,2.1224,171.585,0.553597,2.28923
Outside.NoTexture.translation,pc,regular,13,12,0,2.14931,246.485,0.30421,3.70364
Outside.NoTexture.translation,pc,regular,14,13,0,2.13085,14459,0.321446,6.95876
Outside.NoTexture.translation,pc,regular,15,14,0,2.13881,5926.04,0.0270966,47.9949
Outside.NoTexture.translation,pc,regular,16,15,0,2.12744,2648.65,0.0386541,31.3169
Outside.NoTexture.translation,pc,regular,17,16,0,2.14651,91.0285,0.406772,2.83334
Outside.NoTexture.translation,pc,regular,18,17,0,2.1351,420.299,0.422418,3.74444
Outside.NoTexture.translation,pc,regular,19,18,0,2.16931,3742.8,0.202213,8.00224
Outside.NoTexture.translation,pc,regular,20,19,0,2.1295,2852.57,0.0735002,28.0441
Outside.NoTexture.translation,pc,regular,21,20,0,2.15433,4849.24,0.0550139,37.5123
Outside.NoTexture.translation,pc,regular,22,21,0,2.13737,233.265,0.363903,4.98722
Outside.NoTexture.translation,pc,regular,23,22,0,2.12818,1680.25,0.10453,19.9032
Outside.NoTexture.translation,pc,regular,24,23,0,2.14773,3894.14,0.0890711,32.1154
Outside.NoTexture.translation,pc,regular,25,24,0,2.12022,4277.78,0.0556171,26.4257
Outside.NoTexture.translation,pc,regular,26,25,0,2.12307,444.934,0.127695,11.9196
Outside.NoTexture.translation,pc,regular,27,26,0,2.15467,7979.3,0.32058,13.9616
Outside.NoTexture.translation,pc,regular,28,27,0,2.14165,1503.94,0.129427,13.5349
Outside.NoTexture.translation,pc,regular,29,28,0,2.12994,872.401,0.424482,4.08853
Outside.NoTexture.translation,pc2,regular,5,4,0,5.45596,975.426,0.290456,5.10033
Outside.NoTexture.translation,pc2,regular,6,5,0,5.22732,166.226,0.245104,2.6125
Outside.NoTexture.translation,pc2,regular,7,6,0,5.1698,278.127,0.382291,3.27422
Outside.NoTexture.translation,pc2,regular,8,7,0,5.19137,27.091,0.342259,2.61199
Outside.NoTexture.translation,pc2,regular,9,8,0,5.14899,1249.17,0.433821,3.83027
Outside.NoTexture.translation,pc2,regular,10,9,0,5.18028,2144.36,0.223996,6.3388
Outside.NoTexture.translation,pc2,regular,11,10,0,5.14364,2254.54,0.306727,6.95007
Outside.NoTexture.translation,pc2,regular,12,11,0,5.1265,101.845,0.318622,2.66961
Outside.NoTexture.translation,pc2,regular,13,12,0,5.15235,3262.14,0.351726,6.00702
Outside.NoTexture.translation,pc2,regular,14,13,0,5.42413,13731.2,0.357294,6.2118
Outside.NoTexture.translation,pc2,regular,15,14,0,5.14734,8271.12,0.0333146,51.4688
Outside.NoTexture.translation,pc2,regular,16,15,0,5.36127,2643.75,0.0462257,30.2838
Outside.NoTexture.translation,pc2,regular,17,16,0,5.53274,354.962,0.183268,6.18815
Outside.NoTexture.translation,pc2,regular,18,17,0,5.55564,877.8,0.212666,7.13644
Outside.NoTexture.translation,pc2,regular,19,18,0,5.53854,7702.04,0.209017,9.07954
Outside.NoTexture.translation,pc2,regular,20,19,0,5.57646,2594.68,0.0429558,28.6691
Outside.NoTexture.translation,pc2,regular,21,20,0,5.5069,3005.72,0.101629,30.1912
Outside.NoTexture.translation,pc2,regular,22,21,0,5.5503,427.542,0.351161,6.8448
Outside.NoTexture.translation,pc2,regular,23,22,0,5.52165,1628.79,0.0394333,23.8166
Outside.NoTexture.translation,pc2,regular,24,23,0,5.46481,5073.23,0.0826112,34.8904
Outside.NoTexture.translation,pc2,regular,25,24,0,5.47447,1599.4,0.0697825,22.9676
Outside.NoTexture.translation,pc2,regular,26,25,0,5.51095,682.297,0.10616,14.4084
Outside.NoTexture.translation,pc2,regular,27,26,0,5.4459,5175.72,0.304312,12.9554
Outside.NoTexture.translation,pc2,regular,28,27,0,5.73924,1583.13,0.129736,13.5525
Outside.NoTexture.translation,pc2,regular,29,28,0,6.03696,1981.39,0.341784,5.4016
Outside.NoTexture.translation,pca,regular,5,4,0,0,1082.88,0.216852,5.14227
Outside.NoTexture.translation,pca,regular,6,5,0,0,2299.31,0.00437319,26.1975
Outside.NoTexture.translation,pca,regular,7,6,0,0,413.978,0.17697,6.13369
Outside.NoTexture.translation,pca,regular,8,7,0,0,69.2601,0.147971,4.78112
Outside.NoTexture.translation,pca,regular,9,8,0,0,536.951,0.172972,6.52345
Outside.NoTexture.translation,pca,regular,10,9,0,0,2235.55,0.00552967,25.5967
Outside.NoTexture.translation,pca,regular,11,10,0,0,820.782,0.0574557,9.78749
Outside.NoTexture.translation,pca,regular,12,11,0,0,2044.61,0.0104233,17.4544
Outside.NoTexture.translation,pca,regular,13,12,0,0,1007.42,0.0318711,19.2605
Outside.NoTexture.translation,pca,regular,14,13,0,0,21585.5,0.00745026,118.274
Outside.NoTexture.translation,pca,regular,15,14,0,0,9017.49,0.00212261,63.3804
Outside.NoTexture.translation,pca,regular,16,15,0,0,6348.9,0.0125024,43.3373
Outside.NoTexture.translation,pca,regular,17,16,0,0,166.31,0.114174,7.08579
Outside.NoTexture.translation,pca,regular,18,17,0,0,4836.39,0.0209472,26.8125
Outside.NoTexture.translation,pca,regular,19,18,0,0,3077.02,0.0347933,17.2762
Outside.NoTexture.translation,pca,regular,20,19,0,0,3651.46,0.0418195,32.0488
Outside.NoTexture.translation,pca,regular,21,20,0,0,4751.63,0.0220396,42.7618
Outside.NoTexture.translation,pca,regular,22,21,0,0,1234.09,0.0869235,17.325
Outside.NoTexture.translation,pca,regular,23,22,0,0,4682.32,0.0575736,31.6692
Outside.NoTexture.translation,pca,regular,24,23,0,0,4735.79,0.0403308,45.0453
Outside.NoTexture.translation,pca,regular,25,24,0,0,2350.5,0.0402353,25.8718
Outside.NoTexture.translation,pca,regular,26,25,0,0,1455.62,0.0385715,23.5071
Outside.NoTexture.translation,pca,regular,27,26,0,0,2834.76,0.182353,14.4322
Outside.NoTexture.translation,pca,regular,28,27,0,0,2928.62,0.0794064,16.5025
Outside.NoTexture.translation,pca,regular,29,28,0,0,886.857,0.25897,5.50015
Outside.NoTexture.translation,pc3,regular,5,4,0,66.9226,355.839,0.406032,2.83168
Outside.NoTexture.translation,pc3,regular,6,5,0,55.4441,38.6886,0.506942,1.98182
Outside.NoTexture.translation,pc3,regular,7,6,0,66.308,272.454,0.503244,2.65637
Outside.NoTexture.translation,pc3,regular,8,7,0,49.9543,42.4602,0.459247,1.7217
Outside.NoTexture.translation,pc3,regular,9,8,0,79.9751,413.544,0.585111,2.6316
Outside.NoTexture.translation,pc3,regular,10,9,0,94.211,4243.16,0.463433,5.00302
Outside.NoTexture.translation,pc3,regular,11,10,0,98.3556,778.721,0.574979,3.18249
Outside.NoTexture.translation,pc3,regular,12,11,0,95.3914,98.8507,0.630716,1.87618
Outside.NoTexture.translation,pc3,regular,13,12,0,80.3465,121.108,0.563815,2.34354
Outside.NoTexture.translation,pc3,regular,14,13,0,52.0756,2907.09,0.401643,4.52006
Outside.NoTexture.translation,pc3,regular,15,14,0,66.8805,6315.06,0.0553268,37.2273
Outside.NoTexture.translation,pc3,regular,16,15,0,77.1656,3083.58,0.101939,24.9896
Outside.NoTexture.translation,pc3,regular,17,16,0,75.1834,67.1928,0.505109,2.18225
Outside.NoTexture.translation,pc3,regular,18,17,0,98.6738,400.341,0.501271,3.34108
Outside.NoTexture.translation,pc3,regular,19,18,0,82.7036,9157.57,0.483627,6.26973
Outside.NoTexture.translation,pc3,regular,20,19,0,84.8985,7189.67,0.130707,24.2962
Outside.NoTexture.translation,pc3,regular,21,20,0,94.3432,2604.9,0.115604,22.5464
Outside.NoTexture.translation,pc3,regular,22,21,0,92.7065,374.841,0.483725,3.32151
