alg,frame1,frame2,seconds,hd
none,5,4,0,5.23209
none,6,5,0,24.8755
none,7,6,0,6.31502
none,8,7,0,5.07176
none,9,8,0,6.85976
none,10,9,0,25.5672
none,11,10,0,10.209
none,12,11,0,16.587
none,13,12,0,20.9669
none,14,13,0,117.826
none,15,14,0,66.8452
none,16,15,0,42.4388
none,17,16,0,7.29453
none,18,17,0,24.0421
none,19,18,0,16.9558
none,20,19,0,32.9982
none,21,20,0,43.2264
none,22,21,0,17.83
none,23,22,0,30.7221
none,24,23,0,47.4649
none,25,24,0,25.8594
none,26,25,0,24.7301
none,27,26,0,16.4404
none,28,27,0,16.2867
none,29,28,0,6.41066
FM2D,5,4,0.658071,6.04018
FM2D,6,5,0.199078,3.44249
FM2D,7,6,0.513096,3.2823
FM2D,8,7,0.135391,1.7062
FM2D,9,8,0.13491,38.3971
FM2D,10,9,0.315526,5.68726
FM2D,11,10,0.194954,4.1126
FM2D,12,11,0.132457,2.37251
FM2D,13,12,0.140684,3.10154
FM2D,14,13,0.136855,32.2658
FM2D,15,14,0.161608,47.2083
FM2D,16,15,0.141274,33.2165
FM2D,17,16,0.308022,2.45744
FM2D,18,17,0.192936,4.25609
FM2D,19,18,0.14084,4.9593
FM2D,20,19,0.123142,32.4463
FM2D,21,20,0.164685,30.3276
FM2D,22,21,0.139087,4.71045
FM2D,23,22,0.116433,25.5819
FM2D,24,23,0.108859,32.1595
FM2D,25,24,0.143684,29.9882
FM2D,26,25,0.120892,9.50723
FM2D,27,26,0.099021,13.6579
FM2D,28,27,0.119154,19.5021
FM2D,29,28,0.151258,3.09928
FM3D,5,4,17.7664,3.86358
FM3D,6,5,17.7964,28.1157
FM3D,7,6,17.8157,9.17085
FM3D,8,7,17.7628,5.7849
FM3D,9,8,18.0254,8.5461
FM3D,10,9,18.0814,6.94616
FM3D,11,10,17.8477,5.7585
FM3D,12,11,17.6716,3.46837
FM3D,13,12,17.6927,5.45257
FM3D,14,13,17.5498,9.20261
FM3D,15,14,17.0967,54.4259
FM3D,16,15,17.1264,35.3781
FM3D,17,16,17.2331,3.39491
FM3D,18,17,17.2757,5.02251
FM3D,19,18,17.0816,12.2365
FM3D,20,19,16.8688,28.6501
FM3D,21,20,16.8654,32.7633
FM3D,22,21,16.9835,7.20596
FM3D,23,22,17.0546,30.9982
FM3D,24,23,16.9901,39.0501
FM3D,25,24,17.1592,27.7634
FM3D,26,25,16.9965,15.2522
FM3D,27,26,16.9974,13.0137
FM3D,28,27,17.0888,16.2258
FM3D,29,28,17.3716,4.64647
ICP,5,4,50.0646,2.95847
ICP,6,5,42.2269,2.33972
ICP,7,6,27.5214,2.66702
ICP,8,7,27.3359,1.45282
ICP,9,8,49.7739,2.60017
ICP,10,9,65.3018,3.90935
ICP,11,10,50.2277,3.76851
ICP,12,11,50.3294,1.82269
ICP,13,12,42.4376,3.77178
ICP,14,13,57.6992,5.74902
ICP,15,14,19.9969,38.0118
ICP,16,15,54.5784,31.3811
ICP,17,16,36.9008,1.94994
ICP,18,17,37.8276,4.44838
ICP,19,18,42.7586,4.70766
ICP,20,19,29.8937,21.6834
