data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Outside.TextureConfusion.Translation,none,regular,5,4,0,0,98.812,0.277095,4.19729
Outside.TextureConfusion.Translation,none,regular,6,5,0,0,87.5779,0.585069,2.15291
Outside.TextureConfusion.Translation,none,regular,7,6,0,0,324.259,0.356541,2.86689
Outside.TextureConfusion.Translation,none,regular,8,7,0,0,16762,0.122753,13.792
Outside.TextureConfusion.Translation,none,regular,9,8,0,0,80.4432,0.395816,3.58682
Outside.TextureConfusion.Translation,none,regular,10,9,0,0,3035.03,0.159319,18.5344
Outside.TextureConfusion.Translation,none,regular,11,10,0,0,2391.91,0.364986,4.24435
Outside.TextureConfusion.Translation,none,regular,12,11,0,0,255.959,0.16092,5.59697
Outside.TextureConfusion.Translation,none,regular,13,12,0,0,661.844,0.296005,5.21521
Outside.TextureConfusion.Translation,none,regular,14,13,0,0,23830.1,0.226196,12.158
Outside.TextureConfusion.Translation,none,regular,15,14,0,0,349.753,0.24752,5.29949
Outside.TextureConfusion.Translation,none,regular,16,15,0,0,356.44,0.255859,5.16038
Outside.TextureConfusion.Translation,none,regular,17,16,0,0,46142.7,0.142412,19.0196
Outside.TextureConfusion.Translation,none,regular,18,17,0,0,308.325,0.218163,5.62363
Outside.TextureConfusion.Translation,none,regular,19,18,0,0,896.609,0.273819,6.78291
Outside.TextureConfusion.Translation,none,regular,20,19,0,0,4198.01,0.159946,8.29725
Outside.TextureConfusion.Translation,none,regular,21,20,0,0,1999.34,0.190174,6.83504
Outside.TextureConfusion.Translation,none,regular,22,21,0,0,800.984,0.0858745,13.5052
Outside.TextureConfusion.Translation,none,regular,23,22,0,0,8615.91,0.0180072,61.3095
Outside.TextureConfusion.Translation,none,regular,24,23,0,0,9875.35,0.0276003,68.1089
Outside.TextureConfusion.Translation,none,regular,25,24,0,0,44751.9,0.00681836,117.116
Outside.TextureConfusion.Translation,none,regular,26,25,0,0,7153.82,0.0105889,55.1499
Outside.TextureConfusion.Translation,none,regular,27,26,0,0,36416.9,0.117904,22.6168
Outside.TextureConfusion.Translation,none,regular,28,27,0,0,568.9,0.112014,8.20677
Outside.TextureConfusion.Translation,none,regular,29,28,0,0,146889,0.231363,31.9053
Outside.TextureConfusion.Translation,pc,regular,5,4,0,2.82865,84.9742,0.603895,1.87923
Outside.TextureConfusion.Translation,pc,regular,6,5,0,2.17368,386.499,0.582018,2.24546
Outside.TextureConfusion.Translation,pc,regular,7,6,0,2.16674,553.796,0.569001,2.05722
Outside.TextureConfusion.Translation,pc,regular,8,7,0,2.16108,13850.8,0.411352,8.31951
Outside.TextureConfusion.Translation,pc,regular,9,8,0,2.14502,67.0072,0.473764,2.78665
Outside.TextureConfusion.Translation,pc,regular,10,9,0,2.15329,988.7,0.243374,10.5445
Outside.TextureConfusion.Translation,pc,regular,11,10,0,2.14221,3321.3,0.519695,3.95577
Outside.TextureConfusion.Translation,pc,regular,12,11,0,2.15845,148.625,0.464293,3.05716
Outside.TextureConfusion.Translation,pc,regular,13,12,0,2.14565,866.445,0.62331,2.88779
Outside.TextureConfusion.Translation,pc,regular,14,13,0,2.15862,25921.8,0.500318,8.70405
Outside.TextureConfusion.Translation,pc,regular,15,14,0,2.15068,225.688,0.401198,4.23293
Outside.TextureConfusion.Translation,pc,regular,16,15,0,2.14679,245.975,0.473733,3.56445
Outside.TextureConfusion.Translation,pc,regular,17,16,0,2.15498,39983.9,0.335546,14.9841
Outside.TextureConfusion.Translation,pc,regular,18,17,0,2.14506,161.396,0.384825,3.80682
Outside.TextureConfusion.Translation,pc,regular,19,18,0,2.15026,825.566,0.368128,4.89108
Outside.TextureConfusion.Translation,pc,regular,20,19,0,2.14992,16769.7,0.334803,8.18662
Outside.TextureConfusion.Translation,pc,regular,21,20,0,2.14125,2321.15,0.378202,5.1557
Outside.TextureConfusion.Translation,pc,regular,22,21,0,2.14927,636.805,0.136489,10.735
Outside.TextureConfusion.Translation,pc,regular,23,22,0,2.15032,10069.6,0.0247422,57.7131
Outside.TextureConfusion.Translation,pc,regular,24,23,0,2.15031,17686.5,0.0496552,73.9153
Outside.TextureConfusion.Translation,pc,regular,25,24,0,2.14635,38046.8,0.0165742,109.412
Outside.TextureConfusion.Translation,pc,regular,26,25,0,2.14285,11229,0.0291367,48.1625
Outside.TextureConfusion.Translation,pc,regular,27,26,0,2.17095,1924.44,0.166063,12.6668
Outside.TextureConfusion.Translation,pc,regular,28,27,0,2.17587,1276.87,0.272809,4.84825
Outside.TextureConfusion.Translation,pc,regular,29,28,0,2.14715,284633,0.308966,40.9637
Outside.TextureConfusion.Translation,pc2,regular,5,4,0,5.74966,50.6994,0.573193,1.89885
Outside.TextureConfusion.Translation,pc2,regular,6,5,0,5.62043,74.7167,0.562188,2.12515
Outside.TextureConfusion.Translation,pc2,regular,7,6,0,5.60652,419.661,0.586929,1.9997
Outside.TextureConfusion.Translation,pc2,regular,8,7,0,5.67097,16961.2,0.341556,10.6096
Outside.TextureConfusion.Translation,pc2,regular,9,8,0,5.61614,109.362,0.343828,4.10974
Outside.TextureConfusion.Translation,pc2,regular,10,9,0,5.64622,8496.42,0.092298,31.2504
Outside.TextureConfusion.Translation,pc2,regular,11,10,0,5.63792,2879.98,0.44004,3.98221
Outside.TextureConfusion.Translation,pc2,regular,12,11,0,5.64043,137.871,0.306081,5.1062
Outside.TextureConfusion.Translation,pc2,regular,13,12,0,5.63366,4743.1,0.382433,5.92181
Outside.TextureConfusion.Translation,pc2,regular,14,13,0,5.69782,25034.3,0.261962,11.0259
Outside.TextureConfusion.Translation,pc2,regular,15,14,0,5.67534,4.96236e+006,0.000419324,1650.99
Outside.TextureConfusion.Translation,pc2,regular,16,15,0,5.72259,1.83589e+008,0.000124201,7896.97
Outside.TextureConfusion.Translation,pc2,regular,17,16,0,5.69179,3.19313e+007,7.40521e-005,4272.56
Outside.TextureConfusion.Translation,pc2,regular,18,17,0,5.73748,1699.55,0.213805,10.2
Outside.TextureConfusion.Translation,pc2,regular,19,18,0,5.60103,1145.27,0.255948,5.70437
Outside.TextureConfusion.Translation,pc2,regular,20,19,0,5.60822,4.36063e+006,0.00142784,1425.25
Outside.TextureConfusion.Translation,pc2,regular,21,20,0,5.82523,9.13054e+006,0.00239118,1919.57
Outside.TextureConfusion.Translation,pc2,regular,22,21,0,5.76777,4277.96,0.0539158,22.8406
Outside.TextureConfusion.Translation,pc2,regular,23,22,0,5.76756,4.1656e+007,1.62483e-005,4480.15
Outside.TextureConfusion.Translation,pc2,regular,24,23,0,5.67984,21862.3,0.0359974,78.6621
Outside.TextureConfusion.Translation,pc2,regular,25,24,0,5.66702,2.1113e+008,1.62294e-005,10488.3
Outside.TextureConfusion.Translation,pc2,regular,26,25,0,5.69831,111101,0.00119195,220.951
Outside.TextureConfusion.Translation,pc2,regular,27,26,0,5.67409,3.31767e+006,0.000635937,1346.07
Outside.TextureConfusion.Translation,pc2,regular,28,27,0,5.72677,1.82008e+008,0,11822.2
Outside.TextureConfusion.Translation,pc2,regular,29,28,0,5.62373,9.61488e+008,0,27668.5
Outside.TextureConfusion.Translation,pca,regular,5,4,0,0,160.761,0.277128,4.33396
Outside.TextureConfusion.Translation,pca,regular,6,5,0,0,56.5878,0.584389,2.12511
Outside.TextureConfusion.Translation,pca,regular,7,6,0,0,413.768,0.358083,2.80773
Outside.TextureConfusion.Translation,pca,regular,8,7,0,0,17115.2,0.122753,14.0665
Outside.TextureConfusion.Translation,pca,regular,9,8,0,0,814.539,0.395251,4.0107
Outside.TextureConfusion.Translation,pca,regular,10,9,0,0,3392.63,0.158998,18.0779
Outside.TextureConfusion.Translation,pca,regular,11,10,0,0,3524.98,0.36514,4.51827
Outside.TextureConfusion.Translation,pca,regular,12,11,0,0,196.51,0.161259,5.79317
Outside.TextureConfusion.Translation,pca,regular,13,12,0,0,513.468,0.295671,4.9353
Outside.TextureConfusion.Translation,pca,regular,14,13,0,0,24840.1,0.226476,12.2223
Outside.TextureConfusion.Translation,pca,regular,15,14,0,0,542.464,0.247595,5.69378
Outside.TextureConfusion.Translation,pca,regular,16,15,0,0,410.673,0.255684,5.1805
Outside.TextureConfusion.Translation,pca,regular,17,16,0,0,69364.5,0.14255,21.0475
Outside.TextureConfusion.Translation,pca,regular,18,17,0,0,359.551,0.217902,5.67318
Outside.TextureConfusion.Translation,pca,regular,19,18,0,0,686.372,0.273359,6.43011
Outside.TextureConfusion.Translation,pca,regular,20,19,0,0,7584.95,0.16021,9.07474
Outside.TextureConfusion.Translation,pca,regular,21,20,0,0,1584.02,0.190467,6.95392
Outside.TextureConfusion.Translation,pca,regular,22,21,0,0,904.71,0.0854774,13.5883
Outside.TextureConfusion.Translation,pca,regular,23,22,0,0,8350.89,0.017995,60.6255
Outside.TextureConfusion.Translation,pca,regular,24,23,0,0,13443.2,0.0276639,73.1515
Outside.TextureConfusion.Translation,pca,regular,25,24,0,0,63448.9,0.00682647,132.053
Outside.TextureConfusion.Translation,pca,regular,26,25,0,0,11618.5,0.0105931,56.6243
Outside.TextureConfusion.Translation,pca,regular,27,26,0,0,1728.91,0.117945,10.8088
Outside.TextureConfusion.Translation,pca,regular,28,27,0,0,989.006,0.112194,8.13841
Outside.TextureConfusion.Translation,pca,regular,29,28,0,0,303717,0.231902,42.4177
Outside.TextureConfusion.Translation,pc3,regular,5,4,0,71.7938,50.0207,0.652447,1.65786
Outside.TextureConfusion.Translation,pc3,regular,6,5,0,41.3739,54.2793,0.664943,1.72082
Outside.TextureConfusion.Translation,pc3,regular,7,6,0,41.4811,315.537,0.674258,1.65454
Outside.TextureConfusion.Translation,pc3,regular,8,7,0,72.8792,13602.3,0.482675,7.9205
Outside.TextureConfusion.Translation,pc3,regular,9,8,0,47.7984,261.442,0.458299,2.81721
Outside.TextureConfusion.Translation,pc3,regular,10,9,0,36.2168,1565.9,0.148622,15.9776
Outside.TextureConfusion.Translation,pc3,regular,11,10,0,53.7076,2608.89,0.574594,3.52637
Outside.TextureConfusion.Translation,pc3,regular,12,11,0,56.2869,93.7462,0.502637,2.55929
Outside.TextureConfusion.Translation,pc3,regular,13,12,0,66.9816,900.044,0.634419,3.00292
Outside.TextureConfusion.Translation,pc3,regular,14,13,0,99.9322,25273.5,0.606328,8.15402
Outside.TextureConfusion.Translation,pc3,regular,15,14,0,57.5069,1.28035e+007,0.00254166,2189.64
Outside.TextureConfusion.Translation,pc3,regular,16,15,0,72.609,1.49315e+007,0.00202992,2466.45
Outside.TextureConfusion.Translation,pc3,regular,17,16,0,111.854,1.34896e+007,0.0116593,1418.08
Outside.TextureConfusion.Translation,pc3,regular,18,17,0,75.1098,251.422,0.321401,3.78611
Outside.TextureConfusion.Translation,pc3,regular,19,18,0,24.5567,1035.72,0.311418,5.56208
Outside.TextureConfusion.Translation,pc3,regular,20,19,0,64.7868,3.05309e+006,0.00400985,1018.79
Outside.TextureConfusion.Translation,pc3,regular,21,20,0,148.292,1.08716e+008,0.000683482,8240.5
Outside.TextureConfusion.Translation,pc3,regular,22,21,0,95.6888,476.372,0.199854,7.57126
Outside.TextureConfusion.Translation,pc3,regular,23,22,0,62.1707,2.75194e+006,0.000312781,1093.32
Outside.TextureConfusion.Translation,pc3,regular,24,23,0,22.3754,16976.6,0.0065001,79.4414
Outside.TextureConfusion.Translation,pc3,regular,25,24,0,81.4875,5.43986e+007,0.000712063,4159.91
Outside.TextureConfusion.Translation,pc3,regular,26,25,0,49.9468,9565.59,0.0267941,44.9414
Outside.TextureConfusion.Translation,pc3,regular,27,26,0,131.428,43444.6,0.0300387,76.7583
Outside.TextureConfusion.Translation,pc3,regular,28,27,0,102.749,237278,0.00748686,297.745
Outside.TextureConfusion.Translation,pc3,regular,29,28,0,70.2923,1.85805e+008,0.0010839,10598.3
