alg,frame1,frame2,seconds,hd
none,5,4,0,4.59187
none,6,5,0,2.14573
none,7,6,0,2.80371
none,8,7,0,14.2421
none,9,8,0,3.77918
none,10,9,0,20.1712
none,11,10,0,4.56417
none,12,11,0,5.668
none,13,12,0,5.08461
none,14,13,0,12.1484
none,15,14,0,8.12069
none,16,15,0,5.13392
none,17,16,0,20.0401
none,18,17,0,5.64487
none,19,18,0,6.79332
none,20,19,0,10.1566
none,21,20,0,6.69775
none,22,21,0,13.674
none,23,22,0,64.8464
none,24,23,0,71.2575
none,25,24,0,114.38
none,26,25,0,52.8866
none,27,26,0,10.9548
none,28,27,0,8.3064
none,29,28,0,36.6999
FM2D,5,4,0.17797,1.69164
FM2D,6,5,0.174804,1.70802
FM2D,7,6,0.171187,1.84413
FM2D,8,7,0.174225,8.0295
FM2D,9,8,0.171502,4.67756
FM2D,10,9,0.171892,8.63487
FM2D,11,10,0.184442,4.90377
FM2D,12,11,0.200389,4.17329
FM2D,13,12,0.18369,3.26623
FM2D,14,13,0.193736,8.11005
FM2D,15,14,0.191391,4.28997
FM2D,16,15,0.174794,3.22605
FM2D,17,16,0.16224,14.766
FM2D,18,17,0.188662,3.81725
FM2D,19,18,0.175781,5.86752
FM2D,20,19,0.171974,6.06235
FM2D,21,20,0.179262,5.04915
FM2D,22,21,0.170095,8.28401
FM2D,23,22,0.25304,52.5163
FM2D,24,23,0.17347,73.7422
FM2D,25,24,0.174144,112.952
FM2D,26,25,0.182026,52.4582
FM2D,27,26,0.16061,8.14848
FM2D,28,27,0.147332,33.332
FM2D,29,28,0.181555,32.2721
FM3D,5,4,17.7015,2.92233
FM3D,6,5,17.7185,10332.8
FM3D,7,6,17.7227,4.64044
FM3D,8,7,17.7056,7851.75
FM3D,9,8,17.7983,11.691
FM3D,10,9,18.0805,6022.11
FM3D,11,10,18.2778,6275.01
FM3D,12,11,18.3257,6076.34
FM3D,13,12,18.1714,23.2253
FM3D,14,13,17.9663,34.6793
FM3D,15,14,17.8644,227.329
FM3D,16,15,17.9329,4.15454
FM3D,17,16,18.072,23.881
FM3D,18,17,18.2768,6134.03
FM3D,19,18,18.2861,2372.62
FM3D,20,19,18.1181,6405.96
FM3D,21,20,17.824,7415.74
FM3D,22,21,17.5996,10.1518
FM3D,23,22,17.873,105.476
FM3D,24,23,17.9773,6620.66
FM3D,25,24,17.8311,4284.44
FM3D,26,25,19.5989,6430.87
FM3D,27,26,18.4172,15.5282
FM3D,28,27,18.3202,9.36714
FM3D,29,28,18.5855,37.5601
ICP,5,4,35.7869,1.67585
ICP,6,5,27.1855,1.7669
ICP,7,6,23.5702,1.65036
ICP,8,7,25.2696,8.02167
ICP,9,8,24.1765,2.47288
ICP,10,9,21.4779,8.2826
ICP,11,10,19.8931,3.54317
ICP,12,11,35.7927,2.51155
ICP,13,12,26.976,2.89619
ICP,14,13,23.8258,9.90376
ICP,15,14,16.3768,4.48171
ICP,16,15,20.6864,3.31089
ICP,17,16,34.3181,15.5003
ICP,18,17,13.0501,4.30502
ICP,19,18,30.065,4.50825
ICP,20,19,12.5341,9.73337
ICP,21,20,16.5625,5.05388
ICP,22,21,26.5323,7.95972
ICP,23,22,21.7046,53.6843
ICP,24,23,8.89545,79.0833
ICP,25,24,8.96607,113.733
ICP,26,25,28.859,46.1816
ICP,27,26,11.8909,8.31233
ICP,28,27,21.1145,4.55298
ICP,29,28,19.4531,34.5557
PCA,5,4,0.014189,6.9591
PCA,6,5,0.018545,1.87693
