data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Outside.TextureConfusion.rotation,none,regular,5,4,0,0,7840.27,0.406446,7.73556
Outside.TextureConfusion.rotation,none,regular,6,5,0,0,6420.73,0.165009,8.59759
Outside.TextureConfusion.rotation,none,regular,7,6,0,0,492.765,0.199469,5.18911
Outside.TextureConfusion.rotation,none,regular,8,7,0,0,448.539,0.492406,3.66053
Outside.TextureConfusion.rotation,none,regular,9,8,0,0,12840.8,0.1327,26.939
Outside.TextureConfusion.rotation,none,regular,10,9,0,0,1008.74,0.200523,10.6453
Outside.TextureConfusion.rotation,none,regular,11,10,0,0,23413.4,0.0317003,75.8327
Outside.TextureConfusion.rotation,none,regular,12,11,0,0,1000.98,0.221181,7.33959
Outside.TextureConfusion.rotation,none,regular,13,12,0,0,4170.48,0.138203,18.2294
Outside.TextureConfusion.rotation,none,regular,14,13,0,0,3750.82,0.230793,14.6945
Outside.TextureConfusion.rotation,none,regular,15,14,0,0,558771,0.0956941,102.779
Outside.TextureConfusion.rotation,none,regular,16,15,0,0,5090.99,0.17446,20.0975
Outside.TextureConfusion.rotation,none,regular,17,16,0,0,221243,0.00800685,294.912
Outside.TextureConfusion.rotation,none,regular,18,17,0,0,119845,0.0324426,69.9832
Outside.TextureConfusion.rotation,none,regular,19,18,0,0,7544.95,0.0281942,46.0907
Outside.TextureConfusion.rotation,none,regular,20,19,0,0,3019.23,0.0972913,23.6384
Outside.TextureConfusion.rotation,none,regular,21,20,0,0,186581,0.0534024,72.232
Outside.TextureConfusion.rotation,none,regular,22,21,0,0,96412.4,0.0488271,103.971
Outside.TextureConfusion.rotation,none,regular,23,22,0,0,133364,0.0540532,79.7269
Outside.TextureConfusion.rotation,none,regular,24,23,0,0,72285,0.0237772,113.212
Outside.TextureConfusion.rotation,none,regular,25,24,0,0,32142.4,0.0115038,117.75
Outside.TextureConfusion.rotation,none,regular,26,25,0,0,13925.4,0.0225361,64.5607
Outside.TextureConfusion.rotation,none,regular,27,26,0,0,16046.8,0.00743874,67.6743
Outside.TextureConfusion.rotation,none,regular,28,27,0,0,135069,0.0116734,89.7408
Outside.TextureConfusion.rotation,none,regular,29,28,0,0,77865.6,0.0180501,106.359
Outside.TextureConfusion.rotation,pc,regular,5,4,0,2.87238,10015.1,0.408539,8.2419
Outside.TextureConfusion.rotation,pc,regular,6,5,0,1.68305,5916.61,0.373763,7.89302
Outside.TextureConfusion.rotation,pc,regular,7,6,0,1.69709,452.611,0.497979,4.14679
Outside.TextureConfusion.rotation,pc,regular,8,7,0,1.67573,1682.47,0.527476,4.36927
Outside.TextureConfusion.rotation,pc,regular,9,8,0,1.70687,7479.57,0.198822,16.6833
Outside.TextureConfusion.rotation,pc,regular,10,9,0,1.67814,1688.3,0.305339,10.8423
Outside.TextureConfusion.rotation,pc,regular,11,10,0,1.67171,16664.5,0.0321844,76.2931
Outside.TextureConfusion.rotation,pc,regular,12,11,0,1.69093,881.868,0.203864,9.09544
Outside.TextureConfusion.rotation,pc,regular,13,12,0,1.73731,16357.7,0.271277,16.515
Outside.TextureConfusion.rotation,pc,regular,14,13,0,1.7284,5592.52,0.270653,12.6908
Outside.TextureConfusion.rotation,pc,regular,15,14,0,1.67945,122206,0.253633,58.7773
Outside.TextureConfusion.rotation,pc,regular,16,15,0,1.6854,4648.86,0.256737,14.4555
Outside.TextureConfusion.rotation,pc,regular,17,16,0,1.68216,3549.44,0.172402,16.1589
Outside.TextureConfusion.rotation,pc,regular,18,17,0,1.70001,90710.2,0.201326,31.6091
Outside.TextureConfusion.rotation,pc,regular,19,18,0,1.68516,2065.44,0.2041,16.5987
Outside.TextureConfusion.rotation,pc,regular,20,19,0,1.6994,4628.91,0.11988,32.3198
Outside.TextureConfusion.rotation,pc,regular,21,20,0,1.70311,145729,0.108881,57.6639
Outside.TextureConfusion.rotation,pc,regular,22,21,0,2.1988,102831,0.157993,58.7454
Outside.TextureConfusion.rotation,pc,regular,23,22,0,2.14596,140650,0.134245,54.2174
Outside.TextureConfusion.rotation,pc,regular,24,23,0,2.14705,79852.3,0.0247813,92.2796
