alg,frame1,frame2,seconds,hd
none,5,4,0,7.94536
none,6,5,0,8.64909
none,7,6,0,5.35534
none,8,7,0,3.66183
none,9,8,0,23.2441
none,10,9,0,11.0832
none,11,10,0,71.3562
none,12,11,0,7.09226
none,13,12,0,21.0429
none,14,13,0,14.8319
none,15,14,0,61.4919
none,16,15,0,21.5608
none,17,16,0,297.425
none,18,17,0,74.9361
none,19,18,0,42.7846
none,20,19,0,24.0847
none,21,20,0,73.57
none,22,21,0,104.22
none,23,22,0,79.2728
none,24,23,0,101.684
none,25,24,0,114.928
none,26,25,0,63.6147
none,27,26,0,63.5294
none,28,27,0,92.8503
none,29,28,0,113.212
FM2D,5,4,0.14425,7.09656
FM2D,6,5,0.169647,6.69397
FM2D,7,6,0.172624,3.48951
FM2D,8,7,0.164661,4.24884
FM2D,9,8,0.156469,145.661
FM2D,10,9,0.157155,21.7988
FM2D,11,10,0.161326,71.9856
FM2D,12,11,0.159367,10.1401
FM2D,13,12,0.157764,11.5805
FM2D,14,13,0.142214,9.65549
FM2D,15,14,0.162432,68.8533
FM2D,16,15,0.143391,9.83643
FM2D,17,16,0.151536,8.49698
FM2D,18,17,0.166126,42.5109
FM2D,19,18,0.154742,6.94828
FM2D,20,19,0.153432,15.5218
FM2D,21,20,0.154719,30.2957
FM2D,22,21,0.165757,41.5236
FM2D,23,22,0.161089,53.5602
FM2D,24,23,0.157412,119.497
FM2D,25,24,0.165044,109.233
FM2D,26,25,0.145208,283.601
FM2D,27,26,0.126897,60.6502
FM2D,28,27,0.140068,93.9251
FM2D,29,28,0.155608,138.017
FM3D,5,4,19.0295,7.77641
FM3D,6,5,18.8478,7.63773
FM3D,7,6,18.7086,3024.55
FM3D,8,7,18.8543,3.79156
FM3D,9,8,19.1048,7636.44
FM3D,10,9,19.1723,8.75439
FM3D,11,10,18.8754,70.8533
FM3D,12,11,18.6145,10.5018
FM3D,13,12,18.3758,105.619
FM3D,14,13,18.3645,7955.47
FM3D,15,14,18.9858,60.3662
FM3D,16,15,19.2477,14.7552
FM3D,17,16,19.7606,136.06
FM3D,18,17,19.995,40.6488
FM3D,19,18,20.182,21.3789
