data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
PlantsOutdoors.tc.rotation,none,regular,5,4,0,0,412.351,0.108427,4.49054
PlantsOutdoors.tc.rotation,none,regular,6,5,0,0,3331.55,0.164282,10.6018
PlantsOutdoors.tc.rotation,none,regular,7,6,0,0,4181.91,0.145292,10.3734
PlantsOutdoors.tc.rotation,none,regular,8,7,0,0,10634.1,0.0781129,25.9544
PlantsOutdoors.tc.rotation,none,regular,9,8,0,0,46821.2,0.0802815,41.1452
PlantsOutdoors.tc.rotation,none,regular,10,9,0,0,677.361,0.157762,7.20376
PlantsOutdoors.tc.rotation,none,regular,11,10,0,0,1510.64,0.130101,13.378
PlantsOutdoors.tc.rotation,none,regular,12,11,0,0,90172.7,0.032424,55.9117
PlantsOutdoors.tc.rotation,none,regular,13,12,0,0,19240.5,0.0365276,39.3458
PlantsOutdoors.tc.rotation,none,regular,14,13,0,0,22531,0.0115983,76.4544
PlantsOutdoors.tc.rotation,none,regular,15,14,0,0,191588,0.0514694,51.8283
PlantsOutdoors.tc.rotation,none,regular,16,15,0,0,16300,0.0570759,19.0686
PlantsOutdoors.tc.rotation,none,regular,17,16,0,0,99964.9,0.0507483,45.9975
PlantsOutdoors.tc.rotation,none,regular,18,17,0,0,4009.42,0.042037,17.0293
PlantsOutdoors.tc.rotation,none,regular,19,18,0,0,1769.15,0.0938547,10.2334
PlantsOutdoors.tc.rotation,none,regular,20,19,0,0,1090.21,0.0860162,9.32366
PlantsOutdoors.tc.rotation,none,regular,21,20,0,0,26918.1,0.0538816,26.9031
PlantsOutdoors.tc.rotation,none,regular,22,21,0,0,1076.59,0.0341717,19.1113
PlantsOutdoors.tc.rotation,none,regular,23,22,0,0,85935.9,0.00473717,93.4534
PlantsOutdoors.tc.rotation,none,regular,24,23,0,0,51708.7,0.000890688,150.835
PlantsOutdoors.tc.rotation,none,regular,25,24,0,0,1184.99,0.0888369,12.7513
PlantsOutdoors.tc.rotation,none,regular,26,25,0,0,9590.22,0.00444513,46.777
PlantsOutdoors.tc.rotation,none,regular,27,26,0,0,62759.7,0.0037769,192.438
PlantsOutdoors.tc.rotation,none,regular,28,27,0,0,83939.8,0.0044072,241.478
PlantsOutdoors.tc.rotation,none,regular,29,28,0,0,227952,0.0303319,41.4333
PlantsOutdoors.tc.rotation,pc,regular,5,4,0,2.79032,630.549,0.464894,2.65909
PlantsOutdoors.tc.rotation,pc,regular,6,5,0,1.69288,2993.2,0.236134,8.43629
PlantsOutdoors.tc.rotation,pc,regular,7,6,0,1.69183,175.898,0.537724,2.73456
PlantsOutdoors.tc.rotation,pc,regular,8,7,0,1.6868,9919.8,0.269623,27.6285
PlantsOutdoors.tc.rotation,pc,regular,9,8,0,1.69322,183654,0.0912023,50.9087
PlantsOutdoors.tc.rotation,pc,regular,10,9,0,1.69661,400.591,0.577514,3.04801
PlantsOutdoors.tc.rotation,pc,regular,11,10,0,1.6964,1250.94,0.248471,10.6248
PlantsOutdoors.tc.rotation,pc,regular,12,11,0,1.69814,53230.7,0.211646,34.3402
PlantsOutdoors.tc.rotation,pc,regular,13,12,0,1.69423,1122.34,0.518993,2.94725
PlantsOutdoors.tc.rotation,pc,regular,14,13,0,1.69447,4091.82,0.252599,8.03806
PlantsOutdoors.tc.rotation,pc,regular,15,14,0,1.69313,17423.5,0.28326,18.1325
PlantsOutdoors.tc.rotation,pc,regular,16,15,0,1.69226,16135.9,0.35018,12.1258
PlantsOutdoors.tc.rotation,pc,regular,17,16,0,1.6899,53987.3,0.198985,28.6413
PlantsOutdoors.tc.rotation,pc,regular,18,17,0,1.69525,491.816,0.282374,7.31111
PlantsOutdoors.tc.rotation,pc,regular,19,18,0,1.69814,7049.66,0.441255,9.69716
PlantsOutdoors.tc.rotation,pc,regular,20,19,0,1.6947,333.623,0.435501,3.92752
PlantsOutdoors.tc.rotation,pc,regular,21,20,0,1.69278,12860.3,0.27117,13.8053
PlantsOutdoors.tc.rotation,pc,regular,22,21,0,1.70163,350.861,0.237451,5.7231
PlantsOutdoors.tc.rotation,pc,regular,23,22,0,1.69362,18174.7,0.221625,19.2777
PlantsOutdoors.tc.rotation,pc,regular,24,23,0,1.70072,18915.8,0.461079,8.16832
PlantsOutdoors.tc.rotation,pc,regular,25,24,0,1.70167,1369.29,0.251941,10.9979
PlantsOutdoors.tc.rotation,pc,regular,26,25,0,1.86543,1828.66,0.54732,3.396
PlantsOutdoors.tc.rotation,pc,regular,27,26,0,2.41576,307.453,0.455964,2.44285
PlantsOutdoors.tc.rotation,pc,regular,28,27,0,2.40076,7567.04,0.401319,7.63288
PlantsOutdoors.tc.rotation,pc,regular,29,28,0,2.15776,435491,0.445303,52.8024
PlantsOutdoors.tc.rotation,pc2,regular,5,4,0,5.35293,264.89,0.451724,2.75638
PlantsOutdoors.tc.rotation,pc2,regular,6,5,0,5.14263,3949.97,0.160807,10.8564
PlantsOutdoors.tc.rotation,pc2,regular,7,6,0,5.13026,1998.69,0.0636692,14.6995
PlantsOutdoors.tc.rotation,pc2,regular,8,7,0,5.1608,5387.65,0.188608,22.0766
PlantsOutdoors.tc.rotation,pc2,regular,9,8,0,5.13218,67196.3,0.0850803,40.3887
PlantsOutdoors.tc.rotation,pc2,regular,10,9,0,5.15103,286.221,0.385547,3.66766
PlantsOutdoors.tc.rotation,pc2,regular,11,10,0,5.17869,3044.94,0.210127,14.241
PlantsOutdoors.tc.rotation,pc2,regular,12,11,0,5.15796,27956.6,0.0498264,45.6482
PlantsOutdoors.tc.rotation,pc2,regular,13,12,0,5.15876,5933.51,0.0228373,33.1813
PlantsOutdoors.tc.rotation,pc2,regular,14,13,0,5.18877,326171,0.00403032,356.333
PlantsOutdoors.tc.rotation,pc2,regular,15,14,0,5.12892,629365,0.00818251,228.439
PlantsOutdoors.tc.rotation,pc2,regular,16,15,0,5.11256,16857.6,0.239034,13.1795
PlantsOutdoors.tc.rotation,pc2,regular,17,16,0,5.1127,127342,0.0707857,46.6088
PlantsOutdoors.tc.rotation,pc2,regular,18,17,0,5.14212,1154.72,0.0991833,12.8303
PlantsOutdoors.tc.rotation,pc2,regular,19,18,0,5.59062,1.0177e+007,0.000545493,2501.36
PlantsOutdoors.tc.rotation,pc2,regular,20,19,0,5.19348,49481.9,0.0347977,102.845
PlantsOutdoors.tc.rotation,pc2,regular,21,20,0,5.19406,6.23676e+006,0,1959.81
