alg,frame1,frame2,seconds,hd
none,1,0,0,2380.08
none,2,1,0,1704.9
none,3,2,0,1380.64
none,4,3,0,1700.12
none,5,4,0,1518.09
none,6,5,0,948.773
none,7,6,0,2037.8
none,8,7,0,1903.66
none,9,8,0,781.241
none,10,9,0,2127.21
none,11,10,0,1438.75
none,12,11,0,1442.66
none,13,12,0,893.642
none,14,13,0,1088.78
none,15,14,0,752.894
none,16,15,0,730.239
none,17,16,0,1146.62
none,18,17,0,2221.16
none,19,18,0,719.573
none,20,19,0,661.911
none,21,20,0,1005.1
none,22,21,0,684.894
none,23,22,0,485.291
none,24,23,0,843.117
none,25,24,0,1127.56
none,26,25,0,3191.88
none,27,26,0,1310.97
none,28,27,0,1103.55
none,29,28,0,706.683
none,30,29,0,597.065
none,31,30,0,1154.03
none,32,31,0,1235.36
none,33,32,0,3136.47
none,34,33,0,1957.77
none,35,34,0,1084.65
none,36,35,0,1293.77
none,37,36,0,1624.67
none,38,37,0,1512.43
none,39,38,0,1029.3
none,40,39,0,882.51
none,41,40,0,556.915
none,42,41,0,511.902
none,43,42,0,720.923
none,44,43,0,750.26
none,45,44,0,706.183
none,46,45,0,954.137
none,47,46,0,750.909
none,48,47,0,504.758
none,49,48,0,459.31
none,50,49,0,620.33
none,51,50,0,776.098
none,52,51,0,944.676
none,53,52,0,1324.82
none,54,53,0,519.051
none,55,54,0,500.959
none,56,55,0,722.119
none,57,56,0,570.28
none,58,57,0,864.716
none,59,58,0,589.958
none,60,59,0,291.362
none,61,60,0,1510.32
none,62,61,0,307.715
none,63,62,0,952.923
none,64,63,0,715.14
none,65,64,0,1763.54
none,66,65,0,2140.84
none,67,66,0,1754.67
none,68,67,0,384.4
none,69,68,0,602.832
none,70,69,0,645.96
none,71,70,0,845.675
none,72,71,0,952.59
none,73,72,0,616.397
none,74,73,0,595.53
none,75,74,0,752.042
none,76,75,0,1731.8
none,77,76,0,1439.51
none,78,77,0,445.086
none,79,78,0,910.816
none,80,79,0,505.061
none,81,80,0,3713.75
none,82,81,0,1050.76
none,83,82,0,1245.36
none,84,83,0,1458.92
none,85,84,0,915.067
none,86,85,0,1850.77
none,87,86,0,520.429
none,88,87,0,2242.23
none,89,88,0,2700.17
none,90,89,0,741.35
none,91,90,0,2604.23
none,92,91,0,839.623
none,93,92,0,1430.95
none,94,93,0,766.411
none,95,94,0,1272.07
