data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
office.move1cm,none,regular,5,4,0,0,40566,0.0765192,20.2084
office.move1cm,none,regular,6,5,0,0,177884,0.0306717,85.485
office.move1cm,none,regular,7,6,0,0,16985.1,0.351741,5.1168
office.move1cm,none,regular,8,7,0,0,65.8223,0.621491,1.59286
office.move1cm,none,regular,9,8,0,0,292.091,0.711825,2.08318
office.move1cm,none,regular,10,9,0,0,2.63184e+006,0.00190723,1228.46
office.move1cm,none,regular,11,10,0,0,1.7431e+006,0.00245196,1127.2
office.move1cm,none,regular,12,11,0,0,542.219,0.103887,10.5439
office.move1cm,none,regular,13,12,0,0,396.819,0.154415,7.49011
office.move1cm,none,regular,14,13,0,0,921.118,0.608398,3.54086
office.move1cm,none,regular,15,14,0,0,449315,0.00248049,550.994
office.move1cm,none,regular,16,15,0,0,472117,0.00349074,539.423
office.move1cm,none,regular,17,16,0,0,3309.51,0.324584,4.88121
office.move1cm,none,regular,18,17,0,0,2811.93,0.0507067,21.4597
office.move1cm,none,regular,19,18,0,0,5343.69,0.0492366,20.9497
office.move1cm,none,regular,20,19,0,0,1321.24,0.0688247,16.8052
office.move1cm,none,regular,21,20,0,0,114.186,0.368556,3.00935
office.move1cm,none,regular,22,21,0,0,943.954,0.262001,4.55159
office.move1cm,none,regular,23,22,0,0,5547.65,0.724949,3.63249
office.move1cm,none,regular,24,23,0,0,366.784,0.70839,1.84514
office.move1cm,none,regular,25,24,0,0,1.6869e+007,5.262e-005,3666.03
office.move1cm,none,regular,26,25,0,0,1.74704e+007,6.44499e-005,3809.81
office.move1cm,none,regular,27,26,0,0,1.20419e+006,0.00174003,931.243
office.move1cm,none,regular,28,27,0,0,1.37786e+006,0.00417448,916.98
office.move1cm,none,regular,29,28,0,0,224.723,0.443872,3.02524
office.move1cm,pc,regular,5,4,0,2.87393,2582.2,0.77253,3.78756
office.move1cm,pc,regular,6,5,0,2.20155,135.428,0.764367,1.54006
office.move1cm,pc,regular,7,6,0,2.1673,37323.8,0.779538,4.31114
office.move1cm,pc,regular,8,7,0,2.24247,128.557,0.770819,1.3266
office.move1cm,pc,regular,9,8,0,2.15685,3201.88,0.710215,2.50295
office.move1cm,pc,regular,10,9,0,2.17309,560.424,0.738877,1.53013
office.move1cm,pc,regular,11,10,0,2.18594,34744.3,0.698681,8.68447
office.move1cm,pc,regular,12,11,0,2.20359,128.499,0.742115,1.56482
office.move1cm,pc,regular,13,12,0,2.19506,71.6861,0.722746,1.69755
office.move1cm,pc,regular,14,13,0,2.21692,793.537,0.606409,3.51559
office.move1cm,pc,regular,15,14,0,2.19015,648.172,0.62812,2.98986
office.move1cm,pc,regular,16,15,0,2.16838,16158,0.703674,5.68628
office.move1cm,pc,regular,17,16,0,2.15183,2846.76,0.741159,3.6672
office.move1cm,pc,regular,18,17,0,2.20468,106.281,0.724642,1.69968
office.move1cm,pc,regular,19,18,0,2.22221,310.724,0.722631,2.66664
office.move1cm,pc,regular,20,19,0,2.19032,1485.34,0.671729,3.23805
office.move1cm,pc,regular,21,20,0,2.18528,100.029,0.744417,1.76656
office.move1cm,pc,regular,22,21,0,2.19928,786.515,0.731719,2.63149
office.move1cm,pc,regular,23,22,0,2.20376,1329.74,0.724517,3.1347
office.move1cm,pc,regular,24,23,0,2.20455,533.507,0.709121,1.85878
office.move1cm,pc,regular,25,24,0,2.22611,997.14,0.724144,1.74609
office.move1cm,pc,regular,26,25,0,2.21373,383088,0.734834,15.6014
office.move1cm,pc,regular,27,26,0,2.17463,6849.07,0.609172,4.28481
office.move1cm,pc,regular,28,27,0,2.25088,18779.4,0.718127,5.38155
office.move1cm,pc,regular,29,28,0,2.19051,271.384,0.654959,2.46527
office.move1cm,pc2,regular,5,4,0,5.52616,3421.44,0.737531,4.29926
office.move1cm,pc2,regular,6,5,0,5.66313,192.632,0.558116,2.05988
office.move1cm,pc2,regular,7,6,0,5.63186,3719.78,0.57115,3.0884
office.move1cm,pc2,regular,8,7,0,5.5453,208.533,0.601472,1.78075
office.move1cm,pc2,regular,9,8,0,5.5389,349.76,0.586537,2.79056
office.move1cm,pc2,regular,10,9,0,5.32868,64.419,0.426311,2.22614
office.move1cm,pc2,regular,11,10,0,5.54892,38652,0.664578,9.66851
office.move1cm,pc2,regular,12,11,0,5.32002,111.116,0.493555,2.17731
office.move1cm,pc2,regular,13,12,0,5.45137,206.771,0.362162,3.08025
office.move1cm,pc2,regular,14,13,0,5.60535,1289.93,0.373192,5.20973
office.move1cm,pc2,regular,15,14,0,5.58353,232.091,0.048801,7.5937
office.move1cm,pc2,regular,16,15,0,5.55824,10968.3,0.714205,5.00792
office.move1cm,pc2,regular,17,16,0,5.57448,8134.7,0.459513,5.58586
office.move1cm,pc2,regular,18,17,0,5.61301,188.598,0.233493,4.37372
office.move1cm,pc2,regular,19,18,0,7.97916,453.067,0.314089,5.67918
office.move1cm,pc2,regular,20,19,0,6.08682,1257.45,0.336221,5.12318
office.move1cm,pc2,regular,21,20,0,5.86949,95.5741,0.545231,2.21657
office.move1cm,pc2,regular,22,21,0,5.41908,680.592,0.454425,3.32808
office.move1cm,pc2,regular,23,22,0,5.76752,7266.68,0.153579,10.0577
office.move1cm,pc2,regular,24,23,0,4.9347,303.793,0.231685,4.66637
office.move1cm,pc2,regular,25,24,0,5.61474,99.317,0.71305,1.49502
office.move1cm,pc2,regular,26,25,0,5.53185,402495,0.400253,17.6373
office.move1cm,pc2,regular,27,26,0,5.56882,866.391,0.106461,10.0251
office.move1cm,pc2,regular,28,27,0,5.77844,16987.4,0.570839,5.66039
office.move1cm,pc2,regular,29,28,0,5.16867,2625.41,0.260377,6.12979
office.move1cm,pca,regular,5,4,0,0,8456.41,0.076731,15.6689
office.move1cm,pca,regular,6,5,0,0,6841.92,0.0305332,34.3207
office.move1cm,pca,regular,7,6,0,0,10775.3,0.352359,4.78631
office.move1cm,pca,regular,8,7,0,0,141.603,0.621074,1.66892
office.move1cm,pca,regular,9,8,0,0,338.774,0.711933,2.11839
office.move1cm,pca,regular,10,9,0,0,1.9526e+006,0.00191813,1141.22
office.move1cm,pca,regular,11,10,0,0,2.01248e+006,0.00245196,1199.48
office.move1cm,pca,regular,12,11,0,0,19168.1,0.100021,13.4291
office.move1cm,pca,regular,13,12,0,0,435.904,0.152606,7.34995
office.move1cm,pca,regular,14,13,0,0,8950.47,0.608897,4.36862
office.move1cm,pca,regular,15,14,0,0,444557,0.00248482,554.489
office.move1cm,pca,regular,16,15,0,0,466951,0.00349074,534.845
office.move1cm,pca,regular,17,16,0,0,793.193,0.324704,4.33828
office.move1cm,pca,regular,18,17,0,0,1453.08,0.0504285,21.5697
office.move1cm,pca,regular,19,18,0,0,2447.13,0.0499157,20.6044
office.move1cm,pca,regular,20,19,0,0,1395.98,0.0697747,16.5176
office.move1cm,pca,regular,21,20,0,0,323.979,0.368688,3.26573
office.move1cm,pca,regular,22,21,0,0,733.263,0.261824,4.62596
office.move1cm,pca,regular,23,22,0,0,7199.96,0.725397,3.72239
office.move1cm,pca,regular,24,23,0,0,1809.89,0.70928,2.08321
office.move1cm,pca,regular,25,24,0,0,1.92591e+007,5.262e-005,3847.46
office.move1cm,pca,regular,26,25,0,0,2.0581e+007,6.44499e-005,4077.84
office.move1cm,pca,regular,27,26,0,0,1.1323e+006,0.00174219,900.62
office.move1cm,pca,regular,28,27,0,0,1.02447e+006,0.00418763,845.102
office.move1cm,pca,regular,29,28,0,0,1117.5,0.442665,4.37166
office.move1cm,pc3,regular,5,4,0,30.2833,3636.43,0.67685,4.49879
office.move1cm,pc3,regular,6,5,0,30.0746,221.614,0.65295,1.86511
office.move1cm,pc3,regular,7,6,0,39.616,1186.64,0.760021,2.46707
office.move1cm,pc3,regular,8,7,0,29.791,100.892,0.740693,1.42031
office.move1cm,pc3,regular,9,8,0,54.031,352.116,0.666351,2.13023
office.move1cm,pc3,regular,10,9,0,20.3138,65.9996,0.677083,1.59574
office.move1cm,pc3,regular,11,10,0,42.8251,39957.9,0.70492,8.94868
office.move1cm,pc3,regular,12,11,0,50.2398,425.172,0.745171,1.5989
office.move1cm,pc3,regular,13,12,0,43.6497,98.8555,0.725062,1.60241
office.move1cm,pc3,regular,14,13,0,59.1314,4026.93,0.676235,3.45209
office.move1cm,pc3,regular,15,14,0,27.733,174.391,0.56508,3.12213
office.move1cm,pc3,regular,16,15,0,34.443,9562.75,0.703992,4.81549
office.move1cm,pc3,regular,17,16,0,72.9772,3952.26,0.735149,3.49856
office.move1cm,pc3,regular,18,17,0,52.4426,136.335,0.695884,1.77967
office.move1cm,pc3,regular,19,18,0,50.006,507.277,0.729711,2.7938
office.move1cm,pc3,regular,20,19,0,42.621,3871.32,0.595103,3.68557
office.move1cm,pc3,regular,21,20,0,57.8593,110.932,0.742025,1.76935
office.move1cm,pc3,regular,22,21,0,42.1609,2684.74,0.732371,2.83498
office.move1cm,pc3,regular,23,22,0,65.0408,936.624,0.714683,2.95046
office.move1cm,pc3,regular,24,23,0,49.4114,1020.3,0.703955,1.91824
office.move1cm,pc3,regular,25,24,0,44.0153,516.943,0.505929,2.8724
office.move1cm,pc3,regular,26,25,0,27.0775,394665,0.738151,15.7425
office.move1cm,pc3,regular,27,26,0,63.7011,1126.8,0.607979,3.18761
office.move1cm,pc3,regular,28,27,0,27.3262,18995,0.659943,5.60844
office.move1cm,pc3,regular,29,28,0,44.3178,253.27,0.563466,2.58889
