Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.499573, 0.50289, 0.488717, 0.44142, 0.49921, 0.500144, 0.508445, 0.493881
0.754007, 0.586933, 0.762524, 0.592605, 0.780948, 0.783716, 0.762336, 0.761577
20.9976, 17.8511, 157.48, 16.6051, 20.8126, 25.7336, 23.0965, 18.6112
22.7815, 23.0151, 23.7151, 23.6312, 23.9302, 23.6068, 23.8812, 23.8514
2.29853, 1.4028, 6.64728, 1.41935, 2.1597, 2.06854, 1.49485, 1.30028
2.1156, 0.925579, 25.1066, 0.956612, 1.87803, 1.3107, 1.29201, 0.984243
1.88212, 1.06076, 3.05087, 0.968975, 1.75481, 1.08503, 1.55924, 1.07994
23.0867, 19.6366, 20.7853, 20.8132, 25.1601, 21.83, 19.5527, 18.2283
59.3139, 57.3663, 57.7306, 54.855, 59.2502, 58.5309, 58.6936, 58.3707
20.5659, 19.2639, 23.271, 19.6388, 23.099, 20.6142, 22.1326, 15.5584
10.8231, 9.26799, 14.2516, 8.79866, 10.3969, 8.49358, 8.95022, 8.56828
4.26924, 1.89715, 2.3292, 1.90266, 4.32578, 2.22075, 2.1932, 1.73728
4.59484, 1.48137, 9512.92, 1.59293, 3.84545, 1.43201, 1.9775, 1.38318
6.36128, 2.78974, 11.3206, 3.38192, 6.45712, 2.63146, 3.34493, 2.56234
28.3647, 24.5652, 33.26, 23.0944, 31.6405, 31.5096, 26.6258, 18.3087
4.41265, 1.68774, 2.01239, 1.64513, 4.36981, 1.64354, 5.42203, 1.6711
5.29977, 1.50163, 11.4262, 1.52194, 4.99797, 1.38686, 3.0166, 1.55822
12.7472, 3.5811, 4.53411, 4.30757, 12.664, 3.5634, 4.80812, 4.46572
6.10797, 1.698, 2.9934, 1.98543, 7.38745, 1.73012, 2.40025, 2.03678
3.18593, 1.50687, 3.71581, 3.74303, 3.14109, 1.40015, 1.91909, 1.9
11.9092, 4.01175, 12.5445, 4.46927, 10.8863, 3.97967, 9.49522, 4.61692
3.79783, 2.07482, 5.01148, 2.05115, 3.5582, 1.86539, 2.44762, 1.92412
4.85847, 2.34116, 2.70172, 2.33939, 4.1776, 2.63725, 2.67242, 2.07296
9.56452, 4.98225, 9.22821, 5.84919, 9.63183, 4.9874, 10.1041, 5.91744
3.26741, 1.77957, 9.7947, 2.06686, 3.31577, 2.147, 2.10784, 1.79373

Apartment.Texture.rotateXAxis
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
3.01491, 1.31162, 2.34694, 1.43502, 3.10286, 1.35657, 1.48767, 1.30199
4.92056, 1.69412, 1.69585, 1.59656, 4.77207, 1.77977, 1.59245, 1.64419
8.02254, 1.36406, 6.82474, 1.2899, 7.43396, 1.59459, 1.39705, 1.29843
2.10063, 2.25045, 2.04817, 2.13208, 2.11467, 2.3148, 2.09041, 1.97788
11.8889, 1.30454, 2.71651, 1.3942, 11.5665, 2.2189, 1.31841, 1.26285
4.08849, 1.42163, 1.64373, 1.36931, 4.09888, 1.34725, 1.49253, 1.28612
2.60846, 1.76303, 3.1447, 1.80909, 2.35325, 1.80287, 2.2287, 1.8038
3.74303, 1.77404, 1.79792, 1.54606, 4.21141, 2.27365, 1.85132, 1.59488
6.21446, 2.76702, 3.97125, 2.5122, 6.63178, 3.52038, 3.53245, 2.30956
1.92813, 1.47514, 1.91357, 1.33916, 1.94035, 1.38467, 1.42701, 1.34343
4.75549, 3.33285, 3.5526, 2.95838, 5.14782, 3.48188, 3.32084, 3.00592
23.1895, 25.0672, 25.9737, 22.5043, 23.9927, 25.1005, 25.2582, 23.6344
2.59581, 1.52132, 3.86581, 1.53209, 2.70367, 1.82235, 5.42186, 1.55699
2.46257, 2.06018, 2.39872, 1.5458, 2.39639, 1.69329, 2.4667, 1.6489
12.8339, 2.27902, 2.60894, 2.05733, 12.197, 2.36257, 3.20109, 2.01596
28.7606, 1.56953, 1.85115, 1.71345, 28.1271, 1.7337, 2.43874, 1.71936
17.6128, 15.8543, 18.4249, 13.1541, 18.4855, 15.5453, 18.625, 12.957
34.5115, 28.785, 33.5988, 31.4789, 35.5358, 32.6591, 33.4392, 27.5919
3.70713, 2.43446, 5.10375, 2.26982, 3.60088, 2.43102, 2.82272, 2.35649
1.80663, 1.58996, 1.68641, 1.51428, 1.68152, 1.72476, 13.387, 1.51482
2.18706, 1.98107, 2.27107, 1.76934, 2.28141, 2.02239, 2.90842, 1.84194
2.25055, 2.3111, 2.29669, 2.38821, 2.33719, 2.28434, 3.47054, 2.22458
11.3021, 9.95238, 16.5735, 8.9535, 11.1342, 9.76412, 16.6921, 9.32302
9.06469, 8.6591, 8.77534, 8.41073, 8.89505, 9.78943, 14.4025, 8.26115
2.04966, 1.8368, 1.94994, 1.79019, 1.98568, 1.97714, 2.31065, 1.85002

Boxes.Texture.arbitrarycamera
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.153456, 0.187967, 0.153456, 0.150763, 0.175046, 0.163781, 0.438992, 0.160741
0.154665, 0.183218, 0.154665, 0.16122, 0.163517, 0.16459, 0.506708, 0.297649
0.152207, 0.317822, 0.152207, 0.129461, 0.201081, 0.142128, 0.400741, 0.153403
0.230075, 0.222016, 0.230075, 0.24339, 0.383233, 0.339441, 0.296886, 0.206433
0.394682, 0.264084, 0.394682, 0.464714, 0.394891, 0.245872, 1.05725, 0.830111
0.183035, 0.263654, 0.183035, 0.189481, 0.24732, 0.284174, 0.366435, 0.16376
0.98827, 0.221651, 0.98827, 0.262408, 1.14687, 0.372636, 0.80556, 0.717112
0.328263, 0.204088, 0.328263, 0.174927, 0.288479, 0.305832, 0.351822, 0.226912
0.270175, 0.412412, 0.270175, 0.273995, 0.314729, 0.32263, 0.373366, 0.323478
1.38504, 0.440493, 1.38504, 1.46111, 1.25992, 0.639751, 0.409753, 0.728489
2.61115, 1.09909, 2.61115, 1.27475, 1.58112, 1.86825, 125.855, 32.7621
0.709755, 0.367272, 0.709755, 0.461659, 0.938076, 0.4829, 1.503, 18.4744
0.263145, 0.2047, 0.263145, 0.260841, 0.274533, 0.280597, 0.45873, 0.328873
0.315805, 0.3168, 0.315805, 0.3145, 0.348811, 0.337955, 0.42919, 0.768627
2.52162, 4.27038, 2.52162, 2.19221, 2.16768, 2.12724, 2.70041, 3.51047
0.368343, 0.377209, 0.368343, 0.356255, 0.354344, 0.358653, 0.468556, 0.472062
0.171384, 0.217825, 0.171384, 0.162072, 0.180623, 0.180119, 0.497624, 0.227135
0.361255, 0.523274, 0.361255, 0.2564, 0.353301, 0.191083, 0.416933, 1.20578
0.156957, 0.317561, 0.156957, 0.135447, 0.154929, 0.148005, 0.304658, 0.328781
0.186515, 0.248751, 0.186515, 0.143777, 0.198244, 0.20641, 0.234956, 0.155491
0.429164, 0.232502, 0.429164, 0.200499, 0.20636, 0.304276, 0.260068, 0.436432
0.253059, 0.219177, 0.253059, 0.316547, 0.283258, 0.282221, 0.479571, 0.22068
0.143192, 0.17907, 0.143192, 0.158788, 0.163562, 0.141427, 0.388569, 0.190319
0.342952, 0.497713, 0.342952, 0.516172, 0.340759, 0.291443, 249.25, 8.42245
0.3554, 0.263444, 0.3554, 0.268546, 0.400138, 0.262186, 100.067, 211.28

Boxes.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.16759, 0.205763, 0.17159, 0.155699, 0.176076, 0.168267, 0.178795, 0.193736
0.183358, 0.28936, 0.182726, 0.196295, 0.162825, 0.158292, 0.488565, 0.304201
0.195317, 0.282948, 0.216576, 0.178843, 0.274232, 0.220316, 1.43134, 0.693333
0.195953, 0.260971, 0.193355, 0.203684, 0.229025, 0.1996, 0.271349, 1.67486
0.319438, 0.297929, 0.250202, 0.316426, 0.278239, 0.245594, 0.765588, 0.476309
0.862298, 1.13841, 0.673208, 0.382355, 0.407814, 0.439171, 1.46554, 0.428968
1.05351, 0.856551, 1.0894, 0.929007, 0.95295, 0.89994, 124.222, 4.2039
0.703812, 0.456745, 0.659886, 0.469468, 0.822888, 0.530819, 0.771911, 0.592229
0.445202, 0.232322, 0.471688, 0.478152, 0.400443, 0.25292, 0.238731, 0.289048
0.466212, 0.322472, 0.453822, 0.376313, 0.447307, 0.368314, 0.483309, 0.595255
0.54541, 0.244723, 0.504362, 0.249401, 0.559398, 0.303627, 0.290674, 0.284683
0.303246, 0.363166, 0.300441, 0.240993, 0.354118, 0.346705, 0.346997, 0.392604
1.62954, 0.905914, 1.67764, 1.41919, 1.63395, 0.656725, 1.2188, 1.27352
0.39503, 0.349834, 0.517953, 0.365979, 0.378309, 0.35757, 1.4215, 5.8683
0.296319, 0.286254, 0.289215, 0.245474, 0.285915, 0.292414, 0.396674, 0.437007
0.33986, 0.463671, 0.360738, 0.34012, 0.459806, 0.427687, 0.257926, 0.318897
0.367296, 0.33863, 0.365218, 0.252029, 0.330291, 0.347868, 0.567095, 0.433406
0.528989, 0.505176, 0.433193, 0.317774, 0.528996, 0.552745, 0.639953, 0.392915
3.76976, 1.04675, 1.8744, 0.945699, 3.50111, 0.859329, 2.83233, 0.92344
0.732298, 0.476896, 0.542342, 0.361466, 0.554411, 0.685986, 0.739743, 0.966236
1.7397, 0.594936, 1.77957, 0.649068, 2.04964, 0.991227, 109.469, 37.8088
4.32621, 0.736946, 4.87672, 1.0744, 4.46049, 0.819894, 0.756465, 0.753512
1.39768, 0.564095, 257.498, 0.890072, 1.33279, 0.672291, 86.0079, 280.779
1.79037, 1.53324, 209.342, 1.90345, 1.78303, 1.40072, 2.35104, 1.42325
2.7463, 1.60828, 2.88385, 0.815703, 2.17709, 1.06956, 2.18328, 0.944499

Boxes.Texture.zoomOut
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.243114, 0.277738, 0.232923, 0.232682, 0.236213, 0.261523, 0.779985, 0.251463
0.305508, 0.317276, 0.283798, 0.34901, 0.324019, 0.406877, 0.434752, 0.280613
0.27891, 0.367218, 0.305255, 0.381911, 0.390045, 0.347383, 0.923076, 0.356222
0.157845, 0.169697, 0.154289, 0.173623, 0.12738, 0.151855, 0.210903, 0.577759
0.260754, 0.259873, 0.130604, 0.132308, 0.176414, 0.136613, 4.44284, 0.937279
0.199375, 0.165846, 0.155405, 0.13241, 0.169725, 0.18475, 0.98206, 1.06577
0.167134, 0.183479, 0.180155, 0.206878, 0.197907, 0.183434, 0.532413, 0.352463
0.140752, 0.187759, 0.172189, 0.113992, 0.131668, 0.127699, 0.175874, 0.365797
0.151328, 0.204709, 0.169002, 0.143017, 0.144578, 0.163954, 0.618613, 0.220122
0.228467, 0.22572, 0.148566, 0.196725, 0.149865, 0.18583, 1.08881, 1.96151
